Abd,sample,Species,Community,Curve,Tax_dis,Depth
2.379,A.1.O.60,Cryptococcus neoformans,A,1,O,60
2.379,A.1.O.60,Cryptococcus neoformans,A,1,O,60
2.379,A.1.O.60,Cryptococcus neoformans,A,1,O,60
2.379,A.1.O.60,Cryptococcus neoformans,A,1,O,60
2.379,A.1.O.60,Cryptococcus neoformans,A,1,O,60
2.379,A.1.O.60,Cryptococcus neoformans,A,1,O,60
2.379,A.1.O.60,Cryptococcus neoformans,A,1,O,60
2.379,A.1.O.60,Cryptococcus neoformans,A,1,O,60
2.379,A.1.O.60,Cryptococcus neoformans,A,1,O,60
2.379,A.1.O.60,Cryptococcus neoformans,A,1,O,60
2.379,A.1.O.60,Cryptococcus neoformans,A,1,O,60
2.379,A.1.O.60,Cryptococcus neoformans,A,1,O,60
2.379,A.1.O.60,Cryptococcus neoformans,A,1,O,60
2.379,A.1.O.60,Cryptococcus neoformans,A,1,O,60
2.381,A.1.O.60,Saccharomyces cerevisiae,A,1,O,60
2.381,A.1.O.60,Saccharomyces cerevisiae,A,1,O,60
2.381,A.1.O.60,Saccharomyces cerevisiae,A,1,O,60
2.381,A.1.O.60,Saccharomyces cerevisiae,A,1,O,60
2.381,A.1.O.60,Saccharomyces cerevisiae,A,1,O,60
2.381,A.1.O.60,Saccharomyces cerevisiae,A,1,O,60
2.381,A.1.O.60,Saccharomyces cerevisiae,A,1,O,60
2.381,A.1.O.60,Saccharomyces cerevisiae,A,1,O,60
2.381,A.1.O.60,Saccharomyces cerevisiae,A,1,O,60
2.381,A.1.O.60,Saccharomyces cerevisiae,A,1,O,60
2.381,A.1.O.60,Saccharomyces cerevisiae,A,1,O,60
2.381,A.1.O.60,Saccharomyces cerevisiae,A,1,O,60
2.381,A.1.O.60,Saccharomyces cerevisiae,A,1,O,60
2.381,A.1.O.60,Saccharomyces cerevisiae,A,1,O,60
2.381,A.1.O.60,Saccharomyces cerevisiae,A,1,O,60
2.381,A.1.O.60,Saccharomyces cerevisiae,A,1,O,60
2.381,A.1.O.60,Saccharomyces cerevisiae,A,1,O,60
2.381,A.1.O.60,Encephalitozoon intestinalis,A,1,O,60
2.381,A.1.O.60,Encephalitozoon intestinalis,A,1,O,60
2.381,A.1.O.60,Encephalitozoon intestinalis,A,1,O,60
2.381,A.1.O.60,Encephalitozoon intestinalis,A,1,O,60
2.381,A.1.O.60,Encephalitozoon intestinalis,A,1,O,60
2.381,A.1.O.60,Encephalitozoon intestinalis,A,1,O,60
2.381,A.1.O.60,Encephalitozoon intestinalis,A,1,O,60
2.381,A.1.O.60,Encephalitozoon intestinalis,A,1,O,60
2.381,A.1.O.60,Encephalitozoon intestinalis,A,1,O,60
2.381,A.1.O.60,Encephalitozoon intestinalis,A,1,O,60
2.381,A.1.O.60,Encephalitozoon intestinalis,A,1,O,60
2.381,A.1.O.60,Anoxybacillus flavithermus,A,1,O,60
2.381,A.1.O.60,Anoxybacillus gonensis,A,1,O,60
2.381,A.1.O.60,Geobacillus thermocatenulatus,A,1,O,60
2.381,A.1.O.60,Archaeoglobus fulgidus,A,1,O,60
2.381,A.1.O.60,Archaeoglobus veneficus,A,1,O,60
2.381,A.1.O.60,Ferroglobus placidus,A,1,O,60
2.381,A.1.O.60,Chlorobium limicola,A,1,O,60
2.381,A.1.O.60,Chlorobium luteolum,A,1,O,60
2.381,A.1.O.60,Prosthecochloris aestuarii,A,1,O,60
2.381,A.1.O.60,Thermocrinis ruber,A,1,O,60
2.381,A.1.O.60,Thermocrinis albus,A,1,O,60
2.381,A.1.O.60,Hydrogenobacter thermophilus,A,1,O,60
2.381,A.1.O.60,Brucella melitensis,A,1,O,60
2.381,A.1.O.60,Brucella melitensis,A,1,O,60
2.381,A.1.O.60,Vibrio cholerae,A,1,O,60
2.381,A.1.O.60,Vibrio cholerae,A,1,O,60
2.381,A.1.O.60,Rhodobacter sphaeroides,A,1,O,60
2.381,A.1.O.60,Rhodobacter sphaeroides,A,1,O,60
2.381,A.1.O.60,Ensifer adhaerens,A,1,O,60
2.381,A.1.O.60,Sinorhizobium fredii,A,1,O,60
2.381,A.1.O.60,Agrobacterium radiobacter,A,1,O,60
2.381,A.1.O.60,Agrobacterium radiobacter,A,1,O,60
2.381,A.1.O.60,Celeribacter indicus,A,1,O,60
2.381,A.1.O.60,Celeribacter marinus,A,1,O,60
2.381,A.1.O.60,Antarctobacter heliothermus,A,1,O,60
2.381,A.1.O.60,Acetobacter aceti,A,1,O,60
2.381,A.1.O.60,Acetobacter persici,A,1,O,60
2.381,A.1.O.60,Gluconacetobacter diazotrophicus,A,1,O,60
2.381,A.1.O.60,Gluconacetobacter diazotrophicus,A,1,O,60
2.381,A.1.O.60,Taylorella equigenitalis,A,1,O,60
2.381,A.1.O.60,Bordetella bronchiseptica,A,1,O,60
2.381,A.1.O.60,Cronobacter sakazakii,A,1,O,60
2.381,A.1.O.60,Cronobacter universalis,A,1,O,60
2.381,A.1.O.60,Citrobacter koseri,A,1,O,60
2.381,A.1.O.60,Elizabethkingia meningoseptica,A,1,O,60
2.381,A.1.O.60,Elizabethkingia anophelis,A,1,O,60
2.381,A.1.O.60,Chryseobacterium piperi,A,1,O,60
2.381,A.1.O.60,Haloferax mediterranei,A,1,O,60
2.381,A.1.O.60,Haloferax volcanii,A,1,O,60
2.381,A.1.O.60,Halogeometricum borinquense,A,1,O,60
2.381,A.1.O.60,Gordonia bronchialis,A,1,O,60
2.381,A.1.O.60,Gordonia polyisoprenivorans,A,1,O,60
2.381,A.1.O.60,Rhodococcus aetherivorans,A,1,O,60
2.379,A.1.R.60,Acetobacter aceti,A,1,R,60
2.381,A.1.R.60,Anoxybacillus gonensis,A,1,R,60
2.381,A.1.R.60,Rhodococcus aetherivorans,A,1,R,60
2.381,A.1.R.60,Thermocrinis ruber,A,1,R,60
2.381,A.1.R.60,Vibrio cholerae,A,1,R,60
2.381,A.1.R.60,Vibrio cholerae,A,1,R,60
2.381,A.1.R.60,Agrobacterium radiobacter,A,1,R,60
2.381,A.1.R.60,Agrobacterium radiobacter,A,1,R,60
2.381,A.1.R.60,Gluconacetobacter diazotrophicus,A,1,R,60
2.381,A.1.R.60,Ensifer adhaerens,A,1,R,60
2.381,A.1.R.60,Antarctobacter heliothermus,A,1,R,60
2.381,A.1.R.60,Chryseobacterium piperi,A,1,R,60
2.381,A.1.R.60,Geobacillus thermocatenulatus,A,1,R,60
2.381,A.1.R.60,Archaeoglobus fulgidus,A,1,R,60
2.381,A.1.R.60,Gordonia bronchialis,A,1,R,60
2.381,A.1.R.60,Halogeometricum borinquense,A,1,R,60
2.381,A.1.R.60,Gordonia polyisoprenivorans,A,1,R,60
2.381,A.1.R.60,Celeribacter indicus,A,1,R,60
2.381,A.1.R.60,Ferroglobus placidus,A,1,R,60
2.381,A.1.R.60,Chlorobium luteolum,A,1,R,60
2.381,A.1.R.60,Celeribacter marinus,A,1,R,60
2.381,A.1.R.60,Cronobacter sakazakii,A,1,R,60
2.381,A.1.R.60,Taylorella equigenitalis,A,1,R,60
2.381,A.1.R.60,Hydrogenobacter thermophilus,A,1,R,60
2.381,A.1.R.60,Thermocrinis albus,A,1,R,60
2.381,A.1.R.60,Encephalitozoon intestinalis,A,1,R,60
2.381,A.1.R.60,Encephalitozoon intestinalis,A,1,R,60
2.381,A.1.R.60,Encephalitozoon intestinalis,A,1,R,60
2.381,A.1.R.60,Encephalitozoon intestinalis,A,1,R,60
2.381,A.1.R.60,Encephalitozoon intestinalis,A,1,R,60
2.381,A.1.R.60,Encephalitozoon intestinalis,A,1,R,60
2.381,A.1.R.60,Encephalitozoon intestinalis,A,1,R,60
2.381,A.1.R.60,Encephalitozoon intestinalis,A,1,R,60
2.381,A.1.R.60,Encephalitozoon intestinalis,A,1,R,60
2.381,A.1.R.60,Encephalitozoon intestinalis,A,1,R,60
2.381,A.1.R.60,Encephalitozoon intestinalis,A,1,R,60
2.381,A.1.R.60,Saccharomyces cerevisiae,A,1,R,60
2.381,A.1.R.60,Saccharomyces cerevisiae,A,1,R,60
2.381,A.1.R.60,Saccharomyces cerevisiae,A,1,R,60
2.381,A.1.R.60,Saccharomyces cerevisiae,A,1,R,60
2.381,A.1.R.60,Saccharomyces cerevisiae,A,1,R,60
2.381,A.1.R.60,Saccharomyces cerevisiae,A,1,R,60
2.381,A.1.R.60,Saccharomyces cerevisiae,A,1,R,60
2.381,A.1.R.60,Saccharomyces cerevisiae,A,1,R,60
2.381,A.1.R.60,Saccharomyces cerevisiae,A,1,R,60
2.381,A.1.R.60,Saccharomyces cerevisiae,A,1,R,60
2.381,A.1.R.60,Saccharomyces cerevisiae,A,1,R,60
2.381,A.1.R.60,Saccharomyces cerevisiae,A,1,R,60
2.381,A.1.R.60,Saccharomyces cerevisiae,A,1,R,60
2.381,A.1.R.60,Saccharomyces cerevisiae,A,1,R,60
2.381,A.1.R.60,Saccharomyces cerevisiae,A,1,R,60
2.381,A.1.R.60,Saccharomyces cerevisiae,A,1,R,60
2.381,A.1.R.60,Saccharomyces cerevisiae,A,1,R,60
2.381,A.1.R.60,Sinorhizobium fredii,A,1,R,60
2.381,A.1.R.60,Bordetella bronchiseptica,A,1,R,60
2.381,A.1.R.60,Elizabethkingia meningoseptica,A,1,R,60
2.381,A.1.R.60,Taylorella asinigenitalis,A,1,R,60
2.381,A.1.R.60,Haloferax volcanii,A,1,R,60
2.381,A.1.R.60,Cryptococcus neoformans,A,1,R,60
2.381,A.1.R.60,Cryptococcus neoformans,A,1,R,60
2.381,A.1.R.60,Cryptococcus neoformans,A,1,R,60
2.381,A.1.R.60,Cryptococcus neoformans,A,1,R,60
2.381,A.1.R.60,Cryptococcus neoformans,A,1,R,60
2.381,A.1.R.60,Cryptococcus neoformans,A,1,R,60
2.381,A.1.R.60,Cryptococcus neoformans,A,1,R,60
2.381,A.1.R.60,Cryptococcus neoformans,A,1,R,60
2.381,A.1.R.60,Cryptococcus neoformans,A,1,R,60
2.381,A.1.R.60,Cryptococcus neoformans,A,1,R,60
2.381,A.1.R.60,Cryptococcus neoformans,A,1,R,60
2.381,A.1.R.60,Cryptococcus neoformans,A,1,R,60
2.381,A.1.R.60,Cryptococcus neoformans,A,1,R,60
2.381,A.1.R.60,Cryptococcus neoformans,A,1,R,60
2.381,A.1.R.60,Haloferax mediterranei,A,1,R,60
2.381,A.1.R.60,Archaeoglobus veneficus,A,1,R,60
2.381,A.1.R.60,Acetobacter persici,A,1,R,60
2.381,A.1.R.60,Prosthecochloris aestuarii,A,1,R,60
2.381,A.1.R.60,Elizabethkingia anophelis,A,1,R,60
2.381,A.1.R.60,Citrobacter koseri,A,1,R,60
2.381,A.1.R.60,Cronobacter universalis,A,1,R,60
2.381,A.1.R.60,Chlorobium limicola,A,1,R,60
2.381,A.1.R.60,Rhodobacter sphaeroides,A,1,R,60
2.381,A.1.R.60,Rhodobacter sphaeroides,A,1,R,60
2.381,A.1.R.60,Brucella melitensis,A,1,R,60
2.381,A.1.R.60,Brucella melitensis,A,1,R,60
2.381,A.1.R.60,Anoxybacillus flavithermus,A,1,R,60
16.187,A.2.C.60,Cryptococcus neoformans,A,2,C,60
16.187,A.2.C.60,Cryptococcus neoformans,A,2,C,60
16.187,A.2.C.60,Cryptococcus neoformans,A,2,C,60
16.187,A.2.C.60,Cryptococcus neoformans,A,2,C,60
16.187,A.2.C.60,Cryptococcus neoformans,A,2,C,60
16.187,A.2.C.60,Cryptococcus neoformans,A,2,C,60
16.187,A.2.C.60,Cryptococcus neoformans,A,2,C,60
16.187,A.2.C.60,Cryptococcus neoformans,A,2,C,60
16.187,A.2.C.60,Cryptococcus neoformans,A,2,C,60
16.187,A.2.C.60,Cryptococcus neoformans,A,2,C,60
16.187,A.2.C.60,Cryptococcus neoformans,A,2,C,60
16.187,A.2.C.60,Cryptococcus neoformans,A,2,C,60
16.187,A.2.C.60,Cryptococcus neoformans,A,2,C,60
16.187,A.2.C.60,Cryptococcus neoformans,A,2,C,60
13.815,A.2.C.60,Encephalitozoon intestinalis,A,2,C,60
13.815,A.2.C.60,Encephalitozoon intestinalis,A,2,C,60
13.815,A.2.C.60,Encephalitozoon intestinalis,A,2,C,60
13.815,A.2.C.60,Encephalitozoon intestinalis,A,2,C,60
13.815,A.2.C.60,Encephalitozoon intestinalis,A,2,C,60
13.815,A.2.C.60,Encephalitozoon intestinalis,A,2,C,60
13.815,A.2.C.60,Encephalitozoon intestinalis,A,2,C,60
13.815,A.2.C.60,Encephalitozoon intestinalis,A,2,C,60
13.815,A.2.C.60,Encephalitozoon intestinalis,A,2,C,60
13.815,A.2.C.60,Encephalitozoon intestinalis,A,2,C,60
13.815,A.2.C.60,Encephalitozoon intestinalis,A,2,C,60
11.54,A.2.C.60,Anoxybacillus flavithermus,A,2,C,60
9.639,A.2.C.60,Geobacillus thermocatenulatus,A,2,C,60
8.051,A.2.C.60,Saccharomyces cerevisiae,A,2,C,60
8.051,A.2.C.60,Saccharomyces cerevisiae,A,2,C,60
8.051,A.2.C.60,Saccharomyces cerevisiae,A,2,C,60
8.051,A.2.C.60,Saccharomyces cerevisiae,A,2,C,60
8.051,A.2.C.60,Saccharomyces cerevisiae,A,2,C,60
8.051,A.2.C.60,Saccharomyces cerevisiae,A,2,C,60
8.051,A.2.C.60,Saccharomyces cerevisiae,A,2,C,60
8.051,A.2.C.60,Saccharomyces cerevisiae,A,2,C,60
8.051,A.2.C.60,Saccharomyces cerevisiae,A,2,C,60
8.051,A.2.C.60,Saccharomyces cerevisiae,A,2,C,60
8.051,A.2.C.60,Saccharomyces cerevisiae,A,2,C,60
8.051,A.2.C.60,Saccharomyces cerevisiae,A,2,C,60
8.051,A.2.C.60,Saccharomyces cerevisiae,A,2,C,60
8.051,A.2.C.60,Saccharomyces cerevisiae,A,2,C,60
8.051,A.2.C.60,Saccharomyces cerevisiae,A,2,C,60
8.051,A.2.C.60,Saccharomyces cerevisiae,A,2,C,60
8.051,A.2.C.60,Saccharomyces cerevisiae,A,2,C,60
6.725,A.2.C.60,Anoxybacillus gonensis,A,2,C,60
5.617,A.2.C.60,Archaeoglobus fulgidus,A,2,C,60
4.692,A.2.C.60,Ferroglobus placidus,A,2,C,60
3.919,A.2.C.60,Chlorobium limicola,A,2,C,60
3.273,A.2.C.60,Prosthecochloris aestuarii,A,2,C,60
2.734,A.2.C.60,Archaeoglobus veneficus,A,2,C,60
2.284,A.2.C.60,Chlorobium luteolum,A,2,C,60
1.907,A.2.C.60,Thermocrinis ruber,A,2,C,60
1.593,A.2.C.60,Hydrogenobacter thermophilus,A,2,C,60
1.331,A.2.C.60,Brucella melitensis,A,2,C,60
1.331,A.2.C.60,Brucella melitensis,A,2,C,60
1.112,A.2.C.60,Rhodobacter sphaeroides,A,2,C,60
1.112,A.2.C.60,Rhodobacter sphaeroides,A,2,C,60
0.928,A.2.C.60,Thermocrinis albus,A,2,C,60
0.776,A.2.C.60,Vibrio cholerae,A,2,C,60
0.776,A.2.C.60,Vibrio cholerae,A,2,C,60
0.648,A.2.C.60,Ensifer adhaerens,A,2,C,60
0.541,A.2.C.60,Agrobacterium radiobacter,A,2,C,60
