"bin_id","sample.x","coverage","sample.y","rel_abd","Domain","Phylum","Class","Order","Family","Genus","Species"
"A.1.O.60-8K-bin.1","A.1.O.60",63,"A.1.O.60",0.0165708332035404,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Celeribacter_A","Celeribacter_A marinus"
"A.1.O.60-8K-bin.10","A.1.O.60",63,"A.1.O.60",0.010159685438172,"Bacteria","Aquificota","Aquificae","Aquificales","Aquificaceae","Hydrogenobacter","Hydrogenobacter thermophilus"
"A.1.O.60-8K-bin.11","A.1.O.60",63,"A.1.O.60",0.010159685438172,"Bacteria","Aquificota","Aquificae","Aquificales","Aquificaceae","Hydrogenobacter","Hydrogenobacter thermophilus"
"A.1.O.60-8K-bin.12","A.1.O.60",63,"A.1.O.60",0.0220480715831194,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","Vibrio cholerae"
"A.1.O.60-8K-bin.13","A.1.O.60",64,"A.1.O.60",0.0132523331859485,"Bacteria","Bacteroidota","Chlorobia","Chlorobiales","Chlorobiaceae","Chlorobium","Chlorobium luteolum"
"A.1.O.60-8K-bin.14","A.1.O.60",63,"A.1.O.60",0.010159685438172,"Bacteria","Aquificota","Aquificae","Aquificales","Aquificaceae","Hydrogenobacter","Hydrogenobacter thermophilus"
"A.1.O.60-8K-bin.15","A.1.O.60",64,"A.1.O.60",0.0179513804113731,"Bacteria","Firmicutes","Bacilli","Bacillales","Anoxybacillaceae","Geobacillus","Geobacillus thermocatenulatus"
"A.1.O.60-8K-bin.16","A.1.O.60",64,"A.1.O.60",0.0132245829070582,"Bacteria","Bacteroidota","Chlorobia","Chlorobiales","Chlorobiaceae","Chlorobium","Chlorobium luteolum"
"A.1.O.60-8K-bin.17","A.1.O.60",63,"A.1.O.60",0.0165708332035404,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Celeribacter_A","Celeribacter_A marinus"
"A.1.O.60-8K-bin.18","A.1.O.60",63,"A.1.O.60",0.0084291680464722,"Bacteria","Aquificota","Aquificae","Aquificales","Aquificaceae","Thermocrinis","Thermocrinis ruber"
"A.1.O.60-8K-bin.19","A.1.O.60",64,"A.1.O.60",0.0115943165228811,"Archaea","Halobacterota","Archaeoglobi","Archaeoglobales","Archaeoglobaceae","Ferroglobus","Ferroglobus placidus"
"A.1.O.60-8K-bin.2","A.1.O.60",63,"A.1.O.60",0.00918090893480146,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Taylorella","Taylorella equigenitalis"
"A.1.O.60-8K-bin.20","A.1.O.60",63,"A.1.O.60",0.00867818721578152,"Bacteria","Aquificota","Aquificae","Aquificales","Aquificaceae","Thermocrinis","Thermocrinis albus"
"A.1.O.60-8K-bin.21","A.1.O.60",63,"A.1.O.60",0.00949494542420151,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Taylorella","Taylorella equigenitalis"
"A.1.O.60-8K-bin.22","A.1.O.60",64,"A.1.O.60",0.0132523331859485,"Bacteria","Bacteroidota","Chlorobia","Chlorobiales","Chlorobiaceae","Chlorobium","Chlorobium luteolum"
"A.1.O.60-8K-bin.23","A.1.O.60",64,"A.1.O.60",0.0174679922199885,"Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Acetobacter","Acetobacter persici"
"A.1.O.60-8K-bin.24","A.1.O.60",64,"A.1.O.60",0.0179052466143951,"Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Gluconacetobacter","Gluconacetobacter diazotrophicus"
"A.1.O.60-8K-bin.25","A.1.O.60",63,"A.1.O.60",0.0188584395273173,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Brucella","Brucella melitensis"
"A.1.O.60-8K-bin.26","A.1.O.60",63,"A.1.O.60",0.0272256069506832,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Bordetella","Bordetella pertussis"
"A.1.O.60-8K-bin.27","A.1.O.60",64,"A.1.O.60",0.0180172144063381,"Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Gluconacetobacter","Gluconacetobacter diazotrophicus"
"A.1.O.60-8K-bin.28","A.1.O.60",63,"A.1.O.60",0.00867818721578152,"Bacteria","Aquificota","Aquificae","Aquificales","Aquificaceae","Thermocrinis","Thermocrinis albus"
"A.1.O.60-8K-bin.29","A.1.O.60",63,"A.1.O.60",0.0084291680464722,"Bacteria","Aquificota","Aquificae","Aquificales","Aquificaceae","Thermocrinis","Thermocrinis ruber"
"A.1.O.60-8K-bin.3","A.1.O.60",64,"A.1.O.60",0.0179513804113731,"Bacteria","Firmicutes","Bacilli","Bacillales","Anoxybacillaceae","Geobacillus","Geobacillus thermocatenulatus"
"A.1.O.60-8K-bin.30","A.1.O.60",64,"A.1.O.60",0.0213479812138779,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacter_A","Rhodobacter_A sphaeroides"
"A.1.O.60-8K-bin.31","A.1.O.60",64,"A.1.O.60",0.0174679922199885,"Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Acetobacter","Acetobacter persici"
"A.1.O.60-8K-bin.32","A.1.O.60",63,"A.1.O.60",0.0260611285810089,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Bordetella","Bordetella pertussis"
"A.1.O.60-8K-bin.33","A.1.O.60",63,"A.1.O.60",0.00867818721578152,"Bacteria","Aquificota","Aquificae","Aquificales","Aquificaceae","Thermocrinis","Thermocrinis albus"
"A.1.O.60-8K-bin.34","A.1.O.60",64,"A.1.O.60",0.0178281458395324,"Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Gluconacetobacter","Gluconacetobacter diazotrophicus"
"A.1.O.60-8K-bin.35","A.1.O.60",64,"A.1.O.60",0.0177964788546125,"Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Gluconacetobacter","Gluconacetobacter diazotrophicus"
"A.1.O.60-8K-bin.36","A.1.O.60",63,"A.1.O.60",0.0220480715831194,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","Vibrio cholerae"
"A.1.O.60-8K-bin.37","A.1.O.60",64,"A.1.O.60",0.0183595178464877,"Bacteria","Firmicutes","Bacilli","Bacillales","Anoxybacillaceae","Geobacillus","Geobacillus thermocatenulatus"
"A.1.O.60-8K-bin.38","A.1.O.60",63,"A.1.O.60",0.00881442191827361,"Bacteria","Aquificota","Aquificae","Aquificales","Aquificaceae","Thermocrinis","Thermocrinis ruber"
"A.1.O.60-8K-bin.39","A.1.O.60",63,"A.1.O.60",0.0220480715831194,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","Vibrio cholerae"
"A.1.O.60-8K-bin.4","A.1.O.60",64,"A.1.O.60",0.0275552935973673,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Antarctobacter","Antarctobacter heliothermus_B"
"A.1.O.60-8K-bin.40","A.1.O.60",63,"A.1.O.60",0.0165708332035404,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Celeribacter_A","Celeribacter_A marinus"
"A.1.O.60-8K-bin.41","A.1.O.60",63,"A.1.O.60",0.00949494542420151,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Taylorella","Taylorella equigenitalis"
"A.1.O.60-8K-bin.42","A.1.O.60",64,"A.1.O.60",0.0115943165228811,"Archaea","Halobacterota","Archaeoglobi","Archaeoglobales","Archaeoglobaceae","Ferroglobus","Ferroglobus placidus"
"A.1.O.60-8K-bin.43","A.1.O.60",63,"A.1.O.60",0.010159685438172,"Bacteria","Aquificota","Aquificae","Aquificales","Aquificaceae","Hydrogenobacter","Hydrogenobacter thermophilus"
"A.1.O.60-8K-bin.44","A.1.O.60",63,"A.1.O.60",0.0266789681236296,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Antarctobacter","Antarctobacter heliothermus_B"
"A.1.O.60-8K-bin.45","A.1.O.60",63,"A.1.O.60",0.0220480715831194,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","Vibrio cholerae"
"A.1.O.60-8K-bin.46","A.1.O.60",64,"A.1.O.60",0.0174679922199885,"Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Acetobacter","Acetobacter persici"
"A.1.O.60-8K-bin.47","A.1.O.60",64,"A.1.O.60",0.0284735694927067,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Antarctobacter","Antarctobacter heliothermus_B"
"A.1.O.60-8K-bin.48","A.1.O.60",63,"A.1.O.60",0.0165708332035404,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Celeribacter_A","Celeribacter_A marinus"
"A.1.O.60-8K-bin.49","A.1.O.60",63,"A.1.O.60",0.0084291680464722,"Bacteria","Aquificota","Aquificae","Aquificales","Aquificaceae","Thermocrinis","Thermocrinis ruber"
"A.1.O.60-8K-bin.5","A.1.O.60",63,"A.1.O.60",0.00867818721578152,"Bacteria","Aquificota","Aquificae","Aquificales","Aquificaceae","Thermocrinis","Thermocrinis albus"
"A.1.O.60-8K-bin.50","A.1.O.60",64,"A.1.O.60",0.022171089486116,"Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Acetobacter","Acetobacter aceti_B"
"A.1.O.60-8K-bin.51","A.1.O.60",63,"A.1.O.60",0.0188584395273173,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Brucella","Brucella melitensis"
"A.1.O.60-8K-bin.52","A.1.O.60",64,"A.1.O.60",0.0132523331859485,"Bacteria","Bacteroidota","Chlorobia","Chlorobiales","Chlorobiaceae","Chlorobium","Chlorobium luteolum"
"A.1.O.60-8K-bin.53","A.1.O.60",64,"A.1.O.60",0.0179513804113731,"Bacteria","Firmicutes","Bacilli","Bacillales","Anoxybacillaceae","Geobacillus","Geobacillus thermocatenulatus"
"A.1.O.60-8K-bin.54","A.1.O.60",64,"A.1.O.60",0.021763602057534,"Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Acetobacter","Acetobacter aceti_B"
"A.1.O.60-8K-bin.55","A.1.O.60",64,"A.1.O.60",0.0206733744340797,"Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Acetobacter","Acetobacter aceti_B"
"A.1.O.60-8K-bin.56","A.1.O.60",64,"A.1.O.60",0.0174679922199885,"Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Acetobacter","Acetobacter persici"
"A.1.O.60-8K-bin.57","A.1.O.60",64,"A.1.O.60",0.0115943165228811,"Archaea","Halobacterota","Archaeoglobi","Archaeoglobales","Archaeoglobaceae","Ferroglobus","Ferroglobus placidus"
"A.1.O.60-8K-bin.58","A.1.O.60",63,"A.1.O.60",0.0188584395273173,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Brucella","Brucella melitensis"
"A.1.O.60-8K-bin.59","A.1.O.60",63,"A.1.O.60",0.00949494542420151,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Taylorella","Taylorella equigenitalis"
"A.1.O.60-8K-bin.6","A.1.O.60",64,"A.1.O.60",0.011610050014336,"Archaea","Halobacterota","Archaeoglobi","Archaeoglobales","Archaeoglobaceae","Ferroglobus","Ferroglobus placidus"
"A.1.O.60-8K-bin.60","A.1.O.60",63,"A.1.O.60",0.0191292589157188,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Brucella","Brucella melitensis"
"A.1.O.60-8K-bin.7","A.1.O.60",63,"A.1.O.60",0.0260611285810089,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Bordetella","Bordetella pertussis"
"A.1.O.60-8K-bin.8","A.1.O.60",63,"A.1.O.60",0.0260611285810089,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Bordetella","Bordetella pertussis"
"A.1.O.60-8K-bin.9","A.1.O.60",64,"A.1.O.60",0.0232485503145973,"Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Acetobacter","Acetobacter aceti_B"
"A.1.O.60-DT-bin.1","A.1.O.60",62,"A.1.O.60",0.00877723821124402,"Bacteria","Aquificota","Aquificae","Aquificales","Aquificaceae","Thermocrinis","Thermocrinis albus"
"A.1.O.60-DT-bin.10","A.1.O.60",64,"A.1.O.60",0.0242296268410831,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Celeribacter","Celeribacter indicus"
"A.1.O.60-DT-bin.11","A.1.O.60",62,"A.1.O.60",0.011663417217343,"Archaea","Halobacterota","Archaeoglobi","Archaeoglobales","Archaeoglobaceae","Ferroglobus","Ferroglobus placidus"
"A.1.O.60-DT-bin.12","A.1.O.60",64,"A.1.O.60",0.0293105779046413,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Antarctobacter","Antarctobacter heliothermus_B"
"A.1.O.60-DT-bin.13","A.1.O.60",63,"A.1.O.60",0.0225334764614384,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Brucella","Brucella melitensis"
"A.1.O.60-DT-bin.14","A.1.O.60",68,"A.1.O.60",0.0172884737491612,"Archaea","Halobacterota","Halobacteria","Halobacteriales","Haloferacaceae","Haloferax","Haloferax volcanii"
"A.1.O.60-DT-bin.15","A.1.O.60",62,"A.1.O.60",0.00895512333232282,"Bacteria","Aquificota","Aquificae","Aquificales","Aquificaceae","Thermocrinis","Thermocrinis ruber"
"A.1.O.60-DT-bin.16","A.1.O.60",63,"A.1.O.60",0.0239304738345954,"Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Acetobacter","Acetobacter aceti_B"
"A.1.O.60-DT-bin.18","A.1.O.60",62,"A.1.O.60",0.0141422587963676,"Archaea","Halobacterota","Archaeoglobi","Archaeoglobales","Archaeoglobaceae","Archaeoglobus","Archaeoglobus fulgidus"
"A.1.O.60-DT-bin.19","A.1.O.60",62,"A.1.O.60",0.0101596687713378,"Bacteria","Aquificota","Aquificae","Aquificales","Aquificaceae","Hydrogenobacter","Hydrogenobacter thermophilus"
"A.1.O.60-DT-bin.2","A.1.O.60",62,"A.1.O.60",0.0174805590129514,"Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Acetobacter","Acetobacter persici"
"A.1.O.60-DT-bin.20","A.1.O.60",63,"A.1.O.60",0.0186291872233316,"Bacteria","Firmicutes","Bacilli","Bacillales","Anoxybacillaceae","Geobacillus","Geobacillus thermocatenulatus"
"A.1.O.60-DT-bin.21","A.1.O.60",63,"A.1.O.60",0.0243979785330176,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacter_A","Rhodobacter_A sphaeroides"
"A.1.O.60-DT-bin.22","A.1.O.60",63,"A.1.O.60",0.0336954719728267,"Bacteria","Actinobacteriota","Actinobacteria","Mycobacteriales","Mycobacteriaceae","Rhodococcus","Rhodococcus aetherivorans"
"A.1.O.60-DT-bin.23","A.1.O.60",63,"A.1.O.60",0.0197079313980439,"Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Gluconacetobacter","Gluconacetobacter diazotrophicus"
