"","community","abd_distribution","tax_distribution","seq_depth","exp_id.j.","total_number_recov_bins","total_number_of_original_species","precision","recall","f1_score","true_positive","false_positive","avg_tp_cov","avg_fp_cov","min_tp_cov","max_fp_cov"
"1","A","1","O","60","8K",60,41,0.941176470588235,0.380952380952381,0.542372881355932,16,1,63.5,63,63,63
"2","A","1","O","60","DT",22,41,0.954545454545455,0.51219512195122,0.666666666666667,21,1,63.2380952380952,64,62,64
"3","A","1","O","60","MM",0,41,NA,0,NA,0,0,0,0,0,0
"4","A","2","C","60","8K",36,42,1,0.214285714285714,0.352941176470588,9,0,45.7777777777778,0,6,0
"5","A","2","C","60","DT",16,42,1,0.380952380952381,0.551724137931034,16,0,43.875,0,4,0
"6","A","2","C","60","MM",12,42,0.916666666666667,0.261904761904762,0.407407407407407,11,1,43.5454545454545,9,11,9
"7","A","2","N","60","8K",41,27,0.909090909090909,0.37037037037037,0.526315789473684,10,1,41.9,7,6,7
"8","A","2","N","60","DT",15,27,0.933333333333333,0.518518518518518,0.666666666666667,14,1,39.2857142857143,7,5,7
"9","A","2","N","60","MM",11,27,0.909090909090909,0.37037037037037,0.526315789473684,10,1,36.8,18,10,18
"10","A","2","R","10","8K",42,42,0.916666666666667,0.261904761904762,0.407407407407407,11,1,30.2727272727273,9,5,9
"11","A","2","R","10","DT",17,42,0.941176470588235,0.380952380952381,0.542372881355932,16,1,31.1875,9,4,9
"12","A","2","R","10","MM",10,42,1,0.238095238095238,0.384615384615385,10,0,41.3,0,10,0
"13","A","2","R","120","8K",33,42,0.777777777777778,0.166666666666667,0.274509803921569,7,2,235.285714285714,25,28,41
"14","A","2","R","120","DT",23,42,0.869565217391304,0.476190476190476,0.615384615384615,20,3,176.1,18,5,42
"15","A","2","R","120","MM",2,42,1,0.0476190476190476,0.0909090909090909,2,0,488.5,0,403,0
"16","A","2","R","180","8K",59,42,0.941176470588235,0.380952380952381,0.542372881355932,16,1,358.3125,439,5,439
"17","A","2","R","180","DT",28,42,0.964285714285714,0.642857142857143,0.771428571428571,27,1,313.62962962963,404,5,404
"18","A","2","R","180","MM",1,42,0,0,NA,0,1,0,437,0,437
"19","A","2","R","30","8K",28,42,1,0.166666666666667,0.285714285714286,7,0,46.1428571428571,0,14,0
"20","A","2","R","30","DT",14,42,0.928571428571429,0.30952380952381,0.464285714285714,13,1,51.4615384615385,6,10,6
"21","A","2","R","30","MM",10,42,1,0.238095238095238,0.384615384615385,10,0,40.7,0,11,0
"22","A","2","R","60","8K",45,42,0.923076923076923,0.285714285714286,0.436363636363636,12,1,66.6666666666667,45,7,45
"23","A","2","R","60","DT",23,42,0.956521739130435,0.523809523809524,0.676923076923077,22,1,112.318181818182,45,6,45
"24","A","2","R","60","MM",18,42,0.944444444444444,0.404761904761905,0.566666666666667,17,1,121.352941176471,45,10,45
"25","A","2","V","60","8K",35,42,1,0.238095238095238,0.384615384615385,10,0,41.4,0,6,0
"26","A","2","V","60","DT",15,42,1,0.357142857142857,0.526315789473684,15,0,40.4,0,4,0
"27","A","2","V","60","MM",10,42,1,0.238095238095238,0.384615384615385,10,0,38,0,12,0
"28","A","3","C","60","8K",54,42,0.933333333333333,0.333333333333333,0.491228070175439,14,1,75.1428571428571,49,46,49
"29","A","3","C","60","DT",23,42,0.956521739130435,0.523809523809524,0.676923076923077,22,1,64.8636363636364,49,8,49
"30","A","3","C","60","MM",20,42,0.95,0.452380952380952,0.612903225806452,19,1,66.9473684210526,49,11,49
"31","A","3","N","60","8K",41,26,0.909090909090909,0.384615384615385,0.54054054054054,10,1,108.1,93,96,93
"32","A","3","N","60","DT",18,26,0.944444444444444,0.653846153846154,0.772727272727273,17,1,97.5882352941177,92,66,92
"33","A","3","N","60","MM",14,26,0.928571428571429,0.5,0.65,13,1,96.6153846153846,93,67,93
"34","A","3","R","10","8K",43,42,0.928571428571429,0.30952380952381,0.464285714285714,13,1,11.6923076923077,14,6,14
"35","A","3","R","10","DT",16,42,0.875,0.333333333333333,0.482758620689655,14,2,11.7142857142857,12.5,6,14
"36","A","3","R","10","MM",8,42,1,0.19047619047619,0.32,8,0,13.25,0,11,0
"37","A","3","R","120","8K",50,42,0.9375,0.340909090909091,0.5,15,1,137.466666666667,69,55,69
"38","A","3","R","120","DT",24,42,0.958333333333333,0.547619047619048,0.696969696969697,23,1,115.260869565217,85,18,85
"39","A","3","R","120","MM",7,42,1,0.166666666666667,0.285714285714286,7,0,111.428571428571,0,25,0
"40","A","3","R","180","8K",47,42,0.933333333333333,0.333333333333333,0.491228070175439,14,1,178.214285714286,320,47,320
"41","A","3","R","180","DT",21,42,0.952380952380952,0.476190476190476,0.634920634920635,20,1,172.75,315,18,315
"42","A","3","R","180","MM",6,42,1,0.142857142857143,0.25,6,0,162.166666666667,0,12,0
"43","A","3","R","30","8K",49,42,0.923076923076923,0.285714285714286,0.436363636363636,12,1,33.9166666666667,44,11,44
"44","A","3","R","30","DT",28,42,0.928571428571429,0.619047619047619,0.742857142857143,26,2,29.1538461538462,34.5,4,43
"45","A","3","R","30","MM",17,42,0.882352941176471,0.357142857142857,0.508474576271186,15,2,27.5333333333333,35.5,11,44
"46","A","3","R","60","8K",46,42,0.928571428571429,0.302325581395349,0.456140350877193,13,1,56.6153846153846,77,18,77
"47","A","3","R","60","DT",31,42,0.935483870967742,0.69047619047619,0.794520547945206,29,2,59.8965517241379,44,4,76
"48","A","3","R","60","MM",17,42,0.941176470588235,0.380952380952381,0.542372881355932,16,1,65.4375,77,35,77
"49","A","3","V","60","8K",42,42,0.928571428571429,0.302325581395349,0.456140350877193,13,1,72.6923076923077,44,47,44
"50","A","3","V","60","DT",23,42,0.956521739130435,0.523809523809524,0.676923076923077,22,1,67.5909090909091,44,4,44
"51","A","3","V","60","MM",18,42,0.944444444444444,0.404761904761905,0.566666666666667,17,1,65.8235294117647,44,12,44
"52","A","4","C","60","8K",42,42,1,0.261904761904762,0.415094339622642,11,0,44.1818181818182,0,5,0
"53","A","4","C","60","DT",17,42,1,0.404761904761905,0.576271186440678,17,0,55.1176470588235,0,5,0
"54","A","4","C","60","MM",11,42,0.909090909090909,0.238095238095238,0.377358490566038,10,1,51,10,15,10
"55","A","4","N","60","8K",56,25,0.928571428571429,0.52,0.666666666666667,13,1,167.923076923077,31,7,31
"56","A","4","N","60","DT",21,25,0.904761904761905,0.76,0.826086956521739,19,2,150.526315789474,61,7,92
"57","A","4","N","60","MM",16,25,0.875,0.56,0.682926829268293,14,2,137.357142857143,62,15,93
"58","A","4","V","60","8K",30,42,1,0.214285714285714,0.352941176470588,9,0,45.3333333333333,0,6,0
"59","A","4","V","60","DT",16,42,1,0.380952380952381,0.551724137931034,16,0,38.75,0,4,0
"60","A","4","V","60","MM",10,42,1,0.238095238095238,0.384615384615385,10,0,40,0,13,0
"61","A","5","C","60","8K",54,42,0.9375,0.357142857142857,0.517241379310345,15,1,76.4,51,45,51
"62","A","5","C","60","DT",24,42,0.958333333333333,0.547619047619048,0.696969696969697,23,1,65.4782608695652,50,9,50
"63","A","5","C","60","MM",19,42,0.947368421052632,0.428571428571429,0.590163934426229,18,1,68.9444444444444,51,9,51
"64","A","5","N","60","8K",29,28,1,0.321428571428571,0.486486486486487,9,0,87.5555555555556,0,68,0
"65","A","5","N","60","DT",19,28,0.947368421052632,0.642857142857143,0.765957446808511,18,1,84.8333333333333,82,55,82
"66","A","5","N","60","MM",15,28,0.933333333333333,0.5,0.651162790697674,14,1,81.1428571428571,83,56,83
"67","A","5","V","60","8K",51,42,0.933333333333333,0.325581395348837,0.482758620689655,14,1,72.2142857142857,45,45,45
