Community,Depth,Taxonomic_distribution,Abundance_distribution,Pipeline,Number_of_bins,Taxonomies_found,Number_FP
A,10,R,2,8k,42,11,4
A,10,R,2,DT,17,16,1
A,10,R,2,MM,10,10,0
A,10,R,3,8k,43,13,1
A,10,R,3,DT,16,14,2
A,10,R,3,MM,8,8,0
A,30,R,2,8k,28,7,0
A,30,R,2,DT,14,13,1
A,30,R,2,MM,10,10,0
A,30,R,3,8k,49,12,4
A,30,R,3,DT,28,26,2
A,30,R,3,MM,17,15,2
A,60,O,1,8k,60,15,4
A,60,O,1,DT,22,21,1
A,60,O,1,MM,0,0,0
A,60,C,2,8k,36,9,0
A,60,C,2,DT,16,16,0
A,60,C,2,MM,12,11,1
A,60,N,2,8k,41,10,4
A,60,N,2,DT,15,14,1
A,60,N,2,MM,11,10,1
A,60,R,2,8k,45,12,4
A,60,R,2,DT,23,22,1
A,60,R,2,MM,18,17,1
A,60,V,2,8k,35,10,0
A,60,V,2,DT,15,15,0
A,60,V,2,MM,10,10,0
A,60,C,3,8k,54,16,4
A,60,C,3,DT,23,22,1
A,60,C,3,MM,20,21,1
A,60,N,3,8k,41,10,4
A,60,N,3,DT,18,17,1
A,60,N,3,MM,14,13,1
A,60,R,3,8k,46,12,4
A,60,R,3,DT,31,29,2
A,60,R,3,MM,17,17,1
A,60,V,3,8k,42,12,1
A,60,V,3,DT,23,22,1
A,60,V,3,MM,18,17,1
A,60,C,4,8k,42,11,0
A,60,C,4,DT,17,17,0
A,60,C,4,MM,11,10,1
A,60,N,4,8k,56,13,4
A,60,N,4,DT,21,19,2
A,60,N,4,MM,16,14,2
A,60,V,4,8k,30,9,0
A,60,V,4,DT,16,16,0
A,60,V,4,MM,10,10,0
A,60,C,5,8k,54,15,4
A,60,C,5,DT,24,23,1
A,60,C,5,MM,19,18,1
A,60,N,5,8k,29,9,0
A,60,N,5,DT,19,18,1
A,60,N,5,MM,15,14,1
A,60,V,5,8k,51,13,4
A,60,V,5,DT,22,21,1
A,60,V,5,MM,20,18,2
A,120,R,2,8k,33,7,5
A,120,R,2,DT,23,20,3
A,120,R,2,MM,2,2,0
A,120,R,3,8k,50,13,1
A,120,R,3,DT,24,23,1
A,120,R,3,MM,7,7,0
A,180,R,2,8k,59,16,4
A,180,R,2,DT,28,27,1
A,180,R,2,MM,1,0,1
A,180,R,3,8k,47,14,2
A,180,R,3,DT,21,20,1
A,180,R,3,MM,6,6,0
B,10,R,2,8k,49,12,5
B,10,R,2,DT,17,15,2
B,10,R,2,MM,9,8,1
B,10,R,3,8k,46,10,9
B,10,R,3,DT,24,21,3
B,10,R,3,MM,10,9,1
B,30,R,2,8k,20,5,1
B,30,R,2,DT,8,8,0
B,30,R,2,MM,13,12,1
B,30,R,3,8k,40,9,5
B,30,R,3,DT,24,22,2
B,30,R,3,MM,18,18,0
B,60,O,1,8k,50,12,8
B,60,O,1,DT,25,22,3
B,60,O,1,MM,1,1,0
B,60,C,2,8k,34,9,4
B,60,C,2,DT,18,17,1
B,60,C,2,MM,12,12,0
B,60,N,2,8k,52,11,8
B,60,N,2,DT,17,15,2
B,60,N,2,MM,14,13,1
B,60,R,2,8k,48,15,4
B,60,R,2,DT,23,21,2
B,60,R,2,MM,16,14,2
B,60,V,2,8k,43,10,4
B,60,V,2,DT,15,14,1
B,60,V,2,MM,13,13,0
B,60,C,3,8k,51,12,8
B,60,C,3,DT,24,22,2
B,60,C,3,MM,15,14,1
B,60,N,3,8k,48,13,5
B,60,N,3,DT,19,17,2
B,60,N,3,MM,16,14,2
B,60,R,3,8k,58,13,12
B,60,R,3,DT,27,24,3
B,60,R,3,MM,16,15,1
B,60,V,3,8k,49,11,8
B,60,V,3,DT,23,21,2
B,60,V,3,MM,21,20,1
B,60,C,4,8k,48,11,4
B,60,C,4,DT,7,6,1
B,60,C,4,MM,14,14,0
B,60,N,4,8k,51,14,4
B,60,N,4,DT,21,19,2
B,60,N,4,MM,16,15,1
B,60,V,4,8k,37,9,4
B,60,V,4,DT,15,14,1
B,60,V,4,MM,10,9,0
B,60,C,5,8k,58,14,9
B,60,C,5,DT,23,20,3
B,60,C,5,MM,14,14,0
B,60,N,5,8k,53,12,12
B,60,N,5,DT,22,19,3
B,60,N,5,MM,16,13,2
B,60,V,5,8k,49,11,8
B,60,V,5,DT,21,19,2
B,60,V,5,MM,15,14,1
B,120,R,2,8k,45,10,8
B,120,R,2,DT,24,22,2
B,120,R,2,MM,4,3,1
B,120,R,3,8k,57,13,12
B,120,R,3,DT,32,29,3
B,120,R,3,MM,7,6,1
B,180,R,2,8k,31,7,9
B,180,R,2,DT,28,25,3
B,180,R,2,MM,0,0,0
B,180,R,3,8k,51,13,8
B,180,R,3,DT,34,31,3
B,180,R,3,MM,9,9,0
C,10,R,2,8k,24,6,0
C,10,R,2,DT,15,15,0
C,10,R,2,MM,8,8,0
C,10,R,3,8k,36,9,4
C,10,R,3,DT,16,15,1
C,10,R,3,MM,8,7,1
C,30,R,2,8k,50,12,4
C,30,R,2,DT,21,18,3
C,30,R,2,MM,14,12,2
C,30,R,3,8k,33,8,4
C,30,R,3,DT,25,23,2
C,30,R,3,MM,20,16,4
C,60,O,1,8k,40,9,4
C,60,O,1,DT,17,16,1
C,60,O,1,MM,1,1,0
C,60,C,2,8k,17,5,0
C,60,C,2,DT,20,18,2
C,60,C,2,MM,16,14,2
C,60,N,2,8k,36,8,4
C,60,N,2,DT,20,17,3
C,60,N,2,MM,20,17,3
C,60,R,2,8k,30,8,0
C,60,R,2,DT,25,22,3
C,60,R,2,MM,12,10,2
C,60,V,2,8k,13,4,0
C,60,V,2,DT,18,16,2
C,60,V,2,MM,14,12,2
C,60,C,3,8k,44,10,4
C,60,C,3,DT,22,21,1
C,60,C,3,MM,23,20,3
C,60,N,3,8k,58,16,4
C,60,N,3,DT,19,18,1
C,60,N,3,MM,19,17,1
C,60,R,3,8k,49,12,4
C,60,R,3,DT,32,29,3
C,60,R,3,MM,19,17,2
C,60,V,3,8k,42,11,4
C,60,V,3,DT,17,16,1
C,60,V,3,MM,25,22,3
C,60,C,4,8k,15,6,0
C,60,C,4,DT,17,15,2
C,60,C,4,MM,15,13,2
C,60,N,4,8k,39,10,3
C,60,N,4,DT,20,18,2
C,60,N,4,MM,16,14,2
C,60,V,4,8k,12,3,0
C,60,V,4,DT,15,13,2
C,60,V,4,MM,16,14,2
C,60,C,5,8k,49,12,4
C,60,C,5,DT,19,18,1
C,60,C,5,MM,25,22,3
C,60,N,5,8k,55,13,4
C,60,N,5,DT,15,14,1
C,60,N,5,MM,15,13,2
C,60,V,5,8k,41,10,4
C,60,V,5,DT,16,15,1
C,60,V,5,MM,17,15,2
C,120,R,2,8k,33,8,4
C,120,R,2,DT,9,7,2
C,120,R,2,MM,3,2,1
C,120,R,3,8k,41,10,4
C,120,R,3,DT,34,30,4
C,120,R,3,MM,6,6,0
C,180,R,2,8k,31,9,0
C,180,R,2,DT,23,20,3
C,180,R,2,MM,3,2,1
C,180,R,3,8k,46,12,4
C,180,R,3,DT,27,24,3
C,180,R,3,MM,7,6,1
