Bin.Id	Community	Abundance_distribution	Taxonomic_distribution	Depth	Pipeline	Marker lineage	Completeness	Contamination	Strain heterogeneity
B.1.O.60-8K-bin.1	B	1	O	60	8K	f__Rhodobacteraceae (UID3356)	93.68	0.04	0
B.1.O.60-8K-bin.10	B	1	O	60	8K	o__Actinomycetales (UID1812)	98.9	0.55	0
B.1.O.60-8K-bin.11	B	1	O	60	8K	o__Sphingomonadales (UID3310)	94.41	0.34	0
B.1.O.60-8K-bin.12	B	1	O	60	8K	o__Flavobacteriales (UID2815)	98.53	0	0
B.1.O.60-8K-bin.13	B	1	O	60	8K	c__Thermoprotei (UID148)	99.37	0	0
B.1.O.60-8K-bin.14	B	1	O	60	8K	c__Thermoprotei (UID148)	99.37	0	0
B.1.O.60-8K-bin.15	B	1	O	60	8K	o__Actinomycetales (UID1812)	99.67	0.79	0
B.1.O.60-8K-bin.16	B	1	O	60	8K	f__Rhodobacteraceae (UID3356)	96.11	0.04	0
B.1.O.60-8K-bin.17	B	1	O	60	8K	f__Bifidobacteriaceae (UID1458)	88.94	0	0
B.1.O.60-8K-bin.18	B	1	O	60	8K	c__Thermoprotei (UID148)	100	0.63	0
B.1.O.60-8K-bin.19	B	1	O	60	8K	o__Flavobacteriales (UID2815)	100	0	0
B.1.O.60-8K-bin.2	B	1	O	60	8K	c__Thermoprotei (UID148)	99.37	0	0
B.1.O.60-8K-bin.20	B	1	O	60	8K	c__Thermoprotei (UID148)	99.37	0	0
B.1.O.60-8K-bin.21	B	1	O	60	8K	o__Campylobacterales (UID3068)	99.41	0.42	0
B.1.O.60-8K-bin.22	B	1	O	60	8K	o__Flavobacteriales (UID2815)	98.53	0	0
B.1.O.60-8K-bin.23	B	1	O	60	8K	o__Actinomycetales (UID1812)	98.9	0.55	0
B.1.O.60-8K-bin.24	B	1	O	60	8K	o__Rhizobiales (UID3481)	98.64	0.44	0
B.1.O.60-8K-bin.25	B	1	O	60	8K	f__Micrococcaceae (UID1623)	98.32	1.15	33.33
B.1.O.60-8K-bin.26	B	1	O	60	8K	c__Thermoprotei (UID148)	100	0.63	0
B.1.O.60-8K-bin.27	B	1	O	60	8K	o__Campylobacterales (UID3068)	99.41	0.42	0
B.1.O.60-8K-bin.28	B	1	O	60	8K	f__Vibrionaceae (UID4868)	93.68	0.56	0
B.1.O.60-8K-bin.29	B	1	O	60	8K	o__Actinomycetales (UID1812)	98.9	0.55	0
B.1.O.60-8K-bin.3	B	1	O	60	8K	f__Micrococcaceae (UID1623)	98.32	1.15	33.33
B.1.O.60-8K-bin.30	B	1	O	60	8K	o__Actinomycetales (UID1812)	99.67	0.79	0
B.1.O.60-8K-bin.31	B	1	O	60	8K	c__Thermoprotei (UID148)	99.37	0	0
B.1.O.60-8K-bin.32	B	1	O	60	8K	f__Vibrionaceae (UID4868)	89.34	0.56	0
B.1.O.60-8K-bin.33	B	1	O	60	8K	f__Rhodobacteraceae (UID3356)	93.68	0.04	0
B.1.O.60-8K-bin.34	B	1	O	60	8K	c__Thermoprotei (UID148)	99.37	0	0
B.1.O.60-8K-bin.35	B	1	O	60	8K	f__Bifidobacteriaceae (UID1458)	88.94	0	0
B.1.O.60-8K-bin.36	B	1	O	60	8K	c__Thermoprotei (UID148)	99.37	0	0
B.1.O.60-8K-bin.37	B	1	O	60	8K	f__Vibrionaceae (UID4868)	93.95	0.56	0
B.1.O.60-8K-bin.38	B	1	O	60	8K	f__Rhodobacteraceae (UID3356)	93.68	0.04	0
B.1.O.60-8K-bin.39	B	1	O	60	8K	o__Rhizobiales (UID3481)	98.64	0.44	0
B.1.O.60-8K-bin.4	B	1	O	60	8K	o__Actinomycetales (UID1812)	99.67	0.79	0
B.1.O.60-8K-bin.40	B	1	O	60	8K	o__Flavobacteriales (UID2815)	98.53	0	0
B.1.O.60-8K-bin.41	B	1	O	60	8K	o__Actinomycetales (UID1812)	99.67	0.79	0
B.1.O.60-8K-bin.42	B	1	O	60	8K	f__Micrococcaceae (UID1623)	98.32	1.15	33.33
B.1.O.60-8K-bin.43	B	1	O	60	8K	o__Campylobacterales (UID3068)	99.41	0.42	0
B.1.O.60-8K-bin.44	B	1	O	60	8K	f__Vibrionaceae (UID4868)	99.38	0.64	0
B.1.O.60-8K-bin.45	B	1	O	60	8K	o__Actinomycetales (UID1812)	98.9	0.55	0
B.1.O.60-8K-bin.46	B	1	O	60	8K	f__Halobacteriaceae (UID85)	71.93	0	0
B.1.O.60-8K-bin.47	B	1	O	60	8K	f__Bifidobacteriaceae (UID1458)	88.94	0	0
B.1.O.60-8K-bin.48	B	1	O	60	8K	o__Rhizobiales (UID3481)	98.24	0.44	0
B.1.O.60-8K-bin.49	B	1	O	60	8K	c__Thermoprotei (UID148)	100	0.63	0
B.1.O.60-8K-bin.5	B	1	O	60	8K	f__Micrococcaceae (UID1623)	98.32	1.15	33.33
B.1.O.60-8K-bin.50	B	1	O	60	8K	o__Rhizobiales (UID3481)	98.64	0.44	0
B.1.O.60-8K-bin.6	B	1	O	60	8K	c__Thermoprotei (UID148)	100	0.63	0
B.1.O.60-8K-bin.7	B	1	O	60	8K	o__Campylobacterales (UID3068)	99.41	0.42	0
B.1.O.60-8K-bin.8	B	1	O	60	8K	c__Thermoprotei (UID148)	99.37	0	0
B.1.O.60-8K-bin.9	B	1	O	60	8K	f__Bifidobacteriaceae (UID1458)	88.94	0	0
B.1.O.60-DT-bin.1	B	1	O	60	DT	c__Thermoprotei (UID148)	98.73	0	0
B.1.O.60-DT-bin.10	B	1	O	60	DT	o__Campylobacterales (UID3068)	98	2.12	0
B.1.O.60-DT-bin.11	B	1	O	60	DT	o__Flavobacteriales (UID2815)	98.53	0	0
B.1.O.60-DT-bin.12	B	1	O	60	DT	k__Archaea (UID2)	69.4	15.67	0
B.1.O.60-DT-bin.13	B	1	O	60	DT	k__Bacteria (UID203)	98.75	8.62	0
B.1.O.60-DT-bin.14	B	1	O	60	DT	f__Rhodobacteraceae (UID3340)	96.21	0	0
B.1.O.60-DT-bin.15	B	1	O	60	DT	f__Halobacteriaceae (UID85)	95.9	0	0
B.1.O.60-DT-bin.16	B	1	O	60	DT	o__Campylobacterales (UID3068)	99.41	0.42	0
B.1.O.60-DT-bin.17	B	1	O	60	DT	f__Bifidobacteriaceae (UID1462)	97.47	0.92	25
