Bin Id	Community	Abundance_distribution	Taxonomic_distribution	Depth	Pipeline	Marker lineage	Completeness	Contamination	Strain heterogeneity
C.1.O.60-8K-bin.1	C	1	O	60	8K	p__Euryarchaeota (UID49)	100	0	0
C.1.O.60-8K-bin.10	C	1	O	60	8K	k__Archaea (UID146)	99.26	0	0
C.1.O.60-8K-bin.11	C	1	O	60	8K	o__Rhizobiales (UID3447)	98.8	0.8	0
C.1.O.60-8K-bin.12	C	1	O	60	8K	k__Bacteria (UID209)	96.55	0.47	0
C.1.O.60-8K-bin.13	C	1	O	60	8K	k__Bacteria (UID209)	100	1.75	0
C.1.O.60-8K-bin.14	C	1	O	60	8K	g__Streptomyces (UID2052)	99.91	0	0
C.1.O.60-8K-bin.15	C	1	O	60	8K	k__Archaea (UID146)	99.26	0	0
C.1.O.60-8K-bin.16	C	1	O	60	8K	k__Archaea (UID146)	99.26	0	0
C.1.O.60-8K-bin.17	C	1	O	60	8K	p__Euryarchaeota (UID49)	100	0	0
C.1.O.60-8K-bin.18	C	1	O	60	8K	o__Rhizobiales (UID3447)	98.8	0.8	0
C.1.O.60-8K-bin.19	C	1	O	60	8K	g__Bacillus (UID864)	99.17	0	0
C.1.O.60-8K-bin.2	C	1	O	60	8K	k__Bacteria (UID3187)	96.58	0.85	0
C.1.O.60-8K-bin.20	C	1	O	60	8K	g__Streptomyces (UID2052)	99.91	0	0
C.1.O.60-8K-bin.21	C	1	O	60	8K	k__Bacteria (UID3187)	85.47	0.85	0
C.1.O.60-8K-bin.22	C	1	O	60	8K	k__Bacteria (UID209)	100	0	0
C.1.O.60-8K-bin.23	C	1	O	60	8K	g__Streptomyces (UID2052)	99.91	0	0
C.1.O.60-8K-bin.24	C	1	O	60	8K	f__Rhodobacteraceae (UID3340)	98.41	0.61	0
C.1.O.60-8K-bin.25	C	1	O	60	8K	k__Archaea (UID146)	99.26	0	0
C.1.O.60-8K-bin.26	C	1	O	60	8K	g__Bacillus (UID864)	99.17	0	0
C.1.O.60-8K-bin.27	C	1	O	60	8K	o__Rhizobiales (UID3447)	98.8	0.8	0
