Depth	Taxonomic_distribution	Abundance_distribution	Pipeline	Number_of_bins	Std_dev_bins	Taxonomies_found	Std_dev_tax	Number_FP	Std_dev_FP
10	R	2	8k	38.33	12.90	9.67	3.21	3.00	2.65
10	R	2	DT	16.33	1.15	15.33	0.58	1.00	1.00
10	R	2	MM	9.00	1.00	8.67	1.15	0.33	0.58
10	R	3	8k	41.67	5.13	10.67	2.08	4.67	4.04
10	R	3	DT	18.67	4.62	16.67	3.79	2.00	1.00
10	R	3	MM	8.67	1.15	8.00	1.00	0.67	0.58
30	R	2	8k	32.67	15.53	8.00	3.61	1.67	2.08
30	R	2	DT	14.33	6.51	13.00	5.00	1.33	1.53
30	R	2	MM	12.33	2.08	11.33	1.15	1.00	1.00
30	R	3	8k	40.67	8.02	9.67	2.08	4.33	0.58
30	R	3	DT	25.67	2.08	23.67	2.08	2.00	0.00
30	R	3	MM	18.33	1.53	16.33	1.53	2.00	2.00
60	O	1	8k	50.00	10.00	12.00	3.00	5.33	2.31
60	O	1	DT	21.33	4.04	19.67	3.21	1.67	1.15
60	O	1	MM	0.67	0.58	0.67	0.58	0.00	0.00
60	C	2	8k	29.00	10.44	7.67	2.31	1.33	2.31
60	C	2	DT	18.00	2.00	17.00	1.00	1.00	1.00
60	C	2	MM	13.33	2.31	12.33	1.53	1.00	1.00
60	N	2	8k	43.00	8.19	9.67	1.53	5.33	2.31
60	N	2	DT	17.33	2.52	15.33	1.53	2.00	1.00
60	N	2	MM	15.00	4.58	13.33	3.51	1.67	1.15
60	R	2	8k	41.00	9.64	11.67	3.51	2.67	2.31
60	R	2	DT	23.67	1.15	21.67	0.58	2.00	1.00
60	R	2	MM	15.33	3.06	13.67	3.51	1.67	0.58
60	V	2	8k	30.33	15.53	8.00	3.46	1.33	2.31
60	V	2	DT	16.00	1.73	15.00	1.00	1.00	1.00
60	V	2	MM	12.33	2.08	11.67	1.53	0.67	1.15
60	C	3	8k	49.67	5.13	12.67	3.06	5.33	2.31
60	C	3	DT	23.00	1.00	21.67	0.58	1.33	0.58
60	C	3	MM	19.33	4.04	18.33	3.79	1.67	1.15
60	N	3	8k	49.00	8.54	13.00	3.00	4.33	0.58
60	N	3	DT	18.67	0.58	17.33	0.58	1.33	0.58
60	N	3	MM	16.33	2.52	14.67	2.08	1.33	0.58
60	R	3	8k	51.00	6.24	12.33	0.58	6.67	4.62
60	R	3	DT	30.00	2.65	27.33	2.89	2.67	0.58
60	R	3	MM	17.33	1.53	16.33	1.15	1.33	0.58
60	V	3	8k	44.33	4.04	11.33	0.58	4.33	3.51
60	V	3	DT	21.00	3.46	19.67	3.21	1.33	0.58
60	V	3	MM	21.33	3.51	19.67	2.52	1.67	1.15
60	C	4	8k	35.00	17.58	9.33	2.89	1.33	2.31
60	C	4	DT	13.67	5.77	12.67	5.86	1.00	1.00
60	C	4	MM	13.33	2.08	12.33	2.08	1.00	1.00
60	N	4	8k	48.67	8.74	12.33	2.08	3.67	0.58
60	N	4	DT	20.67	0.58	18.67	0.58	2.00	0.00
60	N	4	MM	16.00	0.00	14.33	0.58	1.67	0.58
60	V	4	8k	26.33	12.90	7.00	3.46	1.33	2.31
60	V	4	DT	15.33	0.58	14.33	1.53	1.00	1.00
60	V	4	MM	12.00	3.46	11.00	2.65	0.67	1.15
60	C	5	8k	53.67	4.51	13.67	1.53	5.67	2.89
60	C	5	DT	22.00	2.65	20.33	2.52	1.67	1.15
60	C	5	MM	19.33	5.51	18.00	4.00	1.33	1.53
60	N	5	8k	45.67	14.47	11.33	2.08	5.33	6.11
60	N	5	DT	18.67	3.51	17.00	2.65	1.67	1.15
60	N	5	MM	15.33	0.58	13.33	0.58	1.67	0.58
60	V	5	8k	47.00	5.29	11.33	1.53	5.33	2.31
60	V	5	DT	19.67	3.21	18.33	3.06	1.33	0.58
60	V	5	MM	17.33	2.52	15.67	2.08	1.67	0.58
120	R	2	8k	37.00	6.93	8.33	1.53	5.67	2.08
120	R	2	DT	18.67	8.39	16.33	8.14	2.33	0.58
120	R	2	MM	3.00	1.00	2.33	0.58	0.67	0.58
120	R	3	8k	49.33	8.02	12.00	1.73	5.67	5.69
120	R	3	DT	30.00	5.29	27.33	3.79	2.67	1.53
120	R	3	MM	6.67	0.58	6.33	0.58	0.33	0.58
180	R	2	8k	40.33	16.17	10.67	4.73	4.33	4.51
180	R	2	DT	26.33	2.89	24.00	3.61	2.33	1.15
180	R	2	MM	1.33	1.53	0.67	1.15	0.67	0.58
180	R	3	8k	48.00	2.65	13.00	1.00	4.67	3.06
180	R	3	DT	27.33	6.51	25.00	5.57	2.33	1.15
180	R	3	MM	7.33	1.53	7.00	1.73	0.33	0.58
