Community,Sequencing Depth,Taxonomy distribution,Evenness distribution,Pipeline,Number of MAGs,Original taxonomies found,Number of False Positive Taxonomies,Number of FalseNegative Taxonomies
A,10,R,2,8K,42,11,4,31
A,10,R,2,DT,17,16,1,26
A,10,R,2,MM,10,10,0,32
A,10,R,3,8K,43,13,1,29
A,10,R,3,DT,16,14,2,28
A,10,R,3,MM,8,8,0,34
A,30,R,2,8K,28,7,0,35
A,30,R,2,DT,14,13,1,29
A,30,R,2,MM,10,10,0,32
A,30,R,3,8K,49,12,4,30
A,30,R,3,DT,28,26,2,16
A,30,R,3,MM,17,15,2,27
A,60,O,1,8K,60,15,4,27
A,60,O,1,DT,22,21,1,21
A,60,O,1,MM,0,0,0,42
A,60,C,2,8K,36,9,0,33
A,60,C,2,DT,16,16,0,26
A,60,C,2,MM,12,11,1,31
A,60,N,2,8K,41,10,4,32
A,60,N,2,DT,15,14,1,28
A,60,N,2,MM,11,10,1,32
A,60,R,2,8K,45,12,4,30
A,60,R,2,DT,23,22,1,20
A,60,R,2,MM,18,17,1,25
A,60,V,2,8K,35,10,0,32
A,60,V,2,DT,15,15,0,27
A,60,V,2,MM,10,10,0,32
A,60,C,3,8K,54,16,4,26
A,60,C,3,DT,23,22,1,20
A,60,C,3,MM,20,21,1,21
A,60,N,3,8K,41,10,4,32
A,60,N,3,DT,18,17,1,25
A,60,N,3,MM,14,13,1,29
A,60,R,3,8K,46,12,4,30
A,60,R,3,DT,31,29,2,13
A,60,R,3,MM,17,17,1,25
A,60,V,3,8K,42,12,1,30
A,60,V,3,DT,23,22,1,20
A,60,V,3,MM,18,17,1,25
A,60,C,4,8K,42,11,0,31
A,60,C,4,DT,17,17,0,25
A,60,C,4,MM,11,10,1,32
A,60,N,4,8K,56,13,4,29
A,60,N,4,DT,21,19,2,23
A,60,N,4,MM,16,14,2,28
A,60,V,4,8K,30,9,0,33
A,60,V,4,DT,16,16,0,26
A,60,V,4,MM,10,10,0,32
A,60,C,5,8K,54,15,4,27
A,60,C,5,DT,24,23,1,19
A,60,C,5,MM,19,18,1,24
A,60,N,5,8K,29,9,0,33
A,60,N,5,DT,19,18,1,24
A,60,N,5,MM,15,14,1,28
A,60,V,5,8K,51,13,4,29
A,60,V,5,DT,22,21,1,21
A,60,V,5,MM,20,18,2,24
A,120,R,2,8K,33,7,5,35
A,120,R,2,DT,23,20,3,22
A,120,R,2,MM,2,2,0,40
A,120,R,3,8K,50,13,1,29
A,120,R,3,DT,24,23,1,19
A,120,R,3,MM,7,7,0,35
A,180,R,2,8K,59,16,4,26
A,180,R,2,DT,28,27,1,15
A,180,R,2,MM,1,0,1,42
A,180,R,3,8K,47,14,2,28
A,180,R,3,DT,21,20,1,22
A,180,R,3,MM,6,6,0,36
