"Evenness.distribution" "group1" "group2" "n1" "n2" "p" "p.adj" "p.adj.signif"
"1" 2 "10" "30" 3 3 0.047 0.474 "ns"
"2" 2 "10" "60" 3 3 0.121 1 "ns"
"3" 2 "10" "120" 3 3 0.004 0.037 "*"
"4" 2 "10" "180" 3 3 0.001 0.011 "*"
"5" 2 "30" "60" 3 3 0.371 1 "ns"
"6" 2 "30" "120" 3 3 0.001 0.013 "*"
"7" 2 "30" "180" 3 3 0.000348 0.003 "**"
"8" 2 "60" "120" 3 3 0.028 0.279 "ns"
"9" 2 "60" "180" 3 3 0.016 0.159 "ns"
"10" 2 "120" "180" 3 3 0.113 1 "ns"
"11" 3 "10" "30" 3 3 0.003 0.025 "*"
"12" 3 "10" "60" 3 3 0.00077 0.008 "**"
"13" 3 "10" "120" 3 3 0.082 0.824 "ns"
"14" 3 "10" "180" 3 3 0.447 1 "ns"
"15" 3 "30" "60" 3 3 1 1 "ns"
"16" 3 "30" "120" 3 3 0.004 0.035 "*"
"17" 3 "30" "180" 3 3 0.002 0.023 "*"
"18" 3 "60" "120" 3 3 0.00099 0.01 "**"
"19" 3 "60" "180" 3 3 0.003 0.026 "*"
"20" 3 "120" "180" 3 3 0.581 1 "ns"
