"Evenness.distribution" "group1" "group2" "n1" "n2" "p" "p.adj" "p.adj.signif"
"1" 2 "10" "30" 3 3 0.387 1 "ns"
"2" 2 "10" "60" 3 3 0.047 0.474 "ns"
"3" 2 "10" "120" 3 3 0.519 1 "ns"
"4" 2 "10" "180" 3 3 0.519 1 "ns"
"5" 2 "30" "60" 3 3 0.387 1 "ns"
"6" 2 "30" "120" 3 3 0.649 1 "ns"
"7" 2 "30" "180" 3 3 0.649 1 "ns"
"8" 2 "60" "120" 3 3 0.101 1 "ns"
"9" 2 "60" "180" 3 3 0.101 1 "ns"
"10" 2 "120" "180" 3 3 1 1 "ns"
"11" 3 "10" "30" 3 3 0.369 1 "ns"
"12" 3 "10" "60" 3 3 0.23 1 "ns"
"13" 3 "10" "120" 3 3 0.519 1 "ns"
"14" 3 "10" "180" 3 3 0.519 1 "ns"
"15" 3 "30" "60" 3 3 0.628 1 "ns"
"16" 3 "30" "120" 3 3 0.283 1 "ns"
"17" 3 "30" "180" 3 3 0.283 1 "ns"
"18" 3 "60" "120" 3 3 0.101 1 "ns"
"19" 3 "60" "180" 3 3 0.101 1 "ns"
"20" 3 "120" "180" 3 3 1 1 "ns"
