"Evenness.distribution" "group1" "group2" "n1" "n2" "p" "p.adj" "p.adj.signif"
"1" 2 "10" "30" 3 3 0.653 1 "ns"
"2" 2 "10" "60" 3 3 0.79 1 "ns"
"3" 2 "10" "120" 3 3 0.884 1 "ns"
"4" 2 "10" "180" 3 3 0.875 1 "ns"
"5" 2 "30" "60" 3 3 0.482 1 "ns"
"6" 2 "30" "120" 3 3 0.691 1 "ns"
"7" 2 "30" "180" 3 3 0.586 1 "ns"
"8" 2 "60" "120" 3 3 0.594 1 "ns"
"9" 2 "60" "180" 3 3 0.955 1 "ns"
"10" 2 "120" "180" 3 3 0.766 1 "ns"
"11" 3 "10" "30" 3 3 0.866 1 "ns"
"12" 3 "10" "60" 3 3 0.119 1 "ns"
"13" 3 "10" "120" 3 3 0.247 1 "ns"
"14" 3 "10" "180" 3 3 0.154 1 "ns"
"15" 3 "30" "60" 3 3 0.157 1 "ns"
"16" 3 "30" "120" 3 3 0.256 1 "ns"
"17" 3 "30" "180" 3 3 0.25 1 "ns"
"18" 3 "60" "120" 3 3 0.791 1 "ns"
"19" 3 "60" "180" 3 3 0.505 1 "ns"
"20" 3 "120" "180" 3 3 0.806 1 "ns"
