"Evenness.distribution" "group1" "group2" "n1" "n2" "p" "p.adj" "p.adj.signif"
"1" 2 "10" "30" 3 3 0.65 1 "ns"
"2" 2 "10" "60" 3 3 0.001 0.015 "*"
"3" 2 "10" "120" 3 3 0.679 1 "ns"
"4" 2 "10" "180" 3 3 0.016 0.161 "ns"
"5" 2 "30" "60" 3 3 0.127 1 "ns"
"6" 2 "30" "120" 3 3 0.521 1 "ns"
"7" 2 "30" "180" 3 3 0.068 0.681 "ns"
"8" 2 "60" "120" 3 3 0.411 1 "ns"
"9" 2 "60" "180" 3 3 0.246 1 "ns"
"10" 2 "120" "180" 3 3 0.25 1 "ns"
"11" 3 "10" "30" 3 3 0.103 1 "ns"
"12" 3 "10" "60" 3 3 0.031 0.312 "ns"
"13" 3 "10" "120" 3 3 0.05 0.501 "ns"
"14" 3 "10" "180" 3 3 0.141 1 "ns"
"15" 3 "30" "60" 3 3 0.093 0.934 "ns"
"16" 3 "30" "120" 3 3 0.291 1 "ns"
"17" 3 "30" "180" 3 3 0.707 1 "ns"
"18" 3 "60" "120" 3 3 1 1 "ns"
"19" 3 "60" "180" 3 3 0.563 1 "ns"
"20" 3 "120" "180" 3 3 0.612 1 "ns"
