"Evenness.distribution" "group1" "group2" "n1" "n2" "p" "p.adj" "p.adj.signif"
"1" 2 "10" "30" 3 3 0.504 1 "ns"
"2" 2 "10" "60" 3 3 0.000178 0.002 "**"
"3" 2 "10" "120" 3 3 0.851 1 "ns"
"4" 2 "10" "180" 3 3 0.05 0.499 "ns"
"5" 2 "30" "60" 3 3 0.093 0.934 "ns"
"6" 2 "30" "120" 3 3 0.585 1 "ns"
"7" 2 "30" "180" 3 3 0.042 0.415 "ns"
"8" 2 "60" "120" 3 3 0.374 1 "ns"
"9" 2 "60" "180" 3 3 0.379 1 "ns"
"10" 2 "120" "180" 3 3 0.241 1 "ns"
"11" 3 "10" "30" 3 3 0.065 0.648 "ns"
"12" 3 "10" "60" 3 3 0.02 0.203 "ns"
"13" 3 "10" "120" 3 3 0.026 0.26 "ns"
"14" 3 "10" "180" 3 3 0.108 1 "ns"
"15" 3 "30" "60" 3 3 0.156 1 "ns"
"16" 3 "30" "120" 3 3 0.235 1 "ns"
"17" 3 "30" "180" 3 3 0.728 1 "ns"
"18" 3 "60" "120" 3 3 1 1 "ns"
"19" 3 "60" "180" 3 3 0.565 1 "ns"
"20" 3 "120" "180" 3 3 0.585 1 "ns"
