"Evenness.distribution","group1","group2","n1","n2","p","p.adj","p.adj.signif"
"2","10","30",3,3,0.583,1,"ns"
"2","10","60",3,3,0.507,1,"ns"
"2","10","120",3,3,0.565,1,"ns"
"2","10","180",3,3,0.779,1,"ns"
"2","30","60",3,3,0.276,1,"ns"
"2","30","120",3,3,0.893,1,"ns"
"2","30","180",3,3,0.483,1,"ns"
"2","60","120",3,3,0.237,1,"ns"
"2","60","180",3,3,0.784,1,"ns"
"2","120","180",3,3,0.488,1,"ns"
"3","10","30",3,3,0.588,1,"ns"
"3","10","60",3,3,0.298,1,"ns"
"3","10","120",3,3,0.443,1,"ns"
"3","10","180",3,3,0.182,1,"ns"
"3","30","60",3,3,0.149,1,"ns"
"3","30","120",3,3,0.212,1,"ns"
"3","30","180",3,3,0.091,0.913,"ns"
"3","60","120",3,3,0.777,1,"ns"
"3","60","180",3,3,0.387,1,"ns"
"3","120","180",3,3,0.447,1,"ns"
