"Evenness.distribution","group1","group2","n1","n2","p","p.adj","p.adj.signif"
"2","10","30",3,3,0.047,0.474,"ns"
"2","10","60",3,3,0.121,1,"ns"
"2","10","120",3,3,0.004,0.037,"*"
"2","10","180",3,3,0.001,0.011,"*"
"2","30","60",3,3,0.371,1,"ns"
"2","30","120",3,3,0.001,0.013,"*"
"2","30","180",3,3,0.000348,0.003,"**"
"2","60","120",3,3,0.028,0.279,"ns"
"2","60","180",3,3,0.016,0.159,"ns"
"2","120","180",3,3,0.113,1,"ns"
"3","10","30",3,3,0.003,0.025,"*"
"3","10","60",3,3,0.00077,0.008,"**"
"3","10","120",3,3,0.082,0.824,"ns"
"3","10","180",3,3,0.447,1,"ns"
"3","30","60",3,3,1,1,"ns"
"3","30","120",3,3,0.004,0.035,"*"
"3","30","180",3,3,0.002,0.023,"*"
"3","60","120",3,3,0.00099,0.01,"**"
"3","60","180",3,3,0.003,0.026,"*"
"3","120","180",3,3,0.581,1,"ns"
