"Evenness.distribution","group1","group2","n1","n2","p","p.adj","p.adj.signif"
"2","10","30",3,3,0.77,1,"ns"
"2","10","60",3,3,0.288,1,"ns"
"2","10","120",3,3,0.134,1,"ns"
"2","10","180",3,3,0.207,1,"ns"
"2","30","60",3,3,0.567,1,"ns"
"2","30","120",3,3,0.379,1,"ns"
"2","30","180",3,3,0.42,1,"ns"
"2","60","120",3,3,0.649,1,"ns"
"2","60","180",3,3,0.725,1,"ns"
"2","120","180",3,3,1,1,"ns"
"3","10","30",3,3,1,1,"ns"
"3","10","60",3,3,0.387,1,"ns"
"3","10","120",3,3,0.567,1,"ns"
"3","10","180",3,3,0.725,1,"ns"
"3","30","60",3,3,0.184,1,"ns"
"3","30","120",3,3,0.529,1,"ns"
"3","30","180",3,3,0.667,1,"ns"
"3","60","120",3,3,1,1,"ns"
"3","60","180",3,3,0.686,1,"ns"
"3","120","180",3,3,0.779,1,"ns"
