"Evenness.distribution","group1","group2","n1","n2","p","p.adj","p.adj.signif"
"2","10","30",3,3,0.387,1,"ns"
"2","10","60",3,3,0.047,0.474,"ns"
"2","10","120",3,3,0.519,1,"ns"
"2","10","180",3,3,0.519,1,"ns"
"2","30","60",3,3,0.387,1,"ns"
"2","30","120",3,3,0.649,1,"ns"
"2","30","180",3,3,0.649,1,"ns"
"2","60","120",3,3,0.101,1,"ns"
"2","60","180",3,3,0.101,1,"ns"
"2","120","180",3,3,1,1,"ns"
"3","10","30",3,3,0.369,1,"ns"
"3","10","60",3,3,0.23,1,"ns"
"3","10","120",3,3,0.519,1,"ns"
"3","10","180",3,3,0.519,1,"ns"
"3","30","60",3,3,0.628,1,"ns"
"3","30","120",3,3,0.283,1,"ns"
"3","30","180",3,3,0.283,1,"ns"
"3","60","120",3,3,0.101,1,"ns"
"3","60","180",3,3,0.101,1,"ns"
"3","120","180",3,3,1,1,"ns"
