"Evenness.distribution","group1","group2","n1","n2","p","p.adj","p.adj.signif"
"2","10","30",3,3,0.653,1,"ns"
"2","10","60",3,3,0.79,1,"ns"
"2","10","120",3,3,0.884,1,"ns"
"2","10","180",3,3,0.875,1,"ns"
"2","30","60",3,3,0.482,1,"ns"
"2","30","120",3,3,0.691,1,"ns"
"2","30","180",3,3,0.586,1,"ns"
"2","60","120",3,3,0.594,1,"ns"
"2","60","180",3,3,0.955,1,"ns"
"2","120","180",3,3,0.766,1,"ns"
"3","10","30",3,3,0.866,1,"ns"
"3","10","60",3,3,0.119,1,"ns"
"3","10","120",3,3,0.247,1,"ns"
"3","10","180",3,3,0.154,1,"ns"
"3","30","60",3,3,0.157,1,"ns"
"3","30","120",3,3,0.256,1,"ns"
"3","30","180",3,3,0.25,1,"ns"
"3","60","120",3,3,0.791,1,"ns"
"3","60","180",3,3,0.505,1,"ns"
"3","120","180",3,3,0.806,1,"ns"
