"Evenness.distribution","group1","group2","n1","n2","p","p.adj","p.adj.signif"
"2","10","30",3,3,0.65,1,"ns"
"2","10","60",3,3,0.001,0.015,"*"
"2","10","120",3,3,0.679,1,"ns"
"2","10","180",3,3,0.016,0.161,"ns"
"2","30","60",3,3,0.127,1,"ns"
"2","30","120",3,3,0.521,1,"ns"
"2","30","180",3,3,0.068,0.681,"ns"
"2","60","120",3,3,0.411,1,"ns"
"2","60","180",3,3,0.246,1,"ns"
"2","120","180",3,3,0.25,1,"ns"
"3","10","30",3,3,0.103,1,"ns"
"3","10","60",3,3,0.031,0.312,"ns"
"3","10","120",3,3,0.05,0.501,"ns"
"3","10","180",3,3,0.141,1,"ns"
"3","30","60",3,3,0.093,0.934,"ns"
"3","30","120",3,3,0.291,1,"ns"
"3","30","180",3,3,0.707,1,"ns"
"3","60","120",3,3,1,1,"ns"
"3","60","180",3,3,0.563,1,"ns"
"3","120","180",3,3,0.612,1,"ns"
