"Evenness.distribution","group1","group2","n1","n2","p","p.adj","p.adj.signif"
"2","10","30",3,3,0.504,1,"ns"
"2","10","60",3,3,0.000178,0.002,"**"
"2","10","120",3,3,0.851,1,"ns"
"2","10","180",3,3,0.05,0.499,"ns"
"2","30","60",3,3,0.093,0.934,"ns"
"2","30","120",3,3,0.585,1,"ns"
"2","30","180",3,3,0.042,0.415,"ns"
"2","60","120",3,3,0.374,1,"ns"
"2","60","180",3,3,0.379,1,"ns"
"2","120","180",3,3,0.241,1,"ns"
"3","10","30",3,3,0.065,0.648,"ns"
"3","10","60",3,3,0.02,0.203,"ns"
"3","10","120",3,3,0.026,0.26,"ns"
"3","10","180",3,3,0.108,1,"ns"
"3","30","60",3,3,0.156,1,"ns"
"3","30","120",3,3,0.235,1,"ns"
"3","30","180",3,3,0.728,1,"ns"
"3","60","120",3,3,1,1,"ns"
"3","60","180",3,3,0.565,1,"ns"
"3","120","180",3,3,0.585,1,"ns"
