"diff","lwr","upr","p adj"
"30:2-10:2",1.66666666666667,-6.16301724342268,9.49635057675602,0.998568140238496
"60:2-10:2",-1.99999999999999,-9.82968391008934,5.82968391008936,0.994462888990194
"120:2-10:2",1.33333333333335,-6.496350576756,9.1630172434227,0.999754394295144
"180:2-10:2",-0.999999999999989,-8.82968391008934,6.82968391008936,0.999977543049984
"10:3-10:2",-0.999999999999986,-8.82968391008934,6.82968391008936,0.999977543049984
"30:3-10:2",1.4210854715202e-14,-7.82968391008934,7.82968391008936,1
"60:3-10:2",-2.66666666666665,-10.496350576756,5.1630172434227,0.962777894012031
"120:3-10:2",-2.33333333333332,-10.1630172434227,5.49635057675603,0.983995076496218
"180:3-10:2",-3.33333333333332,-11.1630172434227,4.49635057675603,0.874000769807782
"60:2-30:2",-3.66666666666666,-11.496350576756,4.16301724342269,0.80494616065535
"120:2-30:2",-0.333333333333321,-8.16301724342267,7.49635057675603,0.99999999856076
"180:2-30:2",-2.66666666666666,-10.496350576756,5.16301724342269,0.96277789401203
"10:3-30:2",-2.66666666666666,-10.496350576756,5.16301724342269,0.96277789401203
"30:3-30:2",-1.66666666666666,-9.49635057675601,6.16301724342269,0.998568140238496
"60:3-30:2",-4.33333333333333,-12.1630172434227,3.49635057675603,0.63299519011998
"120:3-30:2",-3.99999999999999,-11.8296839100893,3.82968391008936,0.722928520190024
"180:3-30:2",-4.99999999999999,-12.8296839100893,2.82968391008936,0.451390680979169
"120:2-60:2",3.33333333333334,-4.49635057675601,11.1630172434227,0.874000769807778
"180:2-60:2",1,-6.82968391008935,8.82968391008935,0.999977543049984
"10:3-60:2",1,-6.82968391008935,8.82968391008935,0.999977543049984
"30:3-60:2",2,-5.82968391008935,9.82968391008935,0.994462888990194
"60:3-60:2",-0.666666666666664,-8.49635057675602,7.16301724342269,0.999999325193272
"120:3-60:2",-0.333333333333332,-8.16301724342268,7.49635057675602,0.99999999856076
"180:3-60:2",-1.33333333333333,-9.16301724342268,6.49635057675602,0.999754394295144
"180:2-120:2",-2.33333333333334,-10.1630172434227,5.49635057675601,0.983995076496217
"10:3-120:2",-2.33333333333334,-10.1630172434227,5.49635057675602,0.983995076496218
"30:3-120:2",-1.33333333333334,-9.16301724342269,6.49635057675602,0.999754394295144
"60:3-120:2",-4,-11.8296839100894,3.82968391008935,0.722928520190021
"120:3-120:2",-3.66666666666667,-11.496350576756,4.16301724342268,0.804946160655348
"180:3-120:2",-4.66666666666667,-12.496350576756,3.16301724342268,0.540771308056461
"10:3-180:2",3.5527136788005e-15,-7.82968391008935,7.82968391008935,1
"30:3-180:2",1,-6.82968391008935,8.82968391008935,0.999977543049984
"60:3-180:2",-1.66666666666666,-9.49635057675602,6.16301724342269,0.998568140238496
"120:3-180:2",-1.33333333333333,-9.16301724342268,6.49635057675602,0.999754394295144
"180:3-180:2",-2.33333333333333,-10.1630172434227,5.49635057675602,0.983995076496218
"30:3-10:3",1,-6.82968391008935,8.82968391008935,0.999977543049984
"60:3-10:3",-1.66666666666667,-9.49635057675602,6.16301724342268,0.998568140238496
"120:3-10:3",-1.33333333333334,-9.16301724342269,6.49635057675602,0.999754394295144
"180:3-10:3",-2.33333333333333,-10.1630172434227,5.49635057675602,0.983995076496218
"60:3-30:3",-2.66666666666667,-10.496350576756,5.16301724342268,0.96277789401203
"120:3-30:3",-2.33333333333334,-10.1630172434227,5.49635057675602,0.983995076496218
"180:3-30:3",-3.33333333333333,-11.1630172434227,4.49635057675602,0.874000769807779
"120:3-60:3",0.333333333333332,-7.49635057675602,8.16301724342268,0.99999999856076
"180:3-60:3",-0.666666666666664,-8.49635057675602,7.16301724342269,0.999999325193272
"180:3-120:3",-0.999999999999996,-8.82968391008935,6.82968391008935,0.999977543049984
