"diff","lwr","upr","p adj"
"30:2-10:2",0.666666666666667,-1.86494336095856,3.1982766942919,0.993125931634409
"60:2-10:2",1.33333333333333,-1.19827669429189,3.86494336095856,0.690180443753037
"120:2-10:2",0.333333333333334,-2.1982766942919,2.86494336095856,0.999970933948958
"180:2-10:2",0.333333333333334,-2.1982766942919,2.86494336095856,0.999970933948958
"10:3-10:2",0.333333333333334,-2.1982766942919,2.86494336095856,0.999970933948958
"30:3-10:2",1.66666666666667,-0.864943360958562,4.1982766942919,0.412053661982765
"60:3-10:2",1,-1.53161002762523,3.53161002762523,0.913839397287637
"120:3-10:2",4.9960036108132e-16,-2.53161002762523,2.53161002762523,1
"180:3-10:2",4.9960036108132e-16,-2.53161002762523,2.53161002762523,1
"60:2-30:2",0.666666666666668,-1.86494336095856,3.1982766942919,0.993125931634409
"120:2-30:2",-0.333333333333333,-2.86494336095856,2.1982766942919,0.999970933948958
"180:2-30:2",-0.333333333333333,-2.86494336095856,2.1982766942919,0.999970933948958
"10:3-30:2",-0.333333333333333,-2.86494336095856,2.1982766942919,0.999970933948958
"30:3-30:2",1,-1.53161002762523,3.53161002762523,0.913839397287638
"60:3-30:2",0.333333333333334,-2.1982766942919,2.86494336095856,0.999970933948958
"120:3-30:2",-0.666666666666667,-3.1982766942919,1.86494336095856,0.993125931634409
"180:3-30:2",-0.666666666666667,-3.1982766942919,1.86494336095856,0.993125931634409
"120:2-60:2",-1,-3.53161002762523,1.53161002762523,0.913839397287637
"180:2-60:2",-1,-3.53161002762523,1.53161002762523,0.913839397287637
"10:3-60:2",-1,-3.53161002762523,1.53161002762523,0.913839397287637
"30:3-60:2",0.333333333333332,-2.1982766942919,2.86494336095856,0.999970933948958
"60:3-60:2",-0.333333333333334,-2.86494336095856,2.1982766942919,0.999970933948958
"120:3-60:2",-1.33333333333333,-3.86494336095856,1.19827669429189,0.690180443753037
"180:3-60:2",-1.33333333333333,-3.86494336095856,1.19827669429189,0.690180443753037
"180:2-120:2",1.11022302462516e-16,-2.53161002762523,2.53161002762523,1
"10:3-120:2",-2.22044604925031e-16,-2.53161002762523,2.53161002762523,1
"30:3-120:2",1.33333333333333,-1.1982766942919,3.86494336095856,0.690180443753038
"60:3-120:2",0.666666666666667,-1.86494336095856,3.1982766942919,0.993125931634409
"120:3-120:2",-0.333333333333333,-2.86494336095856,2.1982766942919,0.999970933948958
"180:3-120:2",-0.333333333333333,-2.86494336095856,2.1982766942919,0.999970933948958
"10:3-180:2",-3.33066907387547e-16,-2.53161002762523,2.53161002762523,1
"30:3-180:2",1.33333333333333,-1.1982766942919,3.86494336095856,0.690180443753038
"60:3-180:2",0.666666666666667,-1.86494336095856,3.1982766942919,0.993125931634409
"120:3-180:2",-0.333333333333334,-2.86494336095856,2.1982766942919,0.999970933948958
"180:3-180:2",-0.333333333333334,-2.86494336095856,2.1982766942919,0.999970933948958
"30:3-10:3",1.33333333333333,-1.1982766942919,3.86494336095856,0.690180443753038
"60:3-10:3",0.666666666666667,-1.86494336095856,3.1982766942919,0.993125931634409
"120:3-10:3",-0.333333333333333,-2.86494336095856,2.1982766942919,0.999970933948958
"180:3-10:3",-0.333333333333333,-2.86494336095856,2.1982766942919,0.999970933948958
"60:3-30:3",-0.666666666666667,-3.1982766942919,1.86494336095856,0.993125931634409
"120:3-30:3",-1.66666666666667,-4.1982766942919,0.864943360958562,0.412053661982765
"180:3-30:3",-1.66666666666667,-4.1982766942919,0.864943360958562,0.412053661982765
"120:3-60:3",-1,-3.53161002762523,1.53161002762523,0.913839397287638
"180:3-60:3",-1,-3.53161002762523,1.53161002762523,0.913839397287638
"180:3-120:3",0,-2.53161002762523,2.53161002762523,1
