"diff","lwr","upr","p adj"
"30:2-10:2",-5.66666666666666,-34.7382773696195,23.4049440362862,0.999277221771768
"60:2-10:2",2.66666666666668,-26.4049440362861,31.7382773696195,0.999998705583584
"120:2-10:2",-1.33333333333332,-30.4049440362861,27.7382773696195,0.999999997200414
"180:2-10:2",2.00000000000001,-27.0716107029528,31.0716107029528,0.999999896870415
"10:3-10:2",3.33333333333335,-25.7382773696195,32.4049440362862,0.99999105727605
"30:3-10:2",2.33333333333334,-26.7382773696195,31.4049440362862,0.999999598285287
"60:3-10:2",12.6666666666667,-16.4049440362861,41.7382773696195,0.85919479251247
"120:3-10:2",11,-18.0716107029528,40.0716107029528,0.93168115147578
"180:3-10:2",9.66666666666668,-19.4049440362861,38.7382773696195,0.967829468135529
"60:2-30:2",8.33333333333334,-20.7382773696195,37.4049440362862,0.987653543049636
"120:2-30:2",4.33333333333334,-24.7382773696195,33.4049440362862,0.999917758202651
"180:2-30:2",7.66666666666667,-21.4049440362861,36.7382773696195,0.993055778832675
"10:3-30:2",9.00000000000001,-20.0716107029528,38.0716107029528,0.979480732177345
"30:3-30:2",8,-21.0716107029528,37.0716107029528,0.99065609305429
"60:3-30:2",18.3333333333333,-10.7382773696195,47.4049440362862,0.467703405750365
"120:3-30:2",16.6666666666667,-12.4049440362861,45.7382773696195,0.589951483842904
"180:3-30:2",15.3333333333333,-13.7382773696195,44.4049440362862,0.688584132249886
"120:2-60:2",-4,-33.0716107029528,25.0716107029528,0.999957878702991
"180:2-60:2",-0.666666666666664,-29.7382773696195,28.4049440362862,0.999999999994485
"10:3-60:2",0.666666666666671,-28.4049440362861,29.7382773696195,0.999999999994485
"30:3-60:2",-0.333333333333336,-29.4049440362862,28.7382773696195,1
"60:3-60:2",10,-19.0716107029528,39.0716107029528,0.960495239476579
"120:3-60:2",8.33333333333334,-20.7382773696195,37.4049440362862,0.987653543049635
"180:3-60:2",7,-22.0716107029528,36.0716107029528,0.996390507548915
"180:2-120:2",3.33333333333334,-25.7382773696195,32.4049440362862,0.99999105727605
"10:3-120:2",4.66666666666667,-24.4049440362861,33.7382773696195,0.999848333376745
"30:3-120:2",3.66666666666666,-25.4049440362862,32.7382773696195,0.999979814529793
"60:3-120:2",14,-15.0716107029528,43.0716107029528,0.780566791510695
"120:3-120:2",12.3333333333333,-16.7382773696195,41.4049440362862,0.876136092152573
"180:3-120:2",11,-18.0716107029528,40.0716107029528,0.93168115147578
"10:3-180:2",1.33333333333334,-27.7382773696195,30.4049440362862,0.999999997200414
"30:3-180:2",0.333333333333329,-28.7382773696195,29.4049440362861,1
"60:3-180:2",10.6666666666667,-18.4049440362862,39.7382773696195,0.942471712694707
"120:3-180:2",9.00000000000001,-20.0716107029528,38.0716107029528,0.979480732177345
"180:3-180:2",7.66666666666666,-21.4049440362862,36.7382773696195,0.993055778832675
"30:3-10:3",-1.00000000000001,-30.0716107029528,28.0716107029528,0.999999999786646
"60:3-10:3",9.33333333333333,-19.7382773696195,38.4049440362861,0.974132311543242
"120:3-10:3",7.66666666666667,-21.4049440362861,36.7382773696195,0.993055778832675
"180:3-10:3",6.33333333333333,-22.7382773696195,35.4049440362861,0.998291252148097
"60:3-30:3",10.3333333333333,-18.7382773696195,39.4049440362862,0.952061648641485
"120:3-30:3",8.66666666666668,-20.4049440362861,37.7382773696195,0.983958444329793
"180:3-30:3",7.33333333333334,-21.7382773696195,36.4049440362862,0.994939715013176
"120:3-60:3",-1.66666666666666,-30.7382773696195,27.4049440362862,0.999999979538753
"180:3-60:3",-3,-32.0716107029528,26.0716107029528,0.999996394913799
"180:3-120:3",-1.33333333333334,-30.4049440362862,27.7382773696195,0.999999997200414
