"diff","lwr","upr","p adj"
"30:2-10:2",-2,-15.7653527659615,11.7653527659615,0.999933535586583
"60:2-10:2",7.33333333333334,-6.43201943262818,21.0986860992949,0.677379475650139
"120:2-10:2",2.33333333333334,-11.4320194326282,16.0986860992949,0.999763426880369
"180:2-10:2",10,-3.76535276596151,23.7653527659615,0.2912147037617
"10:3-10:2",2.33333333333334,-11.4320194326282,16.0986860992949,0.999763426880369
"30:3-10:2",9.33333333333334,-4.43201943262818,23.0986860992949,0.374599578607271
"60:3-10:2",13.6666666666667,-0.0986860992948451,27.4320194326282,0.0526354214899118
"120:3-10:2",13.6666666666667,-0.0986860992948486,27.4320194326282,0.0526354214899117
"180:3-10:2",11,-2.76535276596151,24.7653527659615,0.191604133126514
"60:2-30:2",9.33333333333334,-4.43201943262818,23.0986860992949,0.374599578607272
"120:2-30:2",4.33333333333333,-9.43201943262818,18.0986860992948,0.977159096154828
"180:2-30:2",12,-1.76535276596151,25.7653527659615,0.121047731386961
"10:3-30:2",4.33333333333333,-9.43201943262818,18.0986860992948,0.977159096154828
"30:3-30:2",11.3333333333333,-2.43201943262818,25.0986860992949,0.165077134995959
"60:3-30:2",15.6666666666667,1.90131390070515,29.4320194326282,0.0180186908166829
"120:3-30:2",15.6666666666667,1.90131390070515,29.4320194326282,0.0180186908166829
"180:3-30:2",13,-0.765352765961516,26.7653527659615,0.0740649124629519
"120:2-60:2",-5,-18.7653527659615,8.76535276596151,0.94567796911618
"180:2-60:2",2.66666666666667,-11.0986860992948,16.4320194326282,0.999311432729168
"10:3-60:2",-5,-18.7653527659615,8.76535276596151,0.94567796911618
"30:3-60:2",2,-11.7653527659615,15.7653527659615,0.999933535586583
"60:3-60:2",6.33333333333333,-7.43201943262818,20.0986860992948,0.819406582354423
"120:3-60:2",6.33333333333333,-7.43201943262819,20.0986860992948,0.819406582354423
"180:3-60:2",3.66666666666666,-10.0986860992949,17.4320194326282,0.992549589787199
"180:2-120:2",7.66666666666667,-6.09868609929485,21.4320194326282,0.625414348755154
"10:3-120:2",0,-13.7653527659615,13.7653527659615,1
"30:3-120:2",7,-6.76535276596151,20.7653527659615,0.727719831706145
"60:3-120:2",11.3333333333333,-2.43201943262818,25.0986860992949,0.165077134995959
"120:3-120:2",11.3333333333333,-2.43201943262818,25.0986860992948,0.165077134995959
"180:3-120:2",8.66666666666667,-5.09868609929485,22.4320194326282,0.46982153490744
"10:3-180:2",-7.66666666666667,-21.4320194326282,6.09868609929485,0.625414348755154
"30:3-180:2",-0.666666666666668,-14.4320194326282,13.0986860992948,0.999999995447499
"60:3-180:2",3.66666666666666,-10.0986860992949,17.4320194326282,0.992549589787199
"120:3-180:2",3.66666666666666,-10.0986860992949,17.4320194326282,0.992549589787199
"180:3-180:2",0.999999999999996,-12.7653527659615,14.7653527659615,0.999999833112387
"30:3-10:3",7,-6.76535276596151,20.7653527659615,0.727719831706145
"60:3-10:3",11.3333333333333,-2.43201943262818,25.0986860992949,0.165077134995959
"120:3-10:3",11.3333333333333,-2.43201943262818,25.0986860992948,0.165077134995959
"180:3-10:3",8.66666666666667,-5.09868609929485,22.4320194326282,0.46982153490744
"60:3-30:3",4.33333333333333,-9.43201943262818,18.0986860992948,0.977159096154828
"120:3-30:3",4.33333333333333,-9.43201943262819,18.0986860992948,0.977159096154828
"180:3-30:3",1.66666666666666,-12.0986860992949,15.4320194326282,0.999985746274196
"120:3-60:3",-3.5527136788005e-15,-13.7653527659615,13.7653527659615,1
"180:3-60:3",-2.66666666666667,-16.4320194326282,11.0986860992948,0.999311432729168
"180:3-120:3",-2.66666666666666,-16.4320194326282,11.0986860992949,0.999311432729168
