"diff","lwr","upr","p adj"
"30:2-10:2",3.33333333333334,-1.38814371336651,8.05481038003318,0.324852230052991
"60:2-10:2",6.33333333333334,1.61185628663349,11.0548103800332,0.00377725400178164
"120:2-10:2",-6,-10.7214770466998,-1.27852295330016,0.00652588040886248
"180:2-10:2",-7.66666666666667,-12.3881437133665,-2.94518961996682,0.000426766279709279
"10:3-10:2",-0.333333333333332,-5.05481038003318,4.38814371336651,0.999999870348818
"30:3-10:2",9.33333333333333,4.61185628663349,14.0548103800332,3.10756341909135e-05
"60:3-10:2",8.33333333333334,3.61185628663349,13.0548103800332,0.000146849043498931
"120:3-10:2",-2.33333333333333,-7.05481038003318,2.38814371336651,0.756312083532543
"180:3-10:2",-1.66666666666667,-6.38814371336651,3.05481038003317,0.953956995534361
"60:2-30:2",3,-1.72147704669984,7.72147704669984,0.457915524269256
"120:2-30:2",-9.33333333333334,-14.0548103800332,-4.61185628663349,3.10756341909135e-05
"180:2-30:2",-11,-15.7214770466998,-6.27852295330016,2.70516274925026e-06
"10:3-30:2",-3.66666666666667,-8.38814371336651,1.05481038003318,0.219192420184751
"30:3-30:2",6,1.27852295330015,10.7214770466998,0.0065258804088627
"60:3-30:2",5,0.278522953300157,9.72147704669984,0.0325451077818194
"120:3-30:2",-5.66666666666667,-10.3881437133665,-0.945189619966827,0.0112349858377861
"180:3-30:2",-5.00000000000001,-9.72147704669985,-0.278522953300162,0.0325451077818188
"120:2-60:2",-12.3333333333333,-17.0548103800332,-7.61185628663349,4.40252709621447e-07
"180:2-60:2",-14,-18.7214770466998,-9.27852295330016,5.3651259102061e-08
"10:3-60:2",-6.66666666666667,-11.3881437133665,-1.94518961996682,0.00218386989083752
"30:3-60:2",3,-1.72147704669985,7.72147704669984,0.457915524269258
"60:3-60:2",2,-2.72147704669984,6.72147704669984,0.877051745474124
"120:3-60:2",-8.66666666666667,-13.3881437133665,-3.94518961996683,8.69164560540758e-05
"180:3-60:2",-8,-12.7214770466998,-3.27852295330016,0.000249646784681201
"180:2-120:2",-1.66666666666667,-6.38814371336651,3.05481038003318,0.953956995534362
"10:3-120:2",5.66666666666667,0.945189619966826,10.3881437133665,0.0112349858377861
"30:3-120:2",15.3333333333333,10.6118562866335,20.0548103800332,1.12205729152492e-08
"60:3-120:2",14.3333333333333,9.61185628663349,19.0548103800332,3.59456832077498e-08
"120:3-120:2",3.66666666666667,-1.05481038003318,8.38814371336651,0.219192420184752
"180:3-120:2",4.33333333333333,-0.388143713366511,9.05481038003317,0.0889511878669019
"10:3-180:2",7.33333333333334,2.61185628663349,12.0548103800332,0.000733010822158819
"30:3-180:2",17,12.2785229533002,21.7214770466998,1.80975134878025e-09
"60:3-180:2",16,11.2785229533002,20.7214770466998,5.31655997004776e-09
"120:3-180:2",5.33333333333333,0.611856286633489,10.0548103800332,0.0192177939049629
"180:3-180:2",6,1.27852295330015,10.7214770466998,0.0065258804088627
"30:3-10:3",9.66666666666666,4.94518961996682,14.3881437133665,1.8783820288526e-05
"60:3-10:3",8.66666666666667,3.94518961996682,13.3881437133665,8.69164560540758e-05
"120:3-10:3",-2,-6.72147704669985,2.72147704669984,0.877051745474123
"180:3-10:3",-1.33333333333334,-6.05481038003318,3.38814371336651,0.988842707830804
"60:3-30:3",-0.999999999999996,-5.72147704669984,3.72147704669985,0.998622259881057
"120:3-30:3",-11.6666666666667,-16.3881437133665,-6.94518961996682,1.07492737966286e-06
"180:3-30:3",-11,-15.7214770466998,-6.27852295330016,2.70516274925026e-06
"120:3-60:3",-10.6666666666667,-15.3881437133665,-5.94518961996683,4.34101658008945e-06
"180:3-60:3",-10,-14.7214770466998,-5.27852295330016,1.14394166152998e-05
"180:3-120:3",0.666666666666665,-4.05481038003318,5.38814371336651,0.999947660481702
