"diff","lwr","upr","p adj"
"30:2-10:2",-1.66666666666666,-9.49635057675601,6.16301724342269,0.998568140238496
"60:2-10:2",2,-5.82968391008934,9.82968391008935,0.994462888990194
"120:2-10:2",-1.33333333333333,-9.16301724342268,6.49635057675602,0.999754394295144
"180:2-10:2",1.00000000000001,-6.82968391008934,8.82968391008935,0.999977543049984
"10:3-10:2",1,-6.82968391008934,8.82968391008935,0.999977543049984
"30:3-10:2",3.5527136788005e-15,-7.82968391008934,7.82968391008935,1
"60:3-10:2",2.66666666666667,-5.16301724342268,10.496350576756,0.962777894012029
"120:3-10:2",2.33333333333334,-5.49635057675601,10.1630172434227,0.983995076496217
"180:3-10:2",3.33333333333334,-4.49635057675601,11.1630172434227,0.874000769807778
"60:2-30:2",3.66666666666666,-4.16301724342268,11.496350576756,0.804946160655349
"120:2-30:2",0.33333333333333,-7.49635057675602,8.16301724342268,0.99999999856076
"180:2-30:2",2.66666666666667,-5.16301724342268,10.496350576756,0.96277789401203
"10:3-30:2",2.66666666666666,-5.16301724342268,10.496350576756,0.96277789401203
"30:3-30:2",1.66666666666666,-6.16301724342268,9.49635057675601,0.998568140238496
"60:3-30:2",4.33333333333333,-3.49635057675602,12.1630172434227,0.632995190119978
"120:3-30:2",4,-3.82968391008935,11.8296839100893,0.722928520190022
"180:3-30:2",5,-2.82968391008935,12.8296839100893,0.451390680979166
"120:2-60:2",-3.33333333333333,-11.1630172434227,4.49635057675601,0.874000769807779
"180:2-60:2",-0.999999999999998,-8.82968391008935,6.82968391008935,0.999977543049984
"10:3-60:2",-1,-8.82968391008935,6.82968391008935,0.999977543049984
"30:3-60:2",-2,-9.82968391008935,5.82968391008935,0.994462888990194
"60:3-60:2",0.666666666666668,-7.16301724342268,8.49635057675602,0.999999325193272
"120:3-60:2",0.333333333333334,-7.49635057675601,8.16301724342268,0.99999999856076
"180:3-60:2",1.33333333333333,-6.49635057675601,9.16301724342268,0.999754394295144
"180:2-120:2",2.33333333333334,-5.49635057675601,10.1630172434227,0.983995076496218
"10:3-120:2",2.33333333333333,-5.49635057675601,10.1630172434227,0.983995076496218
"30:3-120:2",1.33333333333333,-6.49635057675601,9.16301724342268,0.999754394295144
"60:3-120:2",4,-3.82968391008935,11.8296839100893,0.722928520190021
"120:3-120:2",3.66666666666667,-4.16301724342268,11.496350576756,0.804946160655348
"180:3-120:2",4.66666666666667,-3.16301724342268,12.496350576756,0.540771308056461
"10:3-180:2",-1.77635683940025e-15,-7.82968391008935,7.82968391008935,1
"30:3-180:2",-1,-8.82968391008935,6.82968391008935,0.999977543049984
"60:3-180:2",1.66666666666667,-6.16301724342268,9.49635057675601,0.998568140238496
"120:3-180:2",1.33333333333333,-6.49635057675602,9.16301724342268,0.999754394295144
"180:3-180:2",2.33333333333333,-5.49635057675602,10.1630172434227,0.983995076496218
"30:3-10:3",-1,-8.82968391008935,6.82968391008935,0.999977543049984
"60:3-10:3",1.66666666666667,-6.16301724342268,9.49635057675602,0.998568140238496
"120:3-10:3",1.33333333333333,-6.49635057675601,9.16301724342268,0.999754394295144
"180:3-10:3",2.33333333333333,-5.49635057675601,10.1630172434227,0.983995076496218
"60:3-30:3",2.66666666666667,-5.16301724342268,10.496350576756,0.962777894012029
"120:3-30:3",2.33333333333333,-5.49635057675601,10.1630172434227,0.983995076496218
"180:3-30:3",3.33333333333333,-4.49635057675601,11.1630172434227,0.874000769807779
"120:3-60:3",-0.333333333333334,-8.16301724342268,7.49635057675601,0.99999999856076
"180:3-60:3",0.666666666666666,-7.16301724342268,8.49635057675601,0.999999325193272
"180:3-120:3",1,-6.82968391008935,8.82968391008935,0.999977543049984
