"diff","lwr","upr","p adj"
"30:2-10:2",-2.33333333333333,-14.5088866099493,9.84221994328266,0.999367665799442
"60:2-10:2",6.33333333333334,-5.84221994328265,18.5088866099493,0.703781344582006
"120:2-10:2",1,-11.175553276616,13.175553276616,0.999999508158557
"180:2-10:2",8.66666666666667,-3.50888660994932,20.8422199432827,0.315050482234831
"10:3-10:2",1.33333333333334,-10.8422199432827,13.5088866099493,0.999993977177465
"30:3-10:2",8.33333333333333,-3.84221994328266,20.5088866099493,0.362841358016562
"60:3-10:2",12,-0.175553276615984,24.175553276616,0.0554305134622441
"120:3-10:2",12,-0.175553276615984,24.175553276616,0.0554305134622441
"180:3-10:2",9.66666666666667,-2.50888660994932,21.8422199432827,0.197681591017989
"60:2-30:2",8.66666666666667,-3.50888660994932,20.8422199432827,0.315050482234832
"120:2-30:2",3.33333333333333,-8.84221994328266,15.5088866099493,0.990981888212289
"180:2-30:2",11,-1.17555327661599,23.175553276616,0.0980348606107126
"10:3-30:2",3.66666666666667,-8.50888660994932,15.8422199432827,0.982852861040057
"30:3-30:2",10.6666666666667,-1.50888660994933,22.8422199432827,0.117659842790503
"60:3-30:2",14.3333333333333,2.15778005671734,26.5088866099493,0.0133902940028192
"120:3-30:2",14.3333333333333,2.15778005671734,26.5088866099493,0.0133902940028192
"180:3-30:2",12,-0.175553276615991,24.175553276616,0.0554305134622443
"120:2-60:2",-5.33333333333334,-17.5088866099493,6.84221994328265,0.855608731763821
"180:2-60:2",2.33333333333334,-9.84221994328265,14.5088866099493,0.999367665799442
"10:3-60:2",-5,-17.175553276616,7.17555327661599,0.894649156104065
"30:3-60:2",2,-10.175553276616,14.175553276616,0.999816853581756
"60:3-60:2",5.66666666666667,-6.50888660994932,17.8422199432827,0.810092664194508
"120:3-60:2",5.66666666666667,-6.50888660994932,17.8422199432827,0.810092664194508
"180:3-60:2",3.33333333333333,-8.84221994328266,15.5088866099493,0.990981888212289
"180:2-120:2",7.66666666666667,-4.50888660994932,19.8422199432827,0.46966249324476
"10:3-120:2",0.333333333333336,-11.8422199432827,12.5088866099493,0.999999999972512
"30:3-120:2",7.33333333333333,-4.84221994328266,19.5088866099493,0.527302932883991
"60:3-120:2",11,-1.17555327661599,23.175553276616,0.0980348606107122
"120:3-120:2",11,-1.17555327661599,23.175553276616,0.0980348606107122
"180:3-120:2",8.66666666666667,-3.50888660994932,20.8422199432827,0.315050482234831
"10:3-180:2",-7.33333333333334,-19.5088866099493,4.84221994328265,0.52730293288399
"30:3-180:2",-0.333333333333339,-12.5088866099493,11.8422199432827,0.999999999972512
"60:3-180:2",3.33333333333333,-8.84221994328266,15.5088866099493,0.990981888212289
"120:3-180:2",3.33333333333333,-8.84221994328266,15.5088866099493,0.990981888212289
"180:3-180:2",0.999999999999996,-11.175553276616,13.175553276616,0.999999508158557
"30:3-10:3",7,-5.17555327661599,19.175553276616,0.586421596624767
"60:3-10:3",10.6666666666667,-1.50888660994932,22.8422199432827,0.117659842790502
"120:3-10:3",10.6666666666667,-1.50888660994932,22.8422199432827,0.117659842790502
"180:3-10:3",8.33333333333333,-3.84221994328266,20.5088866099493,0.362841358016563
"60:3-30:3",3.66666666666667,-8.50888660994932,15.8422199432827,0.982852861040057
"120:3-30:3",3.66666666666667,-8.50888660994932,15.8422199432827,0.982852861040057
"180:3-30:3",1.33333333333334,-10.8422199432827,13.5088866099493,0.999993977177465
"120:3-60:3",0,-12.175553276616,12.175553276616,1
"180:3-60:3",-2.33333333333334,-14.5088866099493,9.84221994328265,0.999367665799442
"180:3-120:3",-2.33333333333334,-14.5088866099493,9.84221994328265,0.999367665799442
