"diff","lwr","upr","p adj"
"30:2-10:2",2.66666666666667,-1.8743045499152,7.20763788324853,0.559705332002434
"60:2-10:2",5.00000000000001,0.459028783418145,9.54097121658187,0.0238063913554688
"120:2-10:2",-6.33333333333333,-10.8743045499152,-1.79236211675147,0.00249723097385146
"180:2-10:2",-8,-12.5409712165819,-3.45902878341813,0.000150456958754597
"10:3-10:2",-0.666666666666665,-5.20763788324853,3.8743045499152,0.999927515707774
"30:3-10:2",7.66666666666667,3.1256954500848,12.2076378832485,0.000261337343092305
"60:3-10:2",7.66666666666667,3.12569545008481,12.2076378832485,0.000261337343092305
"120:3-10:2",-2.33333333333333,-6.8743045499152,2.20763788324853,0.716859383203113
"180:3-10:2",-1.66666666666667,-6.20763788324853,2.8743045499152,0.942366298847614
"60:2-30:2",2.33333333333334,-2.20763788324852,6.8743045499152,0.716859383203109
"120:2-30:2",-9,-13.5409712165819,-4.45902878341814,2.99428436945082e-05
"180:2-30:2",-10.6666666666667,-15.2076378832485,-6.1256954500848,2.38176700440018e-06
"10:3-30:2",-3.33333333333333,-7.8743045499152,1.20763788324853,0.279351079529116
"30:3-30:2",5,0.459028783418137,9.54097121658186,0.0238063913554692
"60:3-30:2",5.00000000000001,0.459028783418144,9.54097121658187,0.0238063913554688
"120:3-30:2",-5,-9.54097121658187,-0.459028783418138,0.023806391355469
"180:3-30:2",-4.33333333333333,-8.8743045499152,0.207637883248529,0.0691391878465705
"120:2-60:2",-11.3333333333333,-15.8743045499152,-6.79236211675148,9.16848342691345e-07
"180:2-60:2",-13,-17.5409712165819,-8.45902878341814,9.70119361509703e-08
"10:3-60:2",-5.66666666666667,-10.2076378832485,-1.12569545008481,0.00778686480946433
"30:3-60:2",2.66666666666666,-1.8743045499152,7.20763788324852,0.559705332002439
"60:3-60:2",2.66666666666667,-1.8743045499152,7.20763788324853,0.559705332002435
"120:3-60:2",-7.33333333333334,-11.8743045499152,-2.79236211675148,0.000456631056892753
"180:3-60:2",-6.66666666666668,-11.2076378832485,-2.12569545008481,0.00141344419939748
"180:2-120:2",-1.66666666666666,-6.20763788324853,2.8743045499152,0.942366298847615
"10:3-120:2",5.66666666666667,1.12569545008481,10.2076378832485,0.00778686480946433
"30:3-120:2",14,9.45902878341814,18.5409712165819,2.75893216050704e-08
"60:3-120:2",14,9.45902878341814,18.5409712165819,2.75893216050704e-08
"120:3-120:2",4,-0.540971216581863,8.54097121658186,0.113993274572722
"180:3-120:2",4.66666666666667,0.125695450084804,9.20763788324853,0.0409338646648885
"10:3-180:2",7.33333333333333,2.79236211675147,11.8743045499152,0.000456631056892753
"30:3-180:2",15.6666666666667,11.1256954500848,20.2076378832485,3.87143317404082e-09
"60:3-180:2",15.6666666666667,11.1256954500848,20.2076378832485,3.87143317404082e-09
"120:3-180:2",5.66666666666666,1.1256954500848,10.2076378832485,0.00778686480946411
"180:3-180:2",6.33333333333333,1.79236211675147,10.8743045499152,0.00249723097385157
"30:3-10:3",8.33333333333333,3.79236211675147,12.8743045499152,8.71994981779256e-05
"60:3-10:3",8.33333333333334,3.79236211675148,12.8743045499152,8.71994981780366e-05
"120:3-10:3",-1.66666666666667,-6.20763788324853,2.87430454991519,0.942366298847614
"180:3-10:3",-1,-5.54097121658187,3.54097121658186,0.99814534668137
"60:3-30:3",7.105427357601e-15,-4.54097121658186,4.54097121658187,1
"120:3-30:3",-10,-14.5409712165819,-5.45902878341814,6.39566625892929e-06
"180:3-30:3",-9.33333333333334,-13.8743045499152,-4.79236211675147,1.77532817554615e-05
"120:3-60:3",-10,-14.5409712165819,-5.45902878341815,6.39566625892929e-06
"180:3-60:3",-9.33333333333334,-13.8743045499152,-4.79236211675148,1.77532817554615e-05
"180:3-120:3",0.666666666666667,-3.8743045499152,5.20763788324853,0.999927515707774
