"Evenness.distribution","Sequencing.Depth","group1","group2","n1","n2","p","p.adj","p.adj.signif"
"2","10","8K","DT",3,3,0.321,0.963,"ns"
"2","10","8K","MM",3,3,0.219,0.657,"ns"
"2","10","DT","MM",3,3,0.387,1,"ns"
"2","30","8K","DT",3,3,0.835,1,"ns"
"2","30","8K","MM",3,3,0.653,1,"ns"
"2","30","DT","MM",3,3,0.77,1,"ns"
"2","60","8K","DT",3,3,0.68,1,"ns"
"2","60","8K","MM",3,3,0.535,1,"ns"
"2","60","DT","MM",3,3,0.649,1,"ns"
"2","120","8K","DT",3,3,0.1,0.3,"ns"
"2","120","8K","MM",3,3,0.045,0.134,"ns"
"2","120","DT","MM",3,3,0.024,0.072,"ns"
"2","180","8K","DT",3,3,0.526,1,"ns"
"2","180","8K","MM",3,3,0.294,0.882,"ns"
"2","180","DT","MM",3,3,0.113,0.339,"ns"
"3","10","8K","DT",3,3,0.372,1,"ns"
"3","10","8K","MM",3,3,0.227,0.681,"ns"
"3","10","DT","MM",3,3,0.134,0.402,"ns"
"3","30","8K","DT",3,3,0.02,0.059,"ns"
"3","30","8K","MM",3,3,0.173,0.519,"ns"
"3","30","DT","MM",3,3,1,1,"ns"
"3","60","8K","DT",3,3,0.271,0.813,"ns"
"3","60","8K","MM",3,3,0.182,0.546,"ns"
"3","60","DT","MM",3,3,0.047,0.142,"ns"
"3","120","8K","DT",3,3,0.46,1,"ns"
"3","120","8K","MM",3,3,0.245,0.735,"ns"
"3","120","DT","MM",3,3,0.104,0.312,"ns"
"3","180","8K","DT",3,3,0.317,0.951,"ns"
"3","180","8K","MM",3,3,0.129,0.387,"ns"
"3","180","DT","MM",3,3,0.076,0.229,"ns"
