"Taxonomy.distribution","Evenness.distribution","n","mean","sd"
"C","2",9,1.11111111111111,1.36422546197874
"C","3",9,2.77777777777778,2.33333333333333
"C","4",9,1.11111111111111,1.36422546197874
"C","5",9,2.88888888888889,2.71313676601662
"N","2",9,3,2.23606797749979
"N","3",9,2.33333333333333,1.58113883008419
"N","4",9,2.44444444444444,1.0137937550497
"N","5",9,2.88888888888889,3.62092683040007
"V","2",9,1,1.4142135623731
"V","3",9,2.44444444444444,2.35112266327765
"V","4",9,1,1.4142135623731
"V","5",9,2.77777777777778,2.27913238852956
