"","diff","lwr","upr","p adj"
"DT:2:C-8K:2:C",-0.333333333333323,-6.23409299029752,5.56742632363088,1
"MM:2:C-8K:2:C",-0.333333333333332,-6.23409299029753,5.56742632363087,1
"8K:3:C-8K:2:C",4,-1.9007596569642,9.9007596569642,0.698234912572792
"DT:3:C-8K:2:C",6.88338275267597e-15,-5.90075965696419,5.90075965696421,1
"MM:3:C-8K:2:C",0.333333333333334,-5.56742632363087,6.23409299029753,1
"8K:4:C-8K:2:C",3.10862446895044e-15,-5.9007596569642,5.9007596569642,1
"DT:4:C-8K:2:C",-0.333333333333327,-6.23409299029753,5.56742632363087,1
"MM:4:C-8K:2:C",-0.333333333333332,-6.23409299029753,5.56742632363087,1
"8K:5:C-8K:2:C",4.33333333333334,-1.56742632363086,10.2340929902975,0.530133151868224
"DT:5:C-8K:2:C",0.333333333333338,-5.56742632363086,6.23409299029754,1
"MM:5:C-8K:2:C",6.66133814775094e-16,-5.9007596569642,5.9007596569642,1
"8K:2:N-8K:2:C",4,-1.9007596569642,9.9007596569642,0.698234912572792
"DT:2:N-8K:2:C",0.666666666666672,-5.23409299029753,6.56742632363087,1
"MM:2:N-8K:2:C",0.333333333333335,-5.56742632363087,6.23409299029754,1
"8K:3:N-8K:2:C",3.00000000000001,-2.90075965696419,8.90075965696421,0.982031050636373
"DT:3:N-8K:2:C",5.32907051820075e-15,-5.9007596569642,5.9007596569642,1
"MM:3:N-8K:2:C",0,-5.9007596569642,5.9007596569642,1
"8K:4:N-8K:2:C",2.33333333333334,-3.56742632363086,8.23409299029754,0.999703285552918
"DT:4:N-8K:2:C",0.666666666666673,-5.23409299029753,6.56742632363087,1
"MM:4:N-8K:2:C",0.333333333333336,-5.56742632363086,6.23409299029754,1
"8K:5:N-8K:2:C",4,-1.9007596569642,9.9007596569642,0.698234912572791
"DT:5:N-8K:2:C",0.33333333333334,-5.56742632363086,6.23409299029754,1
"MM:5:N-8K:2:C",0.333333333333338,-5.56742632363086,6.23409299029754,1
"8K:2:V-8K:2:C",4.2188474935756e-15,-5.9007596569642,5.9007596569642,1
"DT:2:V-8K:2:C",-0.333333333333327,-6.23409299029753,5.56742632363087,1
"MM:2:V-8K:2:C",-0.666666666666665,-6.56742632363087,5.23409299029754,1
"8K:3:V-8K:2:C",3.00000000000001,-2.90075965696419,8.90075965696421,0.982031050636373
"DT:3:V-8K:2:C",5.55111512312578e-15,-5.9007596569642,5.9007596569642,1
"MM:3:V-8K:2:C",0.333333333333337,-5.56742632363086,6.23409299029754,1
"8K:4:V-8K:2:C",3.33066907387547e-15,-5.9007596569642,5.9007596569642,1
"DT:4:V-8K:2:C",-0.333333333333327,-6.23409299029753,5.56742632363087,1
"MM:4:V-8K:2:C",-0.666666666666665,-6.56742632363087,5.23409299029754,1
"8K:5:V-8K:2:C",4.00000000000001,-1.9007596569642,9.9007596569642,0.69823491257279
"DT:5:V-8K:2:C",7.105427357601e-15,-5.90075965696419,5.90075965696421,1
"MM:5:V-8K:2:C",0.333333333333335,-5.56742632363087,6.23409299029754,1
"MM:2:C-DT:2:C",-9.10382880192628e-15,-5.90075965696421,5.90075965696419,1
"8K:3:C-DT:2:C",4.33333333333333,-1.56742632363088,10.2340929902975,0.530133151868232
"DT:3:C-DT:2:C",0.33333333333333,-5.56742632363087,6.23409299029753,1
"MM:3:C-DT:2:C",0.666666666666657,-5.23409299029754,6.56742632363086,1
"8K:4:C-DT:2:C",0.333333333333326,-5.56742632363087,6.23409299029753,1
"DT:4:C-DT:2:C",-4.88498130835069e-15,-5.9007596569642,5.9007596569642,1
"MM:4:C-DT:2:C",-9.2148511043888e-15,-5.90075965696421,5.90075965696419,1
"8K:5:C-DT:2:C",4.66666666666666,-1.23409299029754,10.5674263236309,0.368382188516109
"DT:5:C-DT:2:C",0.66666666666666,-5.23409299029754,6.56742632363086,1
"MM:5:C-DT:2:C",0.333333333333323,-5.56742632363088,6.23409299029752,1
"8K:2:N-DT:2:C",4.33333333333333,-1.56742632363088,10.2340929902975,0.530133151868232
"DT:2:N-DT:2:C",0.999999999999995,-4.90075965696421,6.9007596569642,1
"MM:2:N-DT:2:C",0.666666666666658,-5.23409299029754,6.56742632363086,1
"8K:3:N-DT:2:C",3.33333333333333,-2.56742632363087,9.23409299029753,0.936210225178315
"DT:3:N-DT:2:C",0.333333333333328,-5.56742632363087,6.23409299029753,1
"MM:3:N-DT:2:C",0.333333333333323,-5.56742632363088,6.23409299029752,1
"8K:4:N-DT:2:C",2.66666666666666,-3.23409299029754,8.56742632363086,0.99684063537975
"DT:4:N-DT:2:C",0.999999999999995,-4.9007596569642,6.9007596569642,1
"MM:4:N-DT:2:C",0.666666666666659,-5.23409299029754,6.56742632363086,1
"8K:5:N-DT:2:C",4.33333333333333,-1.56742632363087,10.2340929902975,0.530133151868231
"DT:5:N-DT:2:C",0.666666666666663,-5.23409299029754,6.56742632363086,1
"MM:5:N-DT:2:C",0.666666666666661,-5.23409299029754,6.56742632363086,1
"8K:2:V-DT:2:C",0.333333333333327,-5.56742632363087,6.23409299029753,1
"DT:2:V-DT:2:C",-4.2188474935756e-15,-5.9007596569642,5.9007596569642,1
"MM:2:V-DT:2:C",-0.333333333333343,-6.23409299029754,5.56742632363086,1
"8K:3:V-DT:2:C",3.33333333333333,-2.56742632363087,9.23409299029753,0.936210225178315
"DT:3:V-DT:2:C",0.333333333333328,-5.56742632363087,6.23409299029753,1
"MM:3:V-DT:2:C",0.666666666666659,-5.23409299029754,6.56742632363086,1
"8K:4:V-DT:2:C",0.333333333333326,-5.56742632363087,6.23409299029753,1
"DT:4:V-DT:2:C",-4.88498130835069e-15,-5.9007596569642,5.9007596569642,1
"MM:4:V-DT:2:C",-0.333333333333343,-6.23409299029754,5.56742632363086,1
"8K:5:V-DT:2:C",4.33333333333333,-1.56742632363087,10.2340929902975,0.53013315186823
"DT:5:V-DT:2:C",0.33333333333333,-5.56742632363087,6.23409299029753,1
"MM:5:V-DT:2:C",0.666666666666657,-5.23409299029754,6.56742632363086,1
"8K:3:C-MM:2:C",4.33333333333333,-1.56742632363087,10.2340929902975,0.530133151868228
"DT:3:C-MM:2:C",0.333333333333339,-5.56742632363086,6.23409299029754,1
"MM:3:C-MM:2:C",0.666666666666666,-5.23409299029753,6.56742632363087,1
"8K:4:C-MM:2:C",0.333333333333335,-5.56742632363087,6.23409299029754,1
"DT:4:C-MM:2:C",4.2188474935756e-15,-5.9007596569642,5.9007596569642,1
"MM:4:C-MM:2:C",-1.11022302462516e-16,-5.9007596569642,5.9007596569642,1
"8K:5:C-MM:2:C",4.66666666666667,-1.23409299029753,10.5674263236309,0.368382188516106
"DT:5:C-MM:2:C",0.666666666666669,-5.23409299029753,6.56742632363087,1
"MM:5:C-MM:2:C",0.333333333333332,-5.56742632363087,6.23409299029753,1
"8K:2:N-MM:2:C",4.33333333333333,-1.56742632363087,10.2340929902975,0.530133151868227
"DT:2:N-MM:2:C",1,-4.9007596569642,6.9007596569642,1
"MM:2:N-MM:2:C",0.666666666666667,-5.23409299029753,6.56742632363087,1
