"Evenness.distribution","Sequencing.Depth","group1","group2","n1","n2","p","p.adj","p.adj.signif"
"2","10","8K","DT",3,3,0.088,0.265,"ns"
"2","10","8K","MM",3,3,0.653,1,"ns"
"2","10","DT","MM",3,3,0.003,0.01,"**"
"2","30","8K","DT",3,3,0.239,0.717,"ns"
"2","30","8K","MM",3,3,0.246,0.738,"ns"
"2","30","DT","MM",3,3,0.626,1,"ns"
"2","60","8K","DT",3,3,0.036,0.107,"ns"
"2","60","8K","MM",3,3,0.524,1,"ns"
"2","60","DT","MM",3,3,0.055,0.166,"ns"
"2","120","8K","DT",3,3,0.228,0.684,"ns"
"2","120","8K","MM",3,3,0.012,0.037,"*"
"2","120","DT","MM",3,3,0.096,0.288,"ns"
"2","180","8K","DT",3,3,0.02,0.061,"ns"
"2","180","8K","MM",3,3,0.06,0.179,"ns"
"2","180","DT","MM",3,3,0.004,0.013,"*"
"3","10","8K","DT",3,3,0.092,0.277,"ns"
"3","10","8K","MM",3,3,0.143,0.429,"ns"
"3","10","DT","MM",3,3,0.05,0.15,"ns"
"3","30","8K","DT",3,3,0.001,0.004,"**"
"3","30","8K","MM",3,3,0.013,0.04,"*"
"3","30","DT","MM",3,3,0.01,0.03,"*"
"3","60","8K","DT",3,3,0.01,0.03,"*"
"3","60","8K","MM",3,3,0.013,0.04,"*"
"3","60","DT","MM",3,3,0.013,0.038,"*"
"3","120","8K","DT",3,3,0.01,0.029,"*"
"3","120","8K","MM",3,3,0.021,0.063,"ns"
"3","120","DT","MM",3,3,0.009,0.028,"*"
"3","180","8K","DT",3,3,0.061,0.182,"ns"
"3","180","8K","MM",3,3,0.012,0.035,"*"
"3","180","DT","MM",3,3,0.022,0.067,"ns"
