"Taxonomy.distribution","Evenness.distribution","n","mean","sd"
"C","2",9,29.6666666666667,4.30116263352131
"C","3",9,24.4444444444444,4.63980363569168
"C","4",9,30.5555555555556,3.77859468291821
"C","5",9,24.6666666666667,3.8405728739343
"N","2",9,29.2222222222222,3.23178657161089
"N","3",9,27,2.64575131106459
"N","4",9,26.8888888888889,3.01846171271247
"N","5",9,28.1111111111111,3.01846171271247
"V","2",9,30.4444444444444,3.60940130461795
"V","3",9,25.1111111111111,4.64877522699378
"V","4",9,31.2222222222222,3.92994204085053
"V","5",9,26.8888888888889,3.65528536657688
