"Evenness.distribution","Taxonomy.distribution","group1","group2","n1","n2","p","p.adj","p.adj.signif"
"2","C","8K","DT",3,3,0.01,0.031,"*"
"2","C","8K","MM",3,3,0.052,0.154,"ns"
"2","C","DT","MM",3,3,0.016,0.048,"*"
"2","N","8K","DT",3,3,0.011,0.032,"*"
"2","N","8K","MM",3,3,0.205,0.615,"ns"
"2","N","DT","MM",3,3,0.438,1,"ns"
"2","V","8K","DT",3,3,0.063,0.189,"ns"
"2","V","8K","MM",3,3,0.2,0.6,"ns"
"2","V","DT","MM",3,3,0.042,0.126,"ns"
"3","C","8K","DT",3,3,0.033,0.098,"ns"
"3","C","8K","MM",3,3,0.117,0.351,"ns"
"3","C","DT","MM",3,3,0.265,0.795,"ns"
"3","N","8K","DT",3,3,0.125,0.375,"ns"
"3","N","8K","MM",3,3,0.478,1,"ns"
"3","N","DT","MM",3,3,0.149,0.447,"ns"
"3","V","8K","DT",3,3,0.042,0.127,"ns"
"3","V","8K","MM",3,3,0.024,0.073,"ns"
"3","V","DT","MM",3,3,1,1,"ns"
"4","C","8K","DT",3,3,0.444,1,"ns"
"4","C","8K","MM",3,3,0.225,0.675,"ns"
"4","C","DT","MM",3,3,0.933,1,"ns"
"4","N","8K","DT",3,3,0.027,0.081,"ns"
"4","N","8K","MM",3,3,0.233,0.699,"ns"
"4","N","DT","MM",3,3,0.000778,0.002,"**"
"4","V","8K","DT",3,3,0.05,0.15,"ns"
"4","V","8K","MM",3,3,0.192,0.576,"ns"
"4","V","DT","MM",3,3,0.149,0.447,"ns"
"5","C","8K","DT",3,3,0.025,0.074,"ns"
"5","C","8K","MM",3,3,0.193,0.579,"ns"
"5","C","DT","MM",3,3,0.449,1,"ns"
"5","N","8K","DT",3,3,0.046,0.139,"ns"
"5","N","8K","MM",3,3,0.233,0.699,"ns"
"5","N","DT","MM",3,3,0.133,0.399,"ns"
"5","V","8K","DT",3,3,0.039,0.118,"ns"
"5","V","8K","MM",3,3,0.049,0.146,"ns"
"5","V","DT","MM",3,3,0.288,0.864,"ns"
