"","diff","lwr","upr","p adj"
"DT:2:C-8K:2:C",-9.33333333333337,-17.4377289643366,-1.22893770233014,0.00738162948412069
"MM:2:C-8K:2:C",-4.66666666666674,-12.77106229767,3.43772896433649,0.922023124305645
"8K:3:C-8K:2:C",-5.00000000000005,-13.1043956310033,3.10439563100318,0.85072659654297
"DT:3:C-8K:2:C",-14,-22.1043956310033,-5.89560436899682,9.41175345881007e-07
"MM:3:C-8K:2:C",-10.6666666666667,-18.77106229767,-2.5622710356635,0.000698265974536372
"8K:4:C-8K:2:C",-1.66666666666672,-9.77106229766995,6.43772896433651,0.999999999976697
"DT:4:C-8K:2:C",-5.00000000000005,-13.1043956310033,3.10439563100318,0.850726596542971
"MM:4:C-8K:2:C",-4.66666666666672,-12.77106229767,3.4377289643365,0.922023124305647
"8K:5:C-8K:2:C",-6.00000000000005,-14.1043956310033,2.10439563100318,0.512228166029888
"DT:5:C-8K:2:C",-12.6666666666667,-20.7710622976699,-4.56227103566348,1.43814411552867e-05
"MM:5:C-8K:2:C",-10.3333333333334,-18.4377289643366,-2.22893770233016,0.00128664910400378
"8K:2:N-8K:2:C",-2.00000000000006,-10.1043956310033,6.10439563100317,0.999999995772949
"DT:2:N-8K:2:C",-7.66666666666672,-15.7710622976699,0.437728964336511,0.0910474267993355
"MM:2:N-8K:2:C",-5.66666666666673,-13.77106229767,2.4377289643365,0.635977049526687
"8K:3:N-8K:2:C",-5.33333333333339,-13.4377289643366,2.77106229766984,0.752799493310482
"DT:3:N-8K:2:C",-9.66666666666671,-17.7710622976699,-1.56227103566349,0.00418985495463375
"MM:3:N-8K:2:C",-7.00000000000006,-15.1043956310033,1.10439563100317,0.204180080728739
"8K:4:N-8K:2:C",-4.66666666666672,-12.77106229767,3.4377289643365,0.922023124305647
"DT:4:N-8K:2:C",-11,-19.1043956310033,-2.89560436899682,0.000374390828224547
"MM:4:N-8K:2:C",-6.66666666666672,-14.77106229767,1.4377289643365,0.289425722225914
"8K:5:N-8K:2:C",-3.66666666666672,-11.77106229767,4.43772896433651,0.996782505167791
"DT:5:N-8K:2:C",-9.33333333333338,-17.4377289643366,-1.22893770233015,0.00738162948412135
"MM:5:N-8K:2:C",-5.66666666666672,-13.77106229767,2.4377289643365,0.635977049526689
"8K:2:V-8K:2:C",-0.333333333333385,-8.43772896433661,7.77106229766984,1
"DT:2:V-8K:2:C",-7.33333333333338,-15.4377289643366,0.77106229766985,0.138703319624531
"MM:2:V-8K:2:C",-4.00000000000005,-12.1043956310033,4.10439563100318,0.988024411073296
"8K:3:V-8K:2:C",-3.66666666666672,-11.77106229767,4.43772896433651,0.996782505167791
"DT:3:V-8K:2:C",-12,-20.1043956310033,-3.89560436899682,5.42886301815315e-05
"MM:3:V-8K:2:C",-12.0000000000001,-20.1043956310033,-3.89560436899683,5.42886301810874e-05
"8K:4:V-8K:2:C",0.666666666666622,-7.43772896433661,8.77106229766985,1
"DT:4:V-8K:2:C",-6.66666666666672,-14.7710622976699,1.43772896433651,0.289425722225916
"MM:4:V-8K:2:C",-3.3333333333334,-11.4377289643366,4.77106229766983,0.999378728416304
"8K:5:V-8K:2:C",-3.66666666666671,-11.7710622976699,4.43772896433651,0.996782505167791
"DT:5:V-8K:2:C",-10.6666666666667,-18.7710622976699,-2.56227103566348,0.000698265974536816
"MM:5:V-8K:2:C",-8.00000000000006,-16.1043956310033,0.104395631003168,0.0579419676431322
"MM:2:C-DT:2:C",4.66666666666663,-3.4377289643366,12.7710622976699,0.922023124305662
"8K:3:C-DT:2:C",4.33333333333331,-3.77106229766991,12.4377289643365,0.965913423191436
"DT:3:C-DT:2:C",-4.66666666666668,-12.7710622976699,3.43772896433655,0.922023124305654
"MM:3:C-DT:2:C",-1.33333333333336,-9.43772896433659,6.77106229766987,1
"8K:4:C-DT:2:C",7.66666666666665,-0.437728964336582,15.7710622976699,0.0910474267993446
"DT:4:C-DT:2:C",4.33333333333332,-3.77106229766991,12.4377289643365,0.965913423191436
"MM:4:C-DT:2:C",4.66666666666664,-3.43772896433659,12.7710622976699,0.922023124305661
"8K:5:C-DT:2:C",3.33333333333332,-4.77106229766991,11.4377289643365,0.999378728416304
"DT:5:C-DT:2:C",-3.33333333333334,-11.4377289643366,4.77106229766989,0.999378728416304
"MM:5:C-DT:2:C",-1.00000000000002,-9.10439563100325,7.1043956310032,1
"8K:2:N-DT:2:C",7.33333333333331,-0.771062297669918,15.4377289643365,0.138703319624543
"DT:2:N-DT:2:C",1.66666666666665,-6.43772896433658,9.77106229766988,0.999999999976697
"MM:2:N-DT:2:C",3.66666666666664,-4.43772896433659,11.7710622976699,0.996782505167792
"8K:3:N-DT:2:C",3.99999999999998,-4.10439563100325,12.1043956310032,0.988024411073299
"DT:3:N-DT:2:C",-0.333333333333346,-8.43772896433657,7.77106229766988,1
"MM:3:N-DT:2:C",2.33333333333331,-5.77106229766992,10.4377289643365,0.999999754610037
"8K:4:N-DT:2:C",4.66666666666664,-3.43772896433659,12.7710622976699,0.922023124305661
"DT:4:N-DT:2:C",-1.66666666666668,-9.77106229766991,6.43772896433655,0.999999999976697
"MM:4:N-DT:2:C",2.66666666666664,-5.43772896433659,10.7710622976699,0.999993878842386
"8K:5:N-DT:2:C",5.66666666666665,-2.43772896433658,13.7710622976699,0.635977049526718
"DT:5:N-DT:2:C",-1.4210854715202e-14,-8.10439563100324,8.10439563100321,1
"MM:5:N-DT:2:C",3.66666666666664,-4.43772896433659,11.7710622976699,0.996782505167792
"8K:2:V-DT:2:C",8.99999999999998,0.895604368996754,17.1043956310032,0.0127684391864646
"DT:2:V-DT:2:C",1.99999999999999,-6.10439563100324,10.1043956310032,0.999999995772949
"MM:2:V-DT:2:C",5.33333333333331,-2.77106229766991,13.4377289643365,0.752799493310507
"8K:3:V-DT:2:C",5.66666666666665,-2.43772896433658,13.7710622976699,0.635977049526718
"DT:3:V-DT:2:C",-2.66666666666668,-10.7710622976699,5.43772896433655,0.999993878842386
"MM:3:V-DT:2:C",-2.66666666666669,-10.7710622976699,5.43772896433654,0.999993878842386
"8K:4:V-DT:2:C",9.99999999999999,1.89560436899676,18.1043956310032,0.00233919056273191
"DT:4:V-DT:2:C",2.66666666666665,-5.43772896433658,10.7710622976699,0.999993878842386
"MM:4:V-DT:2:C",5.99999999999997,-2.10439563100326,14.1043956310032,0.512228166029918
"8K:5:V-DT:2:C",5.66666666666665,-2.43772896433657,13.7710622976699,0.635977049526715
"DT:5:V-DT:2:C",-1.33333333333334,-9.43772896433657,6.77106229766989,1
"MM:5:V-DT:2:C",1.33333333333331,-6.77106229766992,9.43772896433654,1
"8K:3:C-MM:2:C",-0.333333333333318,-8.43772896433655,7.77106229766991,1
"DT:3:C-MM:2:C",-9.33333333333331,-17.4377289643365,-1.22893770233008,0.00738162948412191
"MM:3:C-MM:2:C",-5.99999999999999,-14.1043956310032,2.10439563100324,0.512228166029908
"8K:4:C-MM:2:C",3.00000000000001,-5.10439563100321,11.1043956310032,0.999920332250732
"DT:4:C-MM:2:C",-0.333333333333314,-8.43772896433654,7.77106229766991,1
"MM:4:C-MM:2:C",1.06581410364015e-14,-8.10439563100322,8.10439563100324,1
"8K:5:C-MM:2:C",-1.33333333333331,-9.43772896433654,6.77106229766991,1
"DT:5:C-MM:2:C",-7.99999999999998,-16.1043956310032,0.104395631003253,0.0579419676431392
"MM:5:C-MM:2:C",-5.66666666666666,-13.7710622976699,2.43772896433657,0.635977049526714
"8K:2:N-MM:2:C",2.66666666666668,-5.43772896433655,10.7710622976699,0.999993878842386
"DT:2:N-MM:2:C",-2.99999999999998,-11.1043956310032,5.10439563100325,0.999920332250732
"MM:2:N-MM:2:C",-0.999999999999996,-9.10439563100323,7.10439563100323,1
"8K:3:N-MM:2:C",-0.666666666666654,-8.77106229766988,7.43772896433657,1
"DT:3:N-MM:2:C",-4.99999999999998,-13.1043956310032,3.10439563100325,0.850726596542989
"MM:3:N-MM:2:C",-2.33333333333333,-10.4377289643366,5.7710622976699,0.999999754610037
"8K:4:N-MM:2:C",1.06581410364015e-14,-8.10439563100322,8.10439563100324,1
"DT:4:N-MM:2:C",-6.33333333333331,-14.4377289643365,1.77106229766992,0.393683869049822
"MM:4:N-MM:2:C",-1.99999999999999,-10.1043956310032,6.10439563100324,0.999999995772949
"8K:5:N-MM:2:C",1.00000000000001,-7.10439563100321,9.10439563100324,1
"DT:5:N-MM:2:C",-4.66666666666665,-12.7710622976699,3.43772896433658,0.92202312430566
"MM:5:N-MM:2:C",-0.999999999999989,-9.10439563100322,7.10439563100324,1
"8K:2:V-MM:2:C",4.33333333333335,-3.77106229766988,12.4377289643366,0.965913423191433
"DT:2:V-MM:2:C",-2.66666666666664,-10.7710622976699,5.43772896433659,0.999993878842386
"MM:2:V-MM:2:C",0.666666666666682,-7.43772896433655,8.77106229766991,1
"8K:3:V-MM:2:C",1.00000000000001,-7.10439563100321,9.10439563100324,1
"DT:3:V-MM:2:C",-7.33333333333331,-15.4377289643365,0.771062297669918,0.138703319624543
"MM:3:V-MM:2:C",-7.33333333333333,-15.4377289643366,0.771062297669904,0.13870331962454
"8K:4:V-MM:2:C",5.33333333333336,-2.77106229766987,13.4377289643366,0.752799493310493
"DT:4:V-MM:2:C",-1.99999999999998,-10.1043956310032,6.10439563100325,0.999999995772949
"MM:4:V-MM:2:C",1.33333333333334,-6.77106229766989,9.43772896433656,1
"8K:5:V-MM:2:C",1.00000000000002,-7.10439563100321,9.10439563100325,1
"DT:5:V-MM:2:C",-5.99999999999998,-14.1043956310032,2.10439563100325,0.512228166029915
"MM:5:V-MM:2:C",-3.33333333333333,-11.4377289643366,4.7710622976699,0.999378728416304
"DT:3:C-8K:3:C",-8.99999999999999,-17.1043956310032,-0.895604368996764,0.0127684391864645
"MM:3:C-8K:3:C",-5.66666666666667,-13.7710622976699,2.43772896433655,0.635977049526707
"8K:4:C-8K:3:C",3.33333333333333,-4.7710622976699,11.4377289643366,0.999378728416304
"DT:4:C-8K:3:C",3.5527136788005e-15,-8.10439563100323,8.10439563100323,1
"MM:4:C-8K:3:C",0.333333333333329,-7.7710622976699,8.43772896433656,1
"8K:5:C-8K:3:C",-0.999999999999996,-9.10439563100323,7.10439563100323,1
"DT:5:C-8K:3:C",-7.66666666666666,-15.7710622976699,0.437728964336571,0.0910474267993436
"MM:5:C-8K:3:C",-5.33333333333334,-13.4377289643366,2.77106229766989,0.752799493310499
"8K:2:N-8K:3:C",3,-5.10439563100323,11.1043956310032,0.999920332250732
"DT:2:N-8K:3:C",-2.66666666666666,-10.7710622976699,5.43772896433656,0.999993878842386
"MM:2:N-8K:3:C",-0.666666666666679,-8.77106229766991,7.43772896433655,1
"8K:3:N-8K:3:C",-0.333333333333336,-8.43772896433656,7.77106229766989,1
"DT:3:N-8K:3:C",-4.66666666666666,-12.7710622976699,3.43772896433657,0.922023124305658
"MM:3:N-8K:3:C",-2.00000000000001,-10.1043956310032,6.10439563100322,0.999999995772949
"8K:4:N-8K:3:C",0.333333333333329,-7.7710622976699,8.43772896433656,1
"DT:4:N-8K:3:C",-5.99999999999999,-14.1043956310032,2.10439563100324,0.512228166029908
"MM:4:N-8K:3:C",-1.66666666666667,-9.7710622976699,6.43772896433656,0.999999999976697
"8K:5:N-8K:3:C",1.33333333333333,-6.7710622976699,9.43772896433656,1
"DT:5:N-8K:3:C",-4.33333333333333,-12.4377289643366,3.7710622976699,0.965913423191435
"MM:5:N-8K:3:C",-0.666666666666671,-8.7710622976699,7.43772896433656,1
"8K:2:V-8K:3:C",4.66666666666667,-3.43772896433656,12.7710622976699,0.922023124305656
"DT:2:V-8K:3:C",-2.33333333333333,-10.4377289643366,5.7710622976699,0.999999754610037
"MM:2:V-8K:3:C",1,-7.10439563100323,9.10439563100323,1
"8K:3:V-8K:3:C",1.33333333333333,-6.7710622976699,9.43772896433656,1
"DT:3:V-8K:3:C",-6.99999999999999,-15.1043956310032,1.10439563100324,0.204180080728755
"MM:3:V-8K:3:C",-7.00000000000001,-15.1043956310032,1.10439563100322,0.204180080728752
"8K:4:V-8K:3:C",5.66666666666667,-2.43772896433655,13.7710622976699,0.635977049526707
"DT:4:V-8K:3:C",-1.66666666666666,-9.77106229766989,6.43772896433656,0.999999999976697
"MM:4:V-8K:3:C",1.66666666666665,-6.43772896433657,9.77106229766988,0.999999999976697
"8K:5:V-8K:3:C",1.33333333333334,-6.77106229766989,9.43772896433657,1
"DT:5:V-8K:3:C",-5.66666666666666,-13.7710622976699,2.43772896433657,0.635977049526714
"MM:5:V-8K:3:C",-3.00000000000001,-11.1043956310032,5.10439563100322,0.999920332250732
"MM:3:C-DT:3:C",3.33333333333332,-4.77106229766991,11.4377289643365,0.999378728416304
"8K:4:C-DT:3:C",12.3333333333333,4.2289377023301,20.4377289643366,2.80403430549248e-05
"DT:4:C-DT:3:C",9,0.895604368996768,17.1043956310032,0.0127684391864646
"MM:4:C-DT:3:C",9.33333333333332,1.22893770233009,17.4377289643366,0.00738162948412069
"8K:5:C-DT:3:C",8,-0.104395631003232,16.1043956310032,0.0579419676431381
"DT:5:C-DT:3:C",1.33333333333334,-6.77106229766989,9.43772896433656,1
"MM:5:C-DT:3:C",3.66666666666665,-4.43772896433657,11.7710622976699,0.996782505167792
"8K:2:N-DT:3:C",12,3.89560436899676,20.1043956310032,5.42886301813095e-05
"DT:2:N-DT:3:C",6.33333333333333,-1.7710622976699,14.4377289643366,0.393683869049816
"MM:2:N-DT:3:C",8.33333333333331,0.228937702330086,16.4377289643365,0.035858599606408
"8K:3:N-DT:3:C",8.66666666666666,0.562271035663429,16.7710622976699,0.0216410284178993
"DT:3:N-DT:3:C",4.33333333333333,-3.7710622976699,12.4377289643366,0.965913423191435
"MM:3:N-DT:3:C",6.99999999999999,-1.10439563100324,15.1043956310032,0.204180080728757
"8K:4:N-DT:3:C",9.33333333333332,1.22893770233009,17.4377289643366,0.00738162948412069
"DT:4:N-DT:3:C",3,-5.10439563100323,11.1043956310032,0.999920332250732
"MM:4:N-DT:3:C",7.33333333333332,-0.771062297669907,15.4377289643366,0.138703319624541
"8K:5:N-DT:3:C",10.3333333333333,2.2289377023301,18.4377289643366,0.00128664910400422
"DT:5:N-DT:3:C",4.66666666666666,-3.43772896433656,12.7710622976699,0.922023124305657
"MM:5:N-DT:3:C",8.33333333333332,0.228937702330093,16.4377289643366,0.0358585996064074
"8K:2:V-DT:3:C",13.6666666666667,5.56227103566343,21.7710622976699,1.87397324769023e-06
"DT:2:V-DT:3:C",6.66666666666667,-1.43772896433656,14.7710622976699,0.28942572222593
"MM:2:V-DT:3:C",9.99999999999999,1.89560436899676,18.1043956310032,0.00233919056273213
"8K:3:V-DT:3:C",10.3333333333333,2.2289377023301,18.4377289643366,0.00128664910400422
"DT:3:V-DT:3:C",2,-6.10439563100323,10.1043956310032,0.999999995772949
"MM:3:V-DT:3:C",1.99999999999999,-6.10439563100324,10.1043956310032,0.999999995772949
"8K:4:V-DT:3:C",14.6666666666667,6.56227103566344,22.7710622976699,2.3486732636524e-07
"DT:4:V-DT:3:C",7.33333333333333,-0.7710622976699,15.4377289643366,0.138703319624539
"MM:4:V-DT:3:C",10.6666666666666,2.56227103566342,18.7710622976699,0.000698265974537482
"8K:5:V-DT:3:C",10.3333333333333,2.2289377023301,18.4377289643366,0.00128664910400444
"DT:5:V-DT:3:C",3.33333333333334,-4.77106229766989,11.4377289643366,0.999378728416304
"MM:5:V-DT:3:C",5.99999999999999,-2.10439563100324,14.1043956310032,0.512228166029911
"8K:4:C-MM:3:C",9.00000000000001,0.895604368996779,17.1043956310032,0.0127684391864644
"DT:4:C-MM:3:C",5.66666666666668,-2.43772896433655,13.7710622976699,0.635977049526706
"MM:4:C-MM:3:C",6,-2.10439563100323,14.1043956310032,0.512228166029904
"8K:5:C-MM:3:C",4.66666666666668,-3.43772896433655,12.7710622976699,0.922023124305654
"DT:5:C-MM:3:C",-1.99999999999998,-10.1043956310032,6.10439563100325,0.999999995772949
"MM:5:C-MM:3:C",0.333333333333336,-7.77106229766989,8.43772896433656,1
"8K:2:N-MM:3:C",8.66666666666667,0.562271035663443,16.7710622976699,0.0216410284178991
"DT:2:N-MM:3:C",3.00000000000001,-5.10439563100322,11.1043956310032,0.999920332250732
"MM:2:N-MM:3:C",5,-3.10439563100323,13.1043956310032,0.850726596542984
"8K:3:N-MM:3:C",5.33333333333334,-2.77106229766989,13.4377289643366,0.752799493310499
"DT:3:N-MM:3:C",1.00000000000001,-7.10439563100321,9.10439563100324,1
"MM:3:N-MM:3:C",3.66666666666667,-4.43772896433656,11.7710622976699,0.996782505167792
"8K:4:N-MM:3:C",6,-2.10439563100323,14.1043956310032,0.512228166029904
"DT:4:N-MM:3:C",-0.333333333333318,-8.43772896433655,7.77106229766991,1
"MM:4:N-MM:3:C",4,-4.10439563100323,12.1043956310032,0.988024411073298
"8K:5:N-MM:3:C",7.00000000000001,-1.10439563100322,15.1043956310032,0.204180080728752
