"Evenness.distribution","Sequencing.Depth","group1","group2","n1","n2","p","p.adj","p.adj.signif"
"2","10","8K","DT",3,3,0.097,0.29,"ns"
"2","10","8K","MM",3,3,0.058,0.174,"ns"
"2","10","DT","MM",3,3,0.001,0.004,"**"
"2","30","8K","DT",3,3,0.167,0.501,"ns"
"2","30","8K","MM",3,3,0.149,0.447,"ns"
"2","30","DT","MM",3,3,0.655,1,"ns"
"2","60","8K","DT",3,3,0.088,0.262,"ns"
"2","60","8K","MM",3,3,0.034,0.103,"ns"
"2","60","DT","MM",3,3,0.03,0.089,"ns"
"2","120","8K","DT",3,3,0.045,0.136,"ns"
"2","120","8K","MM",3,3,0.012,0.037,"*"
"2","120","DT","MM",3,3,0.082,0.245,"ns"
"2","180","8K","DT",3,3,0.271,0.813,"ns"
"2","180","8K","MM",3,3,0.052,0.155,"ns"
"2","180","DT","MM",3,3,0.000869,0.003,"**"
"3","10","8K","DT",3,3,0.005,0.014,"*"
"3","10","8K","MM",3,3,0.006,0.018,"*"
"3","10","DT","MM",3,3,0.057,0.17,"ns"
"3","30","8K","DT",3,3,0.075,0.226,"ns"
"3","30","8K","MM",3,3,0.036,0.109,"ns"
"3","30","DT","MM",3,3,0.01,0.03,"*"
"3","60","8K","DT",3,3,0.017,0.05,"*"
"3","60","8K","MM",3,3,0.008,0.025,"*"
"3","60","DT","MM",3,3,0.004,0.013,"*"
"3","120","8K","DT",3,3,0.032,0.095,"ns"
"3","120","8K","MM",3,3,0.011,0.034,"*"
"3","120","DT","MM",3,3,0.016,0.047,"*"
"3","180","8K","DT",3,3,0.02,0.059,"ns"
"3","180","8K","MM",3,3,0.000115,0.000345,"***"
"3","180","DT","MM",3,3,0.028,0.085,"ns"
