"","diff","lwr","upr","p adj"
"DT:2:10-8K:2:10",-22,-42.8630746298112,-1.13692537018884,0.0270665593419271
"MM:2:10-8K:2:10",-29.3333333333333,-50.1964079631445,-8.47025870352215,0.000263166812172089
"8K:3:10-8K:2:10",3.33333333333331,-17.5297412964779,24.1964079631445,1
"DT:3:10-8K:2:10",-19.6666666666667,-40.5297412964778,1.19640796314449,0.0912244096117384
"MM:3:10-8K:2:10",-29.6666666666667,-50.5297412964778,-8.80359203685549,0.000209197122977955
"8K:2:30-8K:2:10",-5.66666666666669,-26.5297412964779,15.1964079631445,0.999999234849714
"DT:2:30-8K:2:10",-24,-44.8630746298112,-3.13692537018884,0.00845802938920548
"MM:2:30-8K:2:10",-26,-46.8630746298112,-5.13692537018883,0.00242567436080376
"8K:3:30-8K:2:10",2.33333333333333,-18.5297412964778,23.1964079631445,1
"DT:3:30-8K:2:10",-12.6666666666667,-33.5297412964778,8.19640796314449,0.830149903857675
"MM:3:30-8K:2:10",-20,-40.8630746298112,0.863074629811162,0.0775384203001235
"8K:2:60-8K:2:10",2.66666666666664,-18.1964079631445,23.5297412964778,1
"DT:2:60-8K:2:10",-14.6666666666667,-35.5297412964778,6.1964079631445,0.579082710956844
"MM:2:60-8K:2:10",-23,-43.8630746298112,-2.13692537018883,0.0153152792963676
"8K:3:60-8K:2:10",12.6666666666667,-8.19640796314451,33.5297412964778,0.830149903857676
"DT:3:60-8K:2:10",-8.33333333333334,-29.1964079631445,12.5297412964778,0.998814286661467
"MM:3:60-8K:2:10",-21,-41.8630746298112,-0.136925370188838,0.0465335184583956
"8K:2:120-8K:2:10",-1.33333333333335,-22.1964079631445,19.5297412964778,1
"DT:2:120-8K:2:10",-19.6666666666667,-40.5297412964778,1.1964079631445,0.0912244096117385
"MM:2:120-8K:2:10",-35.3333333333333,-56.1964079631445,-14.4702587035222,3.70521422199399e-06
"8K:3:120-8K:2:10",11,-9.86307462981118,31.8630746298112,0.952682864304172
"DT:3:120-8K:2:10",-8.33333333333334,-29.1964079631445,12.5297412964778,0.998814286661467
"MM:3:120-8K:2:10",-31.6666666666667,-52.5297412964778,-10.8035920368555,5.16597860910073e-05
"8K:2:180-8K:2:10",1.99999999999999,-18.8630746298112,22.8630746298112,1
"DT:2:180-8K:2:10",-12,-32.8630746298112,8.86307462981116,0.890796041123672
"MM:2:180-8K:2:10",-37,-57.8630746298112,-16.1369253701888,1.09704141237899e-06
"8K:3:180-8K:2:10",9.66666666666666,-11.1964079631445,30.5297412964778,0.989725757665252
"DT:3:180-8K:2:10",-11,-31.8630746298112,9.86307462981116,0.952682864304171
"MM:3:180-8K:2:10",-31,-51.8630746298112,-10.1369253701888,8.26529095125927e-05
"MM:2:10-DT:2:10",-7.3333333333333,-28.1964079631445,13.5297412964779,0.99986596068359
"8K:3:10-DT:2:10",25.3333333333333,4.47025870352216,46.1964079631445,0.00370868629615206
"DT:3:10-DT:2:10",2.33333333333334,-18.5297412964778,23.1964079631445,1
"MM:3:10-DT:2:10",-7.66666666666665,-28.5297412964778,13.1964079631445,0.999704758921859
"8K:2:30-DT:2:10",16.3333333333333,-4.52974129647785,37.1964079631445,0.359455990296833
"DT:2:30-DT:2:10",-2,-22.8630746298112,18.8630746298112,1
"MM:2:30-DT:2:10",-3.99999999999999,-24.8630746298112,16.8630746298112,0.999999999790484
"8K:3:30-DT:2:10",24.3333333333333,3.47025870352217,45.1964079631445,0.00690552000571976
"DT:3:30-DT:2:10",9.33333333333333,-11.5297412964778,30.1964079631445,0.993594258824993
"MM:3:30-DT:2:10",2,-18.8630746298112,22.8630746298112,1
"8K:2:60-DT:2:10",24.6666666666667,3.80359203685548,45.5297412964778,0.00562518183519289
"DT:2:60-DT:2:10",7.33333333333334,-13.5297412964778,28.1964079631445,0.99986596068359
"MM:2:60-DT:2:10",-0.999999999999988,-21.8630746298112,19.8630746298112,1
"8K:3:60-DT:2:10",34.6666666666667,13.8035920368555,55.5297412964778,6.01273884925924e-06
"DT:3:60-DT:2:10",13.6666666666667,-7.1964079631445,34.5297412964778,0.713773175385695
"MM:3:60-DT:2:10",1,-19.8630746298112,21.8630746298112,1
"8K:2:120-DT:2:10",20.6666666666667,-0.196407963144509,41.5297412964778,0.0553702798747739
"DT:2:120-DT:2:10",2.33333333333334,-18.5297412964778,23.1964079631445,1
"MM:2:120-DT:2:10",-13.3333333333333,-34.1964079631445,7.52974129647785,0.755394218987053
"8K:3:120-DT:2:10",33,12.1369253701888,53.8630746298112,1.99899530149983e-05
"DT:3:120-DT:2:10",13.6666666666667,-7.1964079631445,34.5297412964778,0.713773175385695
"MM:3:120-DT:2:10",-9.66666666666666,-30.5297412964778,11.1964079631445,0.989725757665252
"8K:2:180-DT:2:10",24,3.13692537018883,44.8630746298112,0.00845802938920526
"DT:2:180-DT:2:10",10,-10.8630746298112,30.8630746298112,0.984153628003444
