"Taxonomy.distribution","Evenness.distribution","n","mean","sd"
"C","2",9,20.1111111111111,8.83804905570857
"C","3",9,30.6666666666667,14.7139389695622
"C","4",9,20.6666666666667,14.2214626533279
"C","5",9,31.6666666666667,16.9705627484771
"N","2",9,25.1111111111111,14.3042340274169
"N","3",9,28,16.4012194668567
"N","4",9,28.4444444444444,15.9147031947749
"N","5",9,26.5555555555556,16.2181311431921
"V","2",9,19.5555555555556,11.4029723220649
"V","3",9,28.8888888888889,12.0150368751457
"V","4",9,17.8888888888889,9.31993085334388
"V","5",9,28,14.6714007511212
