"Evenness.distribution","Taxonomy.distribution","group1","group2","n1","n2","p","p.adj","p.adj.signif"
"2","C","8K","DT",3,3,0.206,0.618,"ns"
"2","C","8K","MM",3,3,0.115,0.345,"ns"
"2","C","DT","MM",3,3,0.058,0.175,"ns"
"2","N","8K","DT",3,3,0.024,0.073,"ns"
"2","N","8K","MM",3,3,0.013,0.038,"*"
"2","N","DT","MM",3,3,0.494,1,"ns"
"2","V","8K","DT",3,3,0.25,0.75,"ns"
"2","V","8K","MM",3,3,0.181,0.543,"ns"
"2","V","DT","MM",3,3,0.081,0.243,"ns"
"3","C","8K","DT",3,3,0.01,0.03,"*"
"3","C","8K","MM",3,3,0.002,0.005,"**"
"3","C","DT","MM",3,3,0.253,0.759,"ns"
"3","N","8K","DT",3,3,0.025,0.075,"ns"
"3","N","8K","MM",3,3,0.016,0.048,"*"
"3","N","DT","MM",3,3,0.246,0.738,"ns"
"3","V","8K","DT",3,3,0.002,0.005,"**"
"3","V","8K","MM",3,3,0.002,0.006,"**"
"3","V","DT","MM",3,3,0.912,1,"ns"
"4","C","8K","DT",3,3,0.161,0.483,"ns"
"4","C","8K","MM",3,3,0.165,0.495,"ns"
"4","C","DT","MM",3,3,0.932,1,"ns"
"4","N","8K","DT",3,3,0.03,0.092,"ns"
"4","N","8K","MM",3,3,0.023,0.069,"ns"
"4","N","DT","MM",3,3,0.005,0.015,"*"
"4","V","8K","DT",3,3,0.278,0.834,"ns"
"4","V","8K","MM",3,3,0.188,0.564,"ns"
"4","V","DT","MM",3,3,0.235,0.705,"ns"
"5","C","8K","DT",3,3,0.001,0.004,"**"
"5","C","8K","MM",3,3,0.001,0.004,"**"
"5","C","DT","MM",3,3,0.507,1,"ns"
"5","N","8K","DT",3,3,0.076,0.229,"ns"
"5","N","8K","MM",3,3,0.068,0.204,"ns"
"5","N","DT","MM",3,3,0.24,0.72,"ns"
"5","V","8K","DT",3,3,0.003,0.01,"**"
"5","V","8K","MM",3,3,0.004,0.011,"*"
"5","V","DT","MM",3,3,0.381,1,"ns"
