"","diff","lwr","upr","p adj"
"DT:2:C-8K:2:C",-11,-32.4583555380379,10.4583555380379,0.979959856178285
"MM:2:C-8K:2:C",-15.6666666666668,-37.1250222047046,5.79168887137111,0.54299765791554
"8K:3:C-8K:2:C",20.6666666666666,-0.791688871371242,42.1250222047045,0.0757076210865724
"DT:3:C-8K:2:C",-6.00000000000003,-27.4583555380379,15.4583555380378,0.999999883363112
"MM:3:C-8K:2:C",-9.66666666666673,-31.1250222047046,11.7916888713711,0.996999311029142
"8K:4:C-8K:2:C",5.99999999999996,-15.4583555380379,27.4583555380378,0.999999883363112
"DT:4:C-8K:2:C",-15.3333333333334,-36.7916888713712,6.12502220470451,0.58990635915564
"MM:4:C-8K:2:C",-15.6666666666667,-37.1250222047046,5.79168887137115,0.542997657915545
"8K:5:C-8K:2:C",24.6666666666666,3.20831112862876,46.1250222047045,0.00759714586918858
"DT:5:C-8K:2:C",-7.00000000000003,-28.4583555380379,14.4583555380378,0.999994980276144
"MM:5:C-8K:2:C",-9.66666666666674,-31.1250222047046,11.7916888713711,0.996999311029142
"8K:2:N-8K:2:C",14,-7.45835553803791,35.4583555380378,0.767613437303953
"DT:2:N-8K:2:C",-11.6666666666667,-33.1250222047046,9.79168887137118,0.958440975585901
"MM:2:N-8K:2:C",-14,-35.4583555380379,7.45835553803783,0.767613437303943
"8K:3:N-8K:2:C",20,-1.45835553803789,41.4583555380379,0.105403677322533
"DT:3:N-8K:2:C",-10.3333333333334,-31.7916888713712,11.1250222047045,0.991589889477651
"MM:3:N-8K:2:C",-12.6666666666667,-34.1250222047046,8.79168887137115,0.900180607620856
"8K:4:N-8K:2:C",19.6666666666666,-1.79168887137125,41.1250222047045,0.123529968920952
"DT:4:N-8K:2:C",-8.33333333333336,-29.7916888713712,13.1250222047045,0.999791047717629
"MM:4:N-8K:2:C",-13.0000000000001,-34.4583555380379,8.45835553803781,0.872805477562606
"8K:5:N-8K:2:C",16.6666666666666,-4.79168887137124,38.1250222047045,0.406836897152878
"DT:5:N-8K:2:C",-10.3333333333334,-31.7916888713712,11.1250222047045,0.991589889477652
"MM:5:N-8K:2:C",-13.6666666666667,-35.1250222047046,7.79168887137115,0.806234568834601
"8K:2:V-8K:2:C",1.3333333333333,-20.1250222047046,22.7916888713712,1
"DT:2:V-8K:2:C",-13,-34.4583555380379,8.45835553803785,0.872805477562609
"MM:2:V-8K:2:C",-16.6666666666667,-38.1250222047046,4.79168887137115,0.406836897152866
"8K:3:V-8K:2:C",15.3333333333333,-6.12502220470456,36.7916888713712,0.589906359155647
