"Taxonomy.distribution","Evenness.distribution","n","mean","sd"
"C","2",9,12.3333333333333,4.30116263352131
"C","3",9,17.5555555555556,4.63980363569168
"C","4",9,11.4444444444444,3.77859468291821
"C","5",9,17.3333333333333,3.8405728739343
"N","2",9,12.7777777777778,3.23178657161089
"N","3",9,15,2.64575131106459
"N","4",9,15.1111111111111,3.01846171271247
"N","5",9,13.8888888888889,3.01846171271247
"V","2",9,11.5555555555556,3.60940130461795
"V","3",9,16.8888888888889,4.64877522699378
"V","4",9,10.7777777777778,3.92994204085053
"V","5",9,15.1111111111111,3.65528536657688
