"Taxonomy.distribution" "group1" "group2" "n1" "n2" "p" "p.adj" "p.adj.signif"
"1" "C" "2" "3" 3 3 0.101 0.606 "ns"
"2" "C" "2" "4" 3 3 1 1 "ns"
"3" "C" "2" "5" 3 3 0.116 0.696 "ns"
"4" "C" "3" "4" 3 3 0.101 0.606 "ns"
"5" "C" "3" "5" 3 3 0.884 1 "ns"
"6" "C" "4" "5" 3 3 0.116 0.696 "ns"
"7" "N" "2" "3" 3 3 0.535 1 "ns"
"8" "N" "2" "4" 3 3 0.337 1 "ns"
"9" "N" "2" "5" 3 3 1 1 "ns"
"10" "N" "3" "4" 3 3 0.23 1 "ns"
"11" "N" "3" "5" 3 3 0.804 1 "ns"
"12" "N" "4" "5" 3 3 0.684 1 "ns"
"13" "V" "2" "3" 3 3 0.294 1 "ns"
"14" "V" "2" "4" 3 3 1 1 "ns"
"15" "V" "2" "5" 3 3 0.101 0.606 "ns"
"16" "V" "3" "4" 3 3 0.294 1 "ns"
"17" "V" "3" "5" 3 3 0.705 1 "ns"
"18" "V" "4" "5" 3 3 0.101 0.606 "ns"
