"Taxonomy.distribution","group1","group2","n1","n2","p","p.adj","p.adj.signif"
"C","2","3",3,3,0.101,0.606,"ns"
"C","2","4",3,3,1,1,"ns"
"C","2","5",3,3,0.116,0.696,"ns"
"C","3","4",3,3,0.101,0.606,"ns"
"C","3","5",3,3,0.884,1,"ns"
"C","4","5",3,3,0.116,0.696,"ns"
"N","2","3",3,3,0.535,1,"ns"
"N","2","4",3,3,0.337,1,"ns"
"N","2","5",3,3,1,1,"ns"
"N","3","4",3,3,0.23,1,"ns"
"N","3","5",3,3,0.804,1,"ns"
"N","4","5",3,3,0.684,1,"ns"
"V","2","3",3,3,0.294,1,"ns"
"V","2","4",3,3,1,1,"ns"
"V","2","5",3,3,0.101,0.606,"ns"
"V","3","4",3,3,0.294,1,"ns"
"V","3","5",3,3,0.705,1,"ns"
"V","4","5",3,3,0.101,0.606,"ns"
