"Taxonomy.distribution" "group1" "group2" "n1" "n2" "p" "p.adj" "p.adj.signif"
"1" "C" "2" "3" 3 3 0.092 0.549 "ns"
"2" "C" "2" "4" 3 3 0.48 1 "ns"
"3" "C" "2" "5" 3 3 0.026 0.154 "ns"
"4" "C" "3" "4" 3 3 0.242 1 "ns"
"5" "C" "3" "5" 3 3 0.648 1 "ns"
"6" "C" "4" "5" 3 3 0.104 0.624 "ns"
"7" "N" "2" "3" 3 3 0.186 1 "ns"
"8" "N" "2" "4" 3 3 0.155 0.93 "ns"
"9" "N" "2" "5" 3 3 0.331 1 "ns"
"10" "N" "3" "4" 3 3 0.769 1 "ns"
"11" "N" "3" "5" 3 3 0.478 1 "ns"
"12" "N" "4" "5" 3 3 0.588 1 "ns"
"13" "V" "2" "3" 3 3 0.235 1 "ns"
"14" "V" "2" "4" 3 3 0.742 1 "ns"
"15" "V" "2" "5" 3 3 0.233 1 "ns"
"16" "V" "3" "4" 3 3 0.159 0.954 "ns"
"17" "V" "3" "5" 3 3 1 1 "ns"
"18" "V" "4" "5" 3 3 0.15 0.9 "ns"
