"Taxonomy.distribution","group1","group2","n1","n2","p","p.adj","p.adj.signif"
"C","2","3",3,3,0.096,0.575,"ns"
"C","2","4",3,3,1,1,"ns"
"C","2","5",3,3,0.12,0.72,"ns"
"C","3","4",3,3,0.092,0.554,"ns"
"C","3","5",3,3,0.922,1,"ns"
"C","4","5",3,3,0.117,0.702,"ns"
"N","2","3",3,3,0.608,1,"ns"
"N","2","4",3,3,0.672,1,"ns"
"N","2","5",3,3,1,1,"ns"
"N","3","4",3,3,0.811,1,"ns"
"N","3","5",3,3,0.384,1,"ns"
"N","4","5",3,3,0.101,0.606,"ns"
"V","2","3",3,3,0.015,0.088,"ns"
"V","2","4",3,3,0.729,1,"ns"
"V","2","5",3,3,0.06,0.362,"ns"
"V","3","4",3,3,0.015,0.089,"ns"
"V","3","5",3,3,0.104,0.624,"ns"
"V","4","5",3,3,0.078,0.467,"ns"
