"Taxonomy.distribution" "group1" "group2" "n1" "n2" "p" "p.adj" "p.adj.signif"
"1" "C" "2" "3" 3 3 0.056 0.338 "ns"
"2" "C" "2" "4" 3 3 0.644 1 "ns"
"3" "C" "2" "5" 3 3 0.039 0.233 "ns"
"4" "C" "3" "4" 3 3 0.283 1 "ns"
"5" "C" "3" "5" 3 3 0.369 1 "ns"
"6" "C" "4" "5" 3 3 0.202 1 "ns"
"7" "N" "2" "3" 3 3 0.429 1 "ns"
"8" "N" "2" "4" 3 3 0.459 1 "ns"
"9" "N" "2" "5" 3 3 0.798 1 "ns"
"10" "N" "3" "4" 3 3 0.965 1 "ns"
"11" "N" "3" "5" 3 3 0.752 1 "ns"
"12" "N" "4" "5" 3 3 0.777 1 "ns"
"13" "V" "2" "3" 3 3 0.256 1 "ns"
"14" "V" "2" "4" 3 3 0.749 1 "ns"
"15" "V" "2" "5" 3 3 0.197 1 "ns"
"16" "V" "3" "4" 3 3 0.127 0.762 "ns"
"17" "V" "3" "5" 3 3 0.529 1 "ns"
"18" "V" "4" "5" 3 3 0.094 0.561 "ns"
