"Taxonomy.distribution","group1","group2","n1","n2","p","p.adj","p.adj.signif"
"C","2","3",3,3,0.056,0.338,"ns"
"C","2","4",3,3,0.644,1,"ns"
"C","2","5",3,3,0.039,0.233,"ns"
"C","3","4",3,3,0.283,1,"ns"
"C","3","5",3,3,0.369,1,"ns"
"C","4","5",3,3,0.202,1,"ns"
"N","2","3",3,3,0.429,1,"ns"
"N","2","4",3,3,0.459,1,"ns"
"N","2","5",3,3,0.798,1,"ns"
"N","3","4",3,3,0.965,1,"ns"
"N","3","5",3,3,0.752,1,"ns"
"N","4","5",3,3,0.777,1,"ns"
"V","2","3",3,3,0.256,1,"ns"
"V","2","4",3,3,0.749,1,"ns"
"V","2","5",3,3,0.197,1,"ns"
"V","3","4",3,3,0.127,0.762,"ns"
"V","3","5",3,3,0.529,1,"ns"
"V","4","5",3,3,0.094,0.561,"ns"
