"Taxonomy.distribution" "group1" "group2" "n1" "n2" "p" "p.adj" "p.adj.signif"
"1" "C" "2" "3" 3 3 0.032 0.19 "ns"
"2" "C" "2" "4" 3 3 0.323 1 "ns"
"3" "C" "2" "5" 3 3 0.11 0.66 "ns"
"4" "C" "3" "4" 3 3 0.103 0.618 "ns"
"5" "C" "3" "5" 3 3 0.59 1 "ns"
"6" "C" "4" "5" 3 3 0.114 0.684 "ns"
"7" "N" "2" "3" 3 3 0.458 1 "ns"
"8" "N" "2" "4" 3 3 0.143 0.858 "ns"
"9" "N" "2" "5" 3 3 0.624 1 "ns"
"10" "N" "3" "4" 3 3 0.013 0.079 "ns"
"11" "N" "3" "5" 3 3 1 1 "ns"
"12" "N" "4" "5" 3 3 0.429 1 "ns"
"13" "V" "2" "3" 3 3 0.113 0.678 "ns"
"14" "V" "2" "4" 3 3 0.581 1 "ns"
"15" "V" "2" "5" 3 3 0.178 1 "ns"
"16" "V" "3" "4" 3 3 0.101 0.606 "ns"
"17" "V" "3" "5" 3 3 0.651 1 "ns"
"18" "V" "4" "5" 3 3 0.141 0.846 "ns"
