"Taxonomy.distribution","group1","group2","n1","n2","p","p.adj","p.adj.signif"
"C","2","3",3,3,0.032,0.19,"ns"
"C","2","4",3,3,0.323,1,"ns"
"C","2","5",3,3,0.11,0.66,"ns"
"C","3","4",3,3,0.103,0.618,"ns"
"C","3","5",3,3,0.59,1,"ns"
"C","4","5",3,3,0.114,0.684,"ns"
"N","2","3",3,3,0.458,1,"ns"
"N","2","4",3,3,0.143,0.858,"ns"
"N","2","5",3,3,0.624,1,"ns"
"N","3","4",3,3,0.013,0.079,"ns"
"N","3","5",3,3,1,1,"ns"
"N","4","5",3,3,0.429,1,"ns"
"V","2","3",3,3,0.113,0.678,"ns"
"V","2","4",3,3,0.581,1,"ns"
"V","2","5",3,3,0.178,1,"ns"
"V","3","4",3,3,0.101,0.606,"ns"
"V","3","5",3,3,0.651,1,"ns"
"V","4","5",3,3,0.141,0.846,"ns"
