"Taxonomy.distribution" "group1" "group2" "n1" "n2" "p" "p.adj" "p.adj.signif"
"1" "C" "2" "3" 3 3 0.107 0.642 "ns"
"2" "C" "2" "4" 3 3 1 1 "ns"
"3" "C" "2" "5" 3 3 0.191 1 "ns"
"4" "C" "3" "4" 3 3 0.107 0.642 "ns"
"5" "C" "3" "5" 3 3 1 1 "ns"
"6" "C" "4" "5" 3 3 0.191 1 "ns"
"7" "N" "2" "3" 3 3 0.688 1 "ns"
"8" "N" "2" "4" 3 3 0.742 1 "ns"
"9" "N" "2" "5" 3 3 0.912 1 "ns"
"10" "N" "3" "4" 3 3 0.84 1 "ns"
"11" "N" "3" "5" 3 3 0.566 1 "ns"
"12" "N" "4" "5" 3 3 0.184 1 "ns"
"13" "V" "2" "3" 3 3 0.027 0.164 "ns"
"14" "V" "2" "4" 3 3 0.895 1 "ns"
"15" "V" "2" "5" 3 3 0.059 0.354 "ns"
"16" "V" "3" "4" 3 3 0.031 0.184 "ns"
"17" "V" "3" "5" 3 3 0.191 1 "ns"
"18" "V" "4" "5" 3 3 0.104 0.624 "ns"
