"Taxonomy.distribution","group1","group2","n1","n2","p","p.adj","p.adj.signif"
"C","2","3",3,3,0.107,0.642,"ns"
"C","2","4",3,3,1,1,"ns"
"C","2","5",3,3,0.191,1,"ns"
"C","3","4",3,3,0.107,0.642,"ns"
"C","3","5",3,3,1,1,"ns"
"C","4","5",3,3,0.191,1,"ns"
"N","2","3",3,3,0.688,1,"ns"
"N","2","4",3,3,0.742,1,"ns"
"N","2","5",3,3,0.912,1,"ns"
"N","3","4",3,3,0.84,1,"ns"
"N","3","5",3,3,0.566,1,"ns"
"N","4","5",3,3,0.184,1,"ns"
"V","2","3",3,3,0.027,0.164,"ns"
"V","2","4",3,3,0.895,1,"ns"
"V","2","5",3,3,0.059,0.354,"ns"
"V","3","4",3,3,0.031,0.184,"ns"
"V","3","5",3,3,0.191,1,"ns"
"V","4","5",3,3,0.104,0.624,"ns"
