"Taxonomy.distribution","group1","group2","n1","n2","p","p.adj","p.adj.signif"
"C","2","3",3,3,0.092,0.549,"ns"
"C","2","4",3,3,0.48,1,"ns"
"C","2","5",3,3,0.026,0.154,"ns"
"C","3","4",3,3,0.242,1,"ns"
"C","3","5",3,3,0.648,1,"ns"
"C","4","5",3,3,0.104,0.624,"ns"
"N","2","3",3,3,0.186,1,"ns"
"N","2","4",3,3,0.155,0.93,"ns"
"N","2","5",3,3,0.331,1,"ns"
"N","3","4",3,3,0.769,1,"ns"
"N","3","5",3,3,0.478,1,"ns"
"N","4","5",3,3,0.588,1,"ns"
"V","2","3",3,3,0.235,1,"ns"
"V","2","4",3,3,0.742,1,"ns"
"V","2","5",3,3,0.233,1,"ns"
"V","3","4",3,3,0.159,0.954,"ns"
"V","3","5",3,3,1,1,"ns"
"V","4","5",3,3,0.15,0.9,"ns"
