"Taxonomy.distribution" "group1" "group2" "n1" "n2" "p" "p.adj" "p.adj.signif"
"1" "C" "2" "3" 3 3 0.005 0.029 "*"
"2" "C" "2" "4" 3 3 0.328 1 "ns"
"3" "C" "2" "5" 3 3 0.136 0.816 "ns"
"4" "C" "3" "4" 3 3 0.116 0.696 "ns"
"5" "C" "3" "5" 3 3 0.458 1 "ns"
"6" "C" "4" "5" 3 3 0.138 0.828 "ns"
"7" "N" "2" "3" 3 3 0.139 0.834 "ns"
"8" "N" "2" "4" 3 3 0.049 0.296 "ns"
"9" "N" "2" "5" 3 3 0.41 1 "ns"
"10" "N" "3" "4" 3 3 0.047 0.284 "ns"
"11" "N" "3" "5" 3 3 0.849 1 "ns"
"12" "N" "4" "5" 3 3 0.39 1 "ns"
"13" "V" "2" "3" 3 3 0.118 0.708 "ns"
"14" "V" "2" "4" 3 3 0.567 1 "ns"
"15" "V" "2" "5" 3 3 0.192 1 "ns"
"16" "V" "3" "4" 3 3 0.085 0.508 "ns"
"17" "V" "3" "5" 3 3 0.63 1 "ns"
"18" "V" "4" "5" 3 3 0.137 0.822 "ns"
