"Taxonomy.distribution" "group1" "group2" "n1" "n2" "p" "p.adj" "p.adj.signif"
"1" "C" "2" "3" 3 3 0.096 0.575 "ns"
"2" "C" "2" "4" 3 3 1 1 "ns"
"3" "C" "2" "5" 3 3 0.12 0.72 "ns"
"4" "C" "3" "4" 3 3 0.092 0.554 "ns"
"5" "C" "3" "5" 3 3 0.922 1 "ns"
"6" "C" "4" "5" 3 3 0.117 0.702 "ns"
"7" "N" "2" "3" 3 3 0.608 1 "ns"
"8" "N" "2" "4" 3 3 0.672 1 "ns"
"9" "N" "2" "5" 3 3 1 1 "ns"
"10" "N" "3" "4" 3 3 0.811 1 "ns"
"11" "N" "3" "5" 3 3 0.384 1 "ns"
"12" "N" "4" "5" 3 3 0.101 0.606 "ns"
"13" "V" "2" "3" 3 3 0.015 0.088 "ns"
"14" "V" "2" "4" 3 3 0.729 1 "ns"
"15" "V" "2" "5" 3 3 0.06 0.362 "ns"
"16" "V" "3" "4" 3 3 0.015 0.089 "ns"
"17" "V" "3" "5" 3 3 0.104 0.624 "ns"
"18" "V" "4" "5" 3 3 0.078 0.467 "ns"
