"Taxonomy.distribution","Evenness.distribution","n","mean","sd"
"C","2",3,1.33333333333333,2.3094010767585
"C","3",3,5.33333333333333,2.3094010767585
"C","4",3,1.33333333333333,2.3094010767585
"C","5",3,5.66666666666667,2.88675134594813
"N","2",3,5.33333333333333,2.3094010767585
"N","3",3,4.33333333333333,0.577350269189626
"N","4",3,3.66666666666667,0.577350269189626
"N","5",3,5.33333333333333,6.11010092660779
"V","2",3,1.33333333333333,2.3094010767585
"V","3",3,4.33333333333333,3.51188458428425
"V","4",3,1.33333333333333,2.3094010767585
"V","5",3,5.33333333333333,2.3094010767585
