"","diff","lwr","upr","p adj"
"N:2-C:2",4,-4.32684407311353,12.3268440731135,0.836688675560988
"V:2-C:2",-1.77635683940025e-15,-8.32684407311353,8.32684407311353,1
"C:3-C:2",4,-4.32684407311354,12.3268440731135,0.836688675560988
"N:3-C:2",3,-5.32684407311353,11.3268440731135,0.97131389185299
"V:3-C:2",3,-5.32684407311354,11.3268440731135,0.971313891852991
"C:4-C:2",-4.44089209850063e-16,-8.32684407311353,8.32684407311353,1
"N:4-C:2",2.33333333333333,-5.9935107397802,10.6601774064469,0.995853083630193
"V:4-C:2",-2.22044604925031e-15,-8.32684407311353,8.32684407311353,1
"C:5-C:2",4.33333333333333,-3.9935107397802,12.6601774064469,0.761778931909254
"N:5-C:2",4,-4.32684407311353,12.3268440731135,0.836688675560988
"V:5-C:2",4,-4.32684407311353,12.3268440731135,0.836688675560988
"V:2-N:2",-4,-12.3268440731135,4.32684407311353,0.836688675560988
"C:3-N:2",-1.77635683940025e-15,-8.32684407311353,8.32684407311353,1
"N:3-N:2",-1,-9.32684407311353,7.32684407311353,0.999998803387304
"V:3-N:2",-1,-9.32684407311353,7.32684407311353,0.999998803387304
"C:4-N:2",-4,-12.3268440731135,4.32684407311353,0.836688675560988
"N:4-N:2",-1.66666666666667,-9.9935107397802,6.66017740644686,0.999797469254787
"V:4-N:2",-4,-12.3268440731135,4.32684407311353,0.836688675560987
"C:5-N:2",0.333333333333336,-7.9935107397802,8.66017740644687,0.999999999991374
"N:5-N:2",0,-8.32684407311353,8.32684407311353,1
"V:5-N:2",-8.88178419700125e-16,-8.32684407311353,8.32684407311353,1
"C:3-V:2",4,-4.32684407311353,12.3268440731135,0.836688675560988
"N:3-V:2",3,-5.32684407311353,11.3268440731135,0.97131389185299
"V:3-V:2",3,-5.32684407311353,11.3268440731135,0.97131389185299
"C:4-V:2",1.33226762955019e-15,-8.32684407311353,8.32684407311353,1
"N:4-V:2",2.33333333333333,-5.9935107397802,10.6601774064469,0.995853083630193
"V:4-V:2",-4.44089209850063e-16,-8.32684407311353,8.32684407311353,1
"C:5-V:2",4.33333333333334,-3.9935107397802,12.6601774064469,0.761778931909253
"N:5-V:2",4,-4.32684407311353,12.3268440731135,0.836688675560988
"V:5-V:2",4,-4.32684407311353,12.3268440731135,0.836688675560988
"N:3-C:3",-0.999999999999998,-9.32684407311353,7.32684407311353,0.999998803387304
"V:3-C:3",-1,-9.32684407311353,7.32684407311353,0.999998803387304
"C:4-C:3",-4,-12.3268440731135,4.32684407311353,0.836688675560988
"N:4-C:3",-1.66666666666667,-9.9935107397802,6.66017740644687,0.999797469254787
"V:4-C:3",-4,-12.3268440731135,4.32684407311353,0.836688675560988
"C:5-C:3",0.333333333333337,-7.9935107397802,8.66017740644687,0.999999999991374
"N:5-C:3",1.77635683940025e-15,-8.32684407311353,8.32684407311353,1
"V:5-C:3",8.88178419700125e-16,-8.32684407311353,8.32684407311353,1
"V:3-N:3",-1.77635683940025e-15,-8.32684407311353,8.32684407311353,1
"C:4-N:3",-3,-11.3268440731135,5.32684407311353,0.97131389185299
"N:4-N:3",-0.666666666666667,-8.9935107397802,7.66017740644686,0.999999983790864
"V:4-N:3",-3,-11.3268440731135,5.32684407311353,0.97131389185299
"C:5-N:3",1.33333333333334,-6.9935107397802,9.66017740644687,0.9999771917963
"N:5-N:3",1,-7.32684407311353,9.32684407311353,0.999998803387304
"V:5-N:3",0.999999999999999,-7.32684407311353,9.32684407311353,0.999998803387304
"C:4-V:3",-3,-11.3268440731135,5.32684407311353,0.971313891852991
"N:4-V:3",-0.666666666666666,-8.9935107397802,7.66017740644687,0.999999983790864
"V:4-V:3",-3,-11.3268440731135,5.32684407311353,0.97131389185299
"C:5-V:3",1.33333333333334,-6.9935107397802,9.66017740644687,0.9999771917963
"N:5-V:3",1,-7.32684407311353,9.32684407311353,0.999998803387304
"V:5-V:3",1,-7.32684407311353,9.32684407311353,0.999998803387304
"N:4-C:4",2.33333333333333,-5.9935107397802,10.6601774064469,0.995853083630193
"V:4-C:4",-1.77635683940025e-15,-8.32684407311353,8.32684407311353,1
"C:5-C:4",4.33333333333334,-3.9935107397802,12.6601774064469,0.761778931909253
"N:5-C:4",4,-4.32684407311353,12.3268440731135,0.836688675560988
"V:5-C:4",4,-4.32684407311353,12.3268440731135,0.836688675560988
"V:4-N:4",-2.33333333333333,-10.6601774064469,5.9935107397802,0.995853083630193
"C:5-N:4",2,-6.32684407311353,10.3268440731135,0.998906719265856
"N:5-N:4",1.66666666666667,-6.66017740644686,9.9935107397802,0.999797469254787
"V:5-N:4",1.66666666666667,-6.66017740644687,9.9935107397802,0.999797469254787
"C:5-V:4",4.33333333333334,-3.9935107397802,12.6601774064469,0.761778931909253
"N:5-V:4",4,-4.32684407311353,12.3268440731135,0.836688675560987
"V:5-V:4",4,-4.32684407311353,12.3268440731135,0.836688675560988
"N:5-C:5",-0.333333333333336,-8.66017740644687,7.9935107397802,0.999999999991374
"V:5-C:5",-0.333333333333337,-8.66017740644687,7.9935107397802,0.999999999991374
"V:5-N:5",-8.88178419700125e-16,-8.32684407311353,8.32684407311353,1
