"","diff","lwr","upr","p adj"
"N:2-C:2",1,-1.54956489335581,3.54956489335581,0.94917258509989
"V:2-C:2",5.55111512312578e-16,-2.54956489335581,2.54956489335581,1
"C:3-C:2",0.333333333333334,-2.21623156002248,2.88289822668915,0.999997108463369
"N:3-C:2",0.333333333333334,-2.21623156002248,2.88289822668915,0.999997108463369
"V:3-C:2",0.333333333333334,-2.21623156002248,2.88289822668915,0.999997108463369
"C:4-C:2",4.44089209850063e-16,-2.54956489335581,2.54956489335581,1
"N:4-C:2",1,-1.54956489335581,3.54956489335581,0.94917258509989
"V:4-C:2",3.33066907387547e-16,-2.54956489335581,2.54956489335581,1
"C:5-C:2",0.666666666666668,-1.88289822668915,3.21623156002248,0.997693389065942
"N:5-C:2",0.666666666666667,-1.88289822668915,3.21623156002248,0.997693389065942
"V:5-C:2",0.333333333333334,-2.21623156002248,2.88289822668915,0.999997108463369
"V:2-N:2",-0.999999999999999,-3.54956489335581,1.54956489335581,0.94917258509989
"C:3-N:2",-0.666666666666666,-3.21623156002248,1.88289822668915,0.997693389065942
"N:3-N:2",-0.666666666666666,-3.21623156002248,1.88289822668915,0.997693389065942
"V:3-N:2",-0.666666666666666,-3.21623156002248,1.88289822668915,0.997693389065942
"C:4-N:2",-1,-3.54956489335581,1.54956489335581,0.94917258509989
"N:4-N:2",0,-2.54956489335581,2.54956489335581,1
"V:4-N:2",-1,-3.54956489335581,1.54956489335581,0.94917258509989
"C:5-N:2",-0.333333333333332,-2.88289822668914,2.21623156002248,0.999997108463369
"N:5-N:2",-0.333333333333333,-2.88289822668915,2.21623156002248,0.999997108463369
"V:5-N:2",-0.666666666666666,-3.21623156002248,1.88289822668915,0.997693389065942
"C:3-V:2",0.333333333333333,-2.21623156002248,2.88289822668915,0.999997108463369
"N:3-V:2",0.333333333333333,-2.21623156002248,2.88289822668915,0.999997108463369
"V:3-V:2",0.333333333333333,-2.21623156002248,2.88289822668915,0.999997108463369
"C:4-V:2",-1.11022302462516e-16,-2.54956489335581,2.54956489335581,1
"N:4-V:2",0.999999999999999,-1.54956489335581,3.54956489335581,0.94917258509989
"V:4-V:2",-2.22044604925031e-16,-2.54956489335581,2.54956489335581,1
"C:5-V:2",0.666666666666667,-1.88289822668915,3.21623156002248,0.997693389065942
"N:5-V:2",0.666666666666666,-1.88289822668915,3.21623156002248,0.997693389065942
"V:5-V:2",0.333333333333333,-2.21623156002248,2.88289822668915,0.999997108463369
"N:3-C:3",0,-2.54956489335581,2.54956489335581,1
"V:3-C:3",-2.22044604925031e-16,-2.54956489335581,2.54956489335581,1
"C:4-C:3",-0.333333333333333,-2.88289822668915,2.21623156002248,0.999997108463369
"N:4-C:3",0.666666666666666,-1.88289822668915,3.21623156002248,0.997693389065942
"V:4-C:3",-0.333333333333333,-2.88289822668915,2.21623156002248,0.999997108463369
"C:5-C:3",0.333333333333334,-2.21623156002248,2.88289822668915,0.999997108463369
"N:5-C:3",0.333333333333333,-2.21623156002248,2.88289822668915,0.999997108463369
"V:5-C:3",-2.22044604925031e-16,-2.54956489335581,2.54956489335581,1
"V:3-N:3",-2.22044604925031e-16,-2.54956489335581,2.54956489335581,1
"C:4-N:3",-0.333333333333333,-2.88289822668915,2.21623156002248,0.999997108463369
"N:4-N:3",0.666666666666666,-1.88289822668915,3.21623156002248,0.997693389065942
"V:4-N:3",-0.333333333333333,-2.88289822668915,2.21623156002248,0.999997108463369
"C:5-N:3",0.333333333333334,-2.21623156002248,2.88289822668915,0.999997108463369
"N:5-N:3",0.333333333333333,-2.21623156002248,2.88289822668915,0.999997108463369
"V:5-N:3",-2.22044604925031e-16,-2.54956489335581,2.54956489335581,1
"C:4-V:3",-0.333333333333333,-2.88289822668915,2.21623156002248,0.999997108463369
"N:4-V:3",0.666666666666666,-1.88289822668915,3.21623156002248,0.997693389065942
"V:4-V:3",-0.333333333333333,-2.88289822668915,2.21623156002248,0.999997108463369
"C:5-V:3",0.333333333333334,-2.21623156002248,2.88289822668915,0.999997108463369
"N:5-V:3",0.333333333333333,-2.21623156002248,2.88289822668915,0.999997108463369
"V:5-V:3",0,-2.54956489335581,2.54956489335581,1
"N:4-C:4",1,-1.54956489335581,3.54956489335581,0.94917258509989
"V:4-C:4",-1.11022302462516e-16,-2.54956489335581,2.54956489335581,1
"C:5-C:4",0.666666666666667,-1.88289822668915,3.21623156002248,0.997693389065942
"N:5-C:4",0.666666666666666,-1.88289822668915,3.21623156002248,0.997693389065942
"V:5-C:4",0.333333333333333,-2.21623156002248,2.88289822668915,0.999997108463369
"V:4-N:4",-1,-3.54956489335581,1.54956489335581,0.94917258509989
"C:5-N:4",-0.333333333333332,-2.88289822668914,2.21623156002248,0.999997108463369
"N:5-N:4",-0.333333333333333,-2.88289822668915,2.21623156002248,0.999997108463369
"V:5-N:4",-0.666666666666666,-3.21623156002248,1.88289822668915,0.997693389065942
"C:5-V:4",0.666666666666667,-1.88289822668915,3.21623156002248,0.997693389065942
"N:5-V:4",0.666666666666666,-1.88289822668915,3.21623156002248,0.997693389065942
"V:5-V:4",0.333333333333333,-2.21623156002248,2.88289822668915,0.999997108463369
"N:5-C:5",-8.88178419700125e-16,-2.54956489335581,2.54956489335581,1
"V:5-C:5",-0.333333333333334,-2.88289822668915,2.21623156002248,0.999997108463369
"V:5-N:5",-0.333333333333333,-2.88289822668915,2.21623156002248,0.999997108463369
