"Taxonomy.distribution","Evenness.distribution","n","mean","sd"
"C","2",3,1,1
"C","3",3,1.66666666666667,1.15470053837925
"C","4",3,1,1
"C","5",3,1.33333333333333,1.52752523165195
"N","2",3,1.66666666666667,1.15470053837925
"N","3",3,1.33333333333333,0.577350269189626
"N","4",3,1.66666666666667,0.577350269189626
"N","5",3,1.66666666666667,0.577350269189626
"V","2",3,0.666666666666667,1.15470053837925
"V","3",3,1.66666666666667,1.15470053837925
"V","4",3,0.666666666666667,1.15470053837925
"V","5",3,1.66666666666667,0.577350269189626
