"","diff","lwr","upr","p adj"
"N:2-C:2",0.666666666666667,-2.31792588186953,3.65125921520286,0.999434205499818
"V:2-C:2",-0.333333333333333,-3.31792588186953,2.65125921520286,0.999999440517339
"C:3-C:2",0.666666666666668,-2.31792588186953,3.65125921520286,0.999434205499818
"N:3-C:2",0.333333333333334,-2.65125921520286,3.31792588186953,0.999999440517339
"V:3-C:2",0.666666666666667,-2.31792588186953,3.65125921520286,0.999434205499818
"C:4-C:2",7.7715611723761e-16,-2.9845925485362,2.9845925485362,1
"N:4-C:2",0.666666666666668,-2.31792588186953,3.65125921520286,0.999434205499818
"V:4-C:2",-0.333333333333333,-3.31792588186953,2.65125921520286,0.999999440517339
"C:5-C:2",0.333333333333334,-2.65125921520286,3.31792588186953,0.999999440517339
"N:5-C:2",0.666666666666667,-2.31792588186953,3.65125921520286,0.999434205499818
"V:5-C:2",0.666666666666667,-2.31792588186953,3.65125921520286,0.999434205499818
"V:2-N:2",-1,-3.9845925485362,1.9845925485362,0.983007944283563
"C:3-N:2",8.88178419700125e-16,-2.9845925485362,2.9845925485362,1
"N:3-N:2",-0.333333333333333,-3.31792588186953,2.65125921520286,0.999999440517339
"V:3-N:2",0,-2.9845925485362,2.9845925485362,1
"C:4-N:2",-0.666666666666666,-3.65125921520286,2.31792588186953,0.999434205499818
"N:4-N:2",4.44089209850063e-16,-2.9845925485362,2.9845925485362,1
"V:4-N:2",-1,-3.9845925485362,1.9845925485362,0.983007944283563
"C:5-N:2",-0.333333333333333,-3.31792588186953,2.65125921520286,0.999999440517339
"N:5-N:2",2.22044604925031e-16,-2.9845925485362,2.9845925485362,1
"V:5-N:2",2.22044604925031e-16,-2.9845925485362,2.9845925485362,1
"C:3-V:2",1,-1.98459254853619,3.9845925485362,0.983007944283563
"N:3-V:2",0.666666666666667,-2.31792588186953,3.65125921520286,0.999434205499818
"V:3-V:2",1,-1.9845925485362,3.9845925485362,0.983007944283563
"C:4-V:2",0.333333333333334,-2.65125921520286,3.31792588186953,0.999999440517339
"N:4-V:2",1,-1.98459254853619,3.9845925485362,0.983007944283563
"V:4-V:2",2.22044604925031e-16,-2.9845925485362,2.9845925485362,1
"C:5-V:2",0.666666666666667,-2.31792588186953,3.65125921520286,0.999434205499818
"N:5-V:2",1,-1.9845925485362,3.9845925485362,0.983007944283563
"V:5-V:2",1,-1.9845925485362,3.9845925485362,0.983007944283563
"N:3-C:3",-0.333333333333334,-3.31792588186953,2.65125921520286,0.999999440517339
"V:3-C:3",-8.88178419700125e-16,-2.9845925485362,2.9845925485362,1
"C:4-C:3",-0.666666666666667,-3.65125921520286,2.31792588186953,0.999434205499818
"N:4-C:3",-4.44089209850063e-16,-2.9845925485362,2.9845925485362,1
"V:4-C:3",-1,-3.9845925485362,1.98459254853619,0.983007944283563
"C:5-C:3",-0.333333333333334,-3.31792588186953,2.65125921520286,0.999999440517339
"N:5-C:3",-6.66133814775094e-16,-2.9845925485362,2.9845925485362,1
"V:5-C:3",-6.66133814775094e-16,-2.9845925485362,2.9845925485362,1
"V:3-N:3",0.333333333333333,-2.65125921520286,3.31792588186953,0.999999440517339
"C:4-N:3",-0.333333333333333,-3.31792588186953,2.65125921520286,0.999999440517339
"N:4-N:3",0.333333333333333,-2.65125921520286,3.31792588186953,0.999999440517339
"V:4-N:3",-0.666666666666667,-3.65125921520286,2.31792588186953,0.999434205499818
"C:5-N:3",0,-2.9845925485362,2.9845925485362,1
"N:5-N:3",0.333333333333333,-2.65125921520286,3.31792588186953,0.999999440517339
"V:5-N:3",0.333333333333333,-2.65125921520286,3.31792588186953,0.999999440517339
"C:4-V:3",-0.666666666666666,-3.65125921520286,2.31792588186953,0.999434205499818
"N:4-V:3",4.44089209850063e-16,-2.9845925485362,2.9845925485362,1
"V:4-V:3",-1,-3.9845925485362,1.9845925485362,0.983007944283563
"C:5-V:3",-0.333333333333333,-3.31792588186953,2.65125921520286,0.999999440517339
"N:5-V:3",2.22044604925031e-16,-2.9845925485362,2.9845925485362,1
"V:5-V:3",2.22044604925031e-16,-2.9845925485362,2.9845925485362,1
"N:4-C:4",0.666666666666667,-2.31792588186953,3.65125921520286,0.999434205499818
"V:4-C:4",-0.333333333333334,-3.31792588186953,2.65125921520286,0.999999440517339
"C:5-C:4",0.333333333333333,-2.65125921520286,3.31792588186953,0.999999440517339
"N:5-C:4",0.666666666666667,-2.31792588186953,3.65125921520286,0.999434205499818
"V:5-C:4",0.666666666666667,-2.31792588186953,3.65125921520286,0.999434205499818
"V:4-N:4",-1,-3.9845925485362,1.9845925485362,0.983007944283563
"C:5-N:4",-0.333333333333333,-3.31792588186953,2.65125921520286,0.999999440517339
"N:5-N:4",-2.22044604925031e-16,-2.9845925485362,2.9845925485362,1
"V:5-N:4",-2.22044604925031e-16,-2.9845925485362,2.9845925485362,1
"C:5-V:4",0.666666666666667,-2.31792588186953,3.65125921520286,0.999434205499818
"N:5-V:4",1,-1.9845925485362,3.9845925485362,0.983007944283563
"V:5-V:4",1,-1.9845925485362,3.9845925485362,0.983007944283563
"N:5-C:5",0.333333333333333,-2.65125921520286,3.31792588186953,0.999999440517339
"V:5-C:5",0.333333333333333,-2.65125921520286,3.31792588186953,0.999999440517339
"V:5-N:5",0,-2.9845925485362,2.9845925485362,1
