"Taxonomy.distribution","Evenness.distribution","n","mean","sd"
"C","2",3,34.3333333333333,2.3094010767585
"C","3",3,29.3333333333333,3.05505046330389
"C","4",3,32.6666666666667,2.88675134594813
"C","5",3,28.3333333333333,1.52752523165195
"N","2",3,32.3333333333333,1.52752523165195
"N","3",3,29,3
"N","4",3,29.6666666666667,2.08166599946613
"N","5",3,30.6666666666667,2.08166599946613
"V","2",3,34,3.46410161513775
"V","3",3,30.6666666666667,0.577350269189626
"V","4",3,35,3.46410161513775
"V","5",3,30.6666666666667,1.52752523165195
