"Taxonomy.distribution","Evenness.distribution","n","mean","sd"
"C","2",3,25,1
"C","3",3,20.3333333333333,0.577350269189626
"C","4",3,29.3333333333333,5.85946527708232
"C","5",3,21.6666666666667,2.51661147842358
"N","2",3,26.6666666666667,1.52752523165195
"N","3",3,24.6666666666667,0.577350269189626
"N","4",3,23.3333333333333,0.577350269189626
"N","5",3,25,2.64575131106459
"V","2",3,27,1
"V","3",3,22.3333333333333,3.21455025366432
"V","4",3,27.6666666666667,1.52752523165195
"V","5",3,23.6666666666667,3.05505046330389
