"Taxonomy.distribution","Evenness.distribution","n","mean","sd"
"C","2",3,29.6666666666667,1.52752523165195
"C","3",3,23.6666666666667,3.78593889720018
"C","4",3,29.6666666666667,2.08166599946613
"C","5",3,24,4
"N","2",3,28.6666666666667,3.51188458428425
"N","3",3,27.3333333333333,2.08166599946613
"N","4",3,27.6666666666667,0.577350269189626
"N","5",3,28.6666666666667,0.577350269189626
"V","2",3,30.3333333333333,1.52752523165195
"V","3",3,22.3333333333333,2.51661147842358
"V","4",3,31,2.64575131106459
"V","5",3,26.3333333333333,2.08166599946613
