"Taxonomy.distribution","Evenness.distribution","n","mean","sd"
"C","2",3,29,10.4403065089106
"C","3",3,49.6666666666667,5.13160143944688
"C","4",3,35,17.5783958312469
"C","5",3,53.6666666666667,4.50924975282289
"N","2",3,43,8.18535277187245
"N","3",3,49,8.54400374531753
"N","4",3,48.6666666666667,8.73689494805411
"N","5",3,45.6666666666667,14.4683562761405
"V","2",3,30.3333333333333,15.5349069303081
"V","3",3,44.3333333333333,4.04145188432738
"V","4",3,26.3333333333333,12.8970280814354
"V","5",3,47,5.29150262212918
