"","diff","lwr","upr","p adj"
"N:2-C:2",14,-17.1368735630855,45.1368735630855,0.88473824415143
"V:2-C:2",1.33333333333333,-29.8035402297522,32.4702068964188,0.999999999981878
"C:3-C:2",20.6666666666666,-10.4702068964188,51.8035402297521,0.445920066013039
"N:3-C:2",20,-11.1368735630855,51.1368735630855,0.492339394046394
"V:3-C:2",15.3333333333333,-15.8035402297522,46.4702068964188,0.81543698549925
"C:4-C:2",5.99999999999999,-25.1368735630855,37.1368735630855,0.999859179877629
"N:4-C:2",19.6666666666667,-11.4702068964188,50.8035402297521,0.516101494973936
"V:4-C:2",-2.66666666666668,-33.8035402297522,28.4702068964188,0.999999966605851
"C:5-C:2",24.6666666666667,-6.47020689641881,55.8035402297521,0.218463427043406
"N:5-C:2",16.6666666666667,-14.4702068964188,47.8035402297521,0.731104320148721
"V:5-C:2",18,-13.1368735630855,49.1368735630855,0.637195748166715
"V:2-N:2",-12.6666666666667,-43.8035402297521,18.4702068964188,0.935937500307948
"C:3-N:2",6.66666666666666,-24.4702068964188,37.8035402297521,0.999617768670545
"N:3-N:2",6.00000000000001,-25.1368735630855,37.1368735630855,0.999859179877629
"V:3-N:2",1.33333333333334,-29.8035402297521,32.4702068964188,0.999999999981878
"C:4-N:2",-7.99999999999999,-39.1368735630855,23.1368735630855,0.998018770833824
"N:4-N:2",5.66666666666667,-25.4702068964188,36.8035402297521,0.999919063171578
"V:4-N:2",-16.6666666666667,-47.8035402297521,14.4702068964188,0.731104320148721
"C:5-N:2",10.6666666666667,-20.4702068964188,41.8035402297522,0.979992533210072
"N:5-N:2",2.66666666666667,-28.4702068964188,33.8035402297521,0.999999966605851
"V:5-N:2",4.00000000000001,-27.1368735630855,35.1368735630855,0.999997588899307
"C:3-V:2",19.3333333333333,-11.8035402297522,50.4702068964188,0.540131743449256
"N:3-V:2",18.6666666666667,-12.4702068964188,49.8035402297521,0.58865935177557
"V:3-V:2",14,-17.1368735630855,45.1368735630855,0.88473824415143
"C:4-V:2",4.66666666666667,-26.4702068964188,35.8035402297521,0.999988290759035
"N:4-V:2",18.3333333333333,-12.8035402297522,49.4702068964188,0.612974703078754
"V:4-V:2",-4.00000000000001,-35.1368735630855,27.1368735630855,0.999997588899307
"C:5-V:2",23.3333333333333,-7.80354022975214,54.4702068964188,0.282975871486475
"N:5-V:2",15.3333333333333,-15.8035402297522,46.4702068964188,0.81543698549925
"V:5-V:2",16.6666666666667,-14.4702068964188,47.8035402297521,0.73110432014872
"N:3-C:3",-0.666666666666657,-31.8035402297521,30.4702068964188,1
"V:3-C:3",-5.33333333333333,-36.4702068964188,25.8035402297521,0.999955385188681
"C:4-C:3",-14.6666666666667,-45.8035402297521,16.4702068964188,0.852228667304606
"N:4-C:3",-0.999999999999993,-32.1368735630855,30.1368735630855,1
"V:4-C:3",-23.3333333333333,-54.4702068964188,7.80354022975215,0.282975871486475
"C:5-C:3",4.00000000000002,-27.1368735630855,35.1368735630855,0.999997588899307
"N:5-C:3",-3.99999999999999,-35.1368735630855,27.1368735630855,0.999997588899307
"V:5-C:3",-2.66666666666665,-33.8035402297521,28.4702068964188,0.999999966605851
"V:3-N:3",-4.66666666666667,-35.8035402297521,26.4702068964188,0.999988290759035
"C:4-N:3",-14,-45.1368735630855,17.1368735630855,0.88473824415143
"N:4-N:3",-0.333333333333336,-31.4702068964188,30.8035402297521,1
"V:4-N:3",-22.6666666666667,-53.8035402297521,8.47020689641881,0.319677069300223
"C:5-N:3",4.66666666666668,-26.4702068964188,35.8035402297522,0.999988290759035
"N:5-N:3",-3.33333333333334,-34.4702068964188,27.8035402297521,0.999999641768784
"V:5-N:3",-1.99999999999999,-33.1368735630855,29.1368735630855,0.999999998496146
"C:4-V:3",-9.33333333333332,-40.4702068964188,21.8035402297522,0.992808465974369
"N:4-V:3",4.33333333333334,-26.8035402297521,35.4702068964188,0.999994499213014
"V:4-V:3",-18,-49.1368735630855,13.1368735630855,0.637195748166714
"C:5-V:3",9.33333333333335,-21.8035402297521,40.4702068964188,0.992808465974369
"N:5-V:3",1.33333333333334,-29.8035402297521,32.4702068964188,0.999999999981878
"V:5-V:3",2.66666666666668,-28.4702068964188,33.8035402297522,0.999999966605851
"N:4-C:4",13.6666666666667,-17.4702068964188,44.8035402297521,0.899286568508128
"V:4-C:4",-8.66666666666667,-39.8035402297522,22.4702068964188,0.996079190227916
"C:5-C:4",18.6666666666667,-12.4702068964188,49.8035402297521,0.588659351775569
"N:5-C:4",10.6666666666667,-20.4702068964188,41.8035402297521,0.979992533210072
"V:5-C:4",12,-19.1368735630855,43.1368735630855,0.954671033655114
"V:4-N:4",-22.3333333333333,-53.4702068964188,8.80354022975214,0.3391047565682
"C:5-N:4",5.00000000000001,-26.1368735630855,36.1368735630855,0.999976531723744
"N:5-N:4",-3,-34.1368735630855,28.1368735630855,0.999999882636573
"V:5-N:4",-1.66666666666666,-32.8035402297521,29.4702068964188,0.999999999792436
"C:5-V:4",27.3333333333333,-3.80354022975213,58.4702068964188,0.123630524443738
"N:5-V:4",19.3333333333333,-11.8035402297521,50.4702068964188,0.540131743449255
"V:5-V:4",20.6666666666667,-10.4702068964188,51.8035402297522,0.445920066013036
"N:5-C:5",-8.00000000000001,-39.1368735630855,23.1368735630855,0.998018770833824
"V:5-C:5",-6.66666666666667,-37.8035402297521,24.4702068964188,0.999617768670545
"V:5-N:5",1.33333333333334,-29.8035402297521,32.4702068964188,0.999999999981878
